File,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,target
44,0,2,0,7,142,0,1.12,0,0,4,0,6,3,57.3076923076923,2,4.76923076923077,2,1,0.866666666666667,0,0.6,0,3,3,2,True
45,0,1,1,1,21,0,1.4,0,100,4,0,0,1,1.5,0,2.0,2,1,0.0,0,1.0,0,2,1,3,True
46,1,1,1,3,100,0,1.11,0,63,1,0,5,2,3.35714285714286,0,2.07142857142857,1,1,0.388888888888889,0,1.0,0,2,1,3,False
47,0,1,3,8,329,2,0.97,0,90,1,0,5,2,17.1818181818182,2,3.72727272727273,1,1,0.638888888888889,0,0.666666666666667,0,3,2,5,True
48,0,1,0,4,36,0,3.0,0,0,2,2,1,2,53.6666666666667,17,0.666666666666667,0,1,0.0,0,1.0,0,3,1,0,False
49,0,1,1,1,33,0,0.5,0,100,2,1,1,1,3.0,2,2.75,1,1,0.363636363636364,0,1.0,0,3,1,2,False
50,0,1,0,0,28,0,0.22,0,69,3,0,3,1,2.53846153846154,1,3.76923076923077,1,1,0.8,0,0.5,0,4,2,3,True
51,0,1,0,3,24,0,3.43,0,0,2,3,0,1,10.0,10,1.0,1,1,0.0,0,0.5,0,1,2,1,False
52,0,1,0,2,45,0,0.85,0,72,1,0,5,2,4.11111111111111,0,2.33333333333333,1,1,0.363636363636364,0,0.75,0,1,2,0,False
53,0,1,5,4,323,0,1.0,0,91,3,2,7,1,25.0612244897959,1,3.36734693877551,1,1,0.411764705882353,0,1.0,0,6,1,3,False
54,0,1,3,4,74,2,0.33,0,80,2,0,18,1,5.53846153846154,1,5.38461538461539,1,1,1.86666666666667,0,0.5,0,5,2,2,True
55,2,1,1,1,23,0,1.53,0,100,4,0,0,1,1.0,0,2.0,2,1,0.0,0,1.0,0,2,1,1,True
56,1,1,3,4,85,1,0.51,0,79,1,17,12,2,6.08333333333333,1,5.25,1,1,1.06666666666667,0,0.333333333333333,0,3,3,2,False
57,0,1,0,3,45,0,1.12,0,0,2,0,1,1,0.125,0,1.125,1,1,0.0,0,1.0,0,4,1,1,False
58,1,1,0,2,29,0,1.53,0,0,2,0,0,1,0.666666666666667,0,0.666666666666667,0,1,0.0,0,1.0,0,2,1,0,False
59,1,1,0,2,61,0,1.17,0,0,2,0,1,1,0.4,0,1.1,0,1,0.25,0,1.0,0,3,1,1,False
60,0,1,1,0,17,0,2.43,0,100,3,0,0,1,5.0,5,2.0,2,1,0.0,0,1.0,0,1,1,0,True
61,2,1,0,0,29,0,1.61,0,0,2,0,2,1,4.33333333333333,1,1.33333333333333,1,1,0.0,0,1.0,0,1,1,0,False
62,3,1,0,3,45,0,0.96,0,57,1,0,6,1,4.0,1,3.85714285714286,1,1,0.666666666666667,0,1.0,0,2,1,1,False
63,0,1,1,2,112,0,0.47,0,82,2,0,23,1,4.56,0,5.04,1,1,0.407407407407407,0,0.5,0,3,2,5,False
64,2,1,5,0,25,0,1.09,0,100,1,14,1,1,0.5,0,0.5,0,0,0.0,0,1.0,0,3,1,1,False
65,0,1,0,5,128,0,4.41,0,0,2,2,1,1,2.6875,0,0.9375,0,1,0.166666666666667,0,1.0,0,2,1,1,False
66,0,1,0,1,27,0,1.59,0,0,0,8,2,0,4.0,0,1.0,1,1,0.0,0,1.0,0,3,1,1,False
67,0,1,1,0,20,0,1.54,0,100,4,0,0,1,4.66666666666667,0,2.33333333333333,2,1,0.666666666666667,0,0.5,0,2,2,1,True
68,0,1,1,0,22,0,2.75,0,100,2,0,0,1,2.0,2,1.0,1,1,0.0,0,1.0,0,1,1,2,True
69,0,1,0,0,22,0,1.83,0,0,2,0,0,1,2.0,2,1.0,1,1,0.0,0,1.0,0,2,1,1,True
70,0,1,1,0,24,0,1.41,0,100,4,0,0,1,1.33333333333333,0,2.0,2,1,0.0,0,1.0,0,1,1,2,True
71,0,1,1,3,31,0,1.82,0,100,4,0,0,1,4.66666666666667,0,2.33333333333333,2,1,0.0,0,0.5,0,2,2,1,True
72,0,1,0,4,32,0,1.78,0,0,4,0,1,1,4.0,1,2.0,2,1,0.0,0,1.0,0,1,1,1,True
73,0,1,1,0,21,0,1.75,0,100,4,0,0,1,2.5,2,2.0,2,1,0.0,0,0.5,0,2,2,0,True
74,0,1,0,0,20,0,1.11,0,0,3,0,0,1,2.25,0,2.0,2,1,0.0,0,1.0,0,2,1,1,False
75,0,1,1,2,32,0,1.68,0,100,3,13,0,1,14.75,1,2.0,2,1,0.0,0,0.5,0,3,2,2,True
76,0,1,1,3,24,0,1.6,0,100,2,0,0,1,1.0,0,1.0,1,1,0.0,0,1.0,0,3,1,0,True
77,0,1,0,3,27,0,2.25,0,0,4,0,0,1,2.0,2,2.0,2,1,0.0,0,1.0,0,1,1,1,True
78,0,1,1,3,28,0,2.15,0,100,2,0,0,1,1.0,0,1.0,1,1,0.0,0,1.0,0,3,1,1,True
79,0,1,1,3,30,0,2.31,0,100,4,0,0,1,2.0,0,2.0,2,1,0.0,0,1.0,0,1,1,1,True
80,0,1,1,1,21,0,1.4,0,100,2,0,0,1,1.0,0,1.0,1,1,0.0,0,1.0,0,1,1,1,True
81,0,1,0,0,21,0,1.17,0,0,2,1,0,1,2.0,1,1.0,1,1,0.0,0,1.0,0,2,1,1,False
82,0,1,1,0,20,0,1.0,0,100,2,6,0,1,5.5,3,1.0,1,1,0.0,0,1.0,0,2,1,0,True
83,0,1,0,4,41,0,1.52,0,40,3,7,1,1,5.8,1,2.2,1,1,0.0,0,1.0,0,1,1,1,True
84,0,1,1,3,31,0,1.72,0,100,2,0,0,1,2.0,0,1.0,1,1,0.0,0,1.0,0,2,1,0,True
85,0,1,1,2,25,0,1.92,0,100,2,0,0,1,1.0,0,1.0,1,1,0.0,0,1.0,0,2,1,1,True
86,0,1,1,2,25,0,2.08,0,100,4,0,0,1,1.5,0,2.0,2,1,0.0,0,0.5,0,2,2,1,True
87,0,1,1,0,20,0,1.82,0,100,2,0,0,1,1.0,0,1.0,1,1,0.0,0,1.0,0,1,1,1,True
88,0,1,1,2,30,0,1.43,0,100,2,0,0,1,3.0,2,1.0,1,1,0.0,0,1.0,0,3,1,0,True
89,0,1,1,2,25,0,2.08,0,100,4,0,0,1,2.5,0,2.0,2,1,0.0,0,1.0,0,2,1,2,True
90,0,1,1,3,27,0,1.93,0,100,4,0,0,1,1.5,1,2.0,2,1,0.0,0,1.0,0,2,1,1,True
91,0,1,1,3,31,0,1.63,0,100,2,2,1,1,2.33333333333333,0,1.33333333333333,1,1,0.0,0,1.0,0,3,1,0,True
92,0,1,0,3,25,0,2.08,0,0,2,0,0,1,1.0,0,1.0,1,1,0.0,0,1.0,0,3,1,0,True
93,0,1,1,0,21,0,1.75,0,100,4,0,0,1,1.0,0,2.0,2,1,0.0,0,1.0,0,1,1,1,True
94,0,1,0,0,24,0,1.41,0,0,3,0,0,1,2.0,1,2.0,2,1,0.0,0,1.0,0,3,1,1,True
95,0,1,0,0,22,0,1.83,0,0,2,0,0,1,2.0,2,1.0,1,1,0.0,0,1.0,0,4,1,0,True
96,0,1,1,2,27,0,1.93,0,100,3,4,0,1,4.5,3,2.0,2,1,0.0,0,0.5,0,1,2,2,True
97,0,1,6,2,39,0,0.4,0,66,3,0,2,1,4.375,2,3.75,1,1,1.3,0,1.0,0,3,1,1,True
98,0,1,2,6,34,0,0.87,0,100,3,0,0,1,2.5,2,2.5,2,1,3.0,0,1.0,0,1,1,0,True
99,0,1,1,2,27,0,2.08,0,100,2,0,0,1,1.0,0,1.0,1,1,0.0,0,1.0,0,2,1,0,True
100,0,1,0,0,21,0,2.1,0,0,2,0,0,1,5.0,5,1.0,1,1,0.0,0,1.0,0,3,1,0,True
101,0,1,1,2,27,0,1.8,0,100,2,0,0,1,1.5,0,1.0,1,1,0.0,0,1.0,0,1,1,1,True
102,0,1,0,0,20,0,1.18,0,0,4,0,1,1,3.75,2,2.0,2,1,0.0,0,1.0,0,1,1,1,True
103,0,1,0,0,18,0,1.8,0,0,2,0,0,1,3.0,3,1.0,1,1,0.0,0,1.0,0,4,1,0,True
104,0,1,0,5,35,0,2.5,0,0,4,0,1,1,5.0,2,2.0,2,1,0.0,0,1.0,0,1,1,1,True
105,0,1,0,3,26,0,1.73,0,0,4,0,1,1,2.0,1,2.5,2,1,0.0,0,1.0,0,1,1,1,True
106,0,1,0,0,25,0,2.27,0,0,4,0,1,1,3.0,3,2.0,2,1,0.0,0,1.0,0,1,1,1,True
107,0,1,1,3,23,0,1.53,0,100,2,0,0,1,1.5,0,1.0,1,1,0.0,0,1.0,0,3,1,0,True
108,0,1,0,0,22,0,1.22,0,0,3,0,0,1,1.25,0,2.0,2,1,0.0,0,1.0,0,1,1,1,True
109,0,1,1,2,29,0,1.53,0,100,2,0,1,1,2.0,0,1.66666666666667,1,1,0.0,0,1.0,0,3,1,0,True
110,0,1,1,2,29,0,1.53,0,100,2,0,1,1,1.66666666666667,0,1.66666666666667,1,1,0.0,0,1.0,0,3,1,0,True
111,0,1,1,1,21,0,1.5,0,100,4,0,0,1,4.5,0,2.0,2,1,0.0,0,1.0,0,2,1,1,True
112,0,1,1,2,26,0,1.37,0,100,2,0,1,1,1.33333333333333,0,1.66666666666667,1,1,0.0,0,1.0,0,2,1,1,True
113,0,1,0,0,22,0,1.29,0,50,4,0,0,1,2.25,1,2.25,1,1,0.0,0,1.0,0,1,1,1,True
114,0,1,1,0,21,0,1.91,0,100,4,0,0,1,7.0,7,2.0,2,1,0.0,0,1.0,0,2,1,2,True
115,0,1,1,2,29,0,2.07,0,100,4,0,0,1,2.0,0,2.0,2,1,0.0,0,1.0,0,2,1,1,True
116,0,1,0,1,23,0,1.77,0,0,4,0,0,1,3.0,3,2.0,2,1,0.0,0,1.0,0,1,1,1,True
117,0,1,1,2,26,0,1.73,0,100,2,0,0,1,2.0,0,1.0,1,1,0.0,0,1.0,0,2,1,0,True
118,0,1,0,0,23,0,1.92,0,0,2,0,0,1,2.0,2,1.0,1,1,0.0,0,1.0,0,3,1,0,True
119,0,1,1,3,30,0,1.67,0,100,2,0,0,1,2.33333333333333,0,1.0,1,1,0.0,0,1.0,0,2,1,1,True
120,2,1,0,0,72,0,1.16,0,96,1,0,1,1,2.28571428571429,0,1.71428571428571,1,0,0.8,0,0.5,0,1,2,1,False
121,2,1,0,1,28,0,1.33,0,100,1,0,0,1,0.75,0,1.5,1,0,0.0,0,1.0,0,1,1,0,False
122,1,1,0,3,40,0,1.03,0,0,2,0,6,1,8.4,0,3.6,2,1,1.25,0,1.0,0,3,1,4,False
123,1,1,0,3,41,0,1.02,0,0,2,0,6,1,3.0,0,3.6,2,1,0.571428571428571,0,1.0,0,1,1,5,False
124,1,1,0,2,49,0,0.69,0,100,2,0,7,1,3.5,0,3.625,1,0,0.727272727272727,0,1.0,0,2,1,3,False
125,2,1,0,3,46,0,1.18,0,62,1,6,5,2,5.5,0,2.125,1,1,0.4,0,1.0,0,4,1,3,False
126,1,1,0,1,38,0,0.57,0,60,3,0,7,1,2.1,0,2.9,1,1,0.333333333333333,0,1.0,0,3,1,3,False
127,1,1,0,2,44,0,0.54,0,60,3,0,7,1,2.9,0,3.3,1,1,0.416666666666667,0,1.0,0,2,1,4,False
128,1,2,0,1,37,0,0.42,0,30,3,0,8,1,3.3,1,4.1,1,1,0.833333333333333,0,1.0,0,2,1,2,False
129,1,1,0,3,72,0,0.56,0,58,3,0,8,1,3.85714285714286,2,4.21428571428571,1,1,0.4375,0,1.0,0,2,1,2,False
130,2,2,0,2,61,1,0.59,0,100,3,5,11,1,7.7,0,3.8,1,0,0.692307692307692,0,1.0,0,4,1,5,False
131,1,1,0,2,81,0,0.45,0,75,4,0,12,1,3.26315789473684,0,4.31578947368421,1,1,0.571428571428571,0,1.0,0,4,1,5,False
132,1,2,0,3,51,0,0.76,0,0,4,0,10,1,2.66666666666667,0,4.83333333333333,2,1,1.125,0,1.0,0,1,1,2,False
133,1,1,0,9,205,0,6.03,0,100,1,4,3,1,6.26666666666667,0,0.933333333333333,0,0,0.0,0,0.5,0,2,2,4,False
134,1,1,0,5,104,0,1.76,0,0,2,26,2,1,0.214285714285714,0,1.0,0,1,0.0,0,0.5,0,3,2,3,False
135,1,2,2,2,95,1,0.36,0,100,2,0,12,1,4.2,0,2.88,1,0,1.28571428571429,0,0.5,0,3,2,6,False
136,1,1,0,1,46,0,0.51,0,7,2,0,7,1,2.07142857142857,1,2.57142857142857,1,1,0.375,0,0.5,0,2,2,1,False
137,1,1,0,2,46,2,0.85,0,55,3,1,6,1,2.33333333333333,0,2.0,1,1,0.454545454545455,0,1.0,0,3,1,2,False
138,1,2,0,3,48,0,0.76,0,33,4,0,7,1,2.66666666666667,1,3.66666666666667,2,1,1.375,0,1.0,0,3,1,0,False
139,3,3,0,3,100,0,0.51,1,100,3,0,11,1,3.46666666666667,0,4.2,1,0,1.16666666666667,0,1.0,0,2,1,1,False
140,1,1,0,1,41,0,0.58,0,61,3,0,6,1,3.44444444444444,1,3.55555555555556,1,1,0.818181818181818,0,1.0,0,3,1,3,False
141,0,1,1,2,26,0,1.86,0,100,2,0,0,1,1.5,0,1.0,1,1,0.0,0,1.0,0,3,1,0,False
142,0,1,1,2,26,0,1.86,0,100,2,0,0,1,0.5,0,1.0,1,1,0.0,0,1.0,0,2,1,0,False
143,1,1,0,2,39,0,0.76,0,28,3,0,6,1,2.57142857142857,1,3.28571428571429,1,1,0.555555555555556,0,1.0,0,3,1,3,False
144,1,2,1,1,36,1,0.26,0,72,3,0,8,2,2.84615384615385,0,4.46153846153846,1,1,1.375,0,1.0,0,2,1,1,False
145,1,1,0,1,36,0,0.72,0,0,2,0,4,1,1.625,0,1.875,1,1,0.4,0,0.5,0,2,2,3,False
146,0,0,0,0,31,0,31.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,1.0,0,2,1,0,False
147,1,1,0,1,48,0,0.76,0,60,3,0,5,1,3.4,0,2.8,1,1,0.333333333333333,0,1.0,0,2,1,5,False
148,0,0,54,0,151,0,2.29,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,1.0,0,1,1,1,False
149,0,3,3,7,225,0,0.39,1,92,1,0,14,1,7.44,1,3.44,1,1,1.85185185185185,0,1.0,0,1,1,2,False
150,1,1,0,1,38,0,0.55,0,61,3,0,6,1,6.0,1,3.55555555555556,1,1,0.545454545454545,0,1.0,0,3,1,3,False
151,1,2,0,3,50,0,0.75,0,0,4,0,10,1,3.83333333333333,0,4.83333333333333,2,1,1.125,0,1.0,0,2,1,3,False
152,1,1,1,2,52,0,0.66,0,72,3,0,6,1,1.91666666666667,0,1.91666666666667,1,1,0.428571428571429,0,1.0,0,2,1,2,False
153,1,1,1,5,85,0,1.18,0,57,2,0,6,1,6.0,2,5.14285714285714,1,1,0.777777777777778,0,1.0,0,3,1,5,False
154,1,1,0,2,49,0,0.62,0,55,4,0,10,1,3.44444444444444,0,3.33333333333333,1,1,0.818181818181818,0,1.0,0,2,1,2,False
155,1,1,0,5,77,1,0.89,0,0,4,0,9,1,3.33333333333333,0,5.33333333333333,1,1,0.818181818181818,0,1.0,0,2,1,2,False
156,2,1,1,4,145,1,0.7,0,81,3,1,15,1,6.17391304347826,0,4.1304347826087,1,1,0.44,0,1.0,0,4,1,6,False
157,1,1,0,1,51,0,0.66,0,57,3,0,7,1,2.53846153846154,0,2.53846153846154,1,1,0.266666666666667,0,0.5,0,3,2,5,False
158,1,1,0,3,51,0,1.06,0,16,2,0,5,1,4.33333333333333,1,3.83333333333333,2,1,0.5,0,1.0,0,2,1,5,False
159,1,2,1,2,58,1,0.6,0,69,3,0,7,1,2.63636363636364,1,3.72727272727273,1,1,0.923076923076923,0,1.0,0,3,1,2,False
160,1,1,0,3,50,0,0.79,0,0,4,0,10,1,3.16666666666667,0,4.83333333333333,2,1,1.0,0,1.0,0,2,1,2,False
161,1,1,0,0,40,0,0.44,0,56,3,0,7,1,3.33333333333333,0,2.6,1,1,0.235294117647059,0,0.5,0,2,2,5,False
162,0,1,37,4,448,0,0.65,0,96,1,1,15,2,10.8550724637681,0,4.73913043478261,1,1,0.619718309859155,0,1.0,0,6,1,7,False
163,1,2,8,5,402,0,0.63,0,92,1,2,17,2,20.9672131147541,0,4.32786885245902,1,1,0.650793650793651,0,0.333333333333333,0,2,3,10,True
164,0,1,0,1,40,0,0.56,0,75,1,0,4,2,12.4166666666667,2,2.41666666666667,1,1,0.357142857142857,0,0.5,0,4,2,1,False
165,0,1,26,5,545,4,0.69,0,96,1,1,16,2,15.3857142857143,0,4.94285714285714,1,1,0.736111111111111,0,0.5,0,6,2,10,False
166,0,1,0,5,34,0,1.06,0,0,1,0,0,2,14.5,1,4.5,3,1,2.0,0,1.0,0,1,1,1,False
167,0,1,1,0,21,1,0.45,0,66,1,2,1,3,4.33333333333333,2,2.66666666666667,1,1,0.8,0,1.0,0,3,1,0,False
168,0,1,0,0,22,0,1.47,0,0,4,0,0,1,2.0,0,2.0,2,1,0.0,0,1.0,0,1,1,0,True
169,9,1,10,4,400,21,0.4,0,92,2,0,34,2,5.32835820895522,0,6.41791044776119,1,1,0.987179487179487,0,0.25,0,3,4,6,True
170,0,2,2,4,46,1,0.48,0,50,1,0,2,2,4.5,1,3.0,1,1,1.0,0,0.5,0,2,2,2,False
171,8,1,1,7,89,0,0.61,0,77,1,0,6,1,5.33333333333333,1,6.77777777777778,2,1,1.45454545454545,0,1.0,0,1,1,0,True
172,0,1,1,0,25,1,0.53,0,25,2,0,8,1,4.0,2,13.5,2,1,0.75,0,1.0,0,1,1,2,False
173,0,1,0,0,33,0,0.61,0,66,1,0,2,3,1.91666666666667,0,1.0,0,1,0.0,0,1.0,0,1,1,0,True
174,1,1,2,3,41,0,0.38,0,50,1,1,6,2,6.28571428571429,1,5.28571428571429,1,1,0.909090909090909,0,0.25,0,3,4,1,False
175,2,3,0,1,24,0,0.56,0,66,1,0,0,1,3.0,0,5.33333333333333,1,1,1.4,0,1.0,0,1,1,0,False
176,0,1,1,0,25,1,0.37,0,40,2,0,9,2,4.25,2,9.0,1,1,0.428571428571429,0,0.5,0,2,2,0,True
177,0,1,0,1,30,0,1.03,0,60,2,0,0,1,2.8,1,1.8,1,1,0.0,0,1.0,0,1,1,0,True
178,2,1,0,0,21,0,1.75,0,0,1,1,1,2,1.66666666666667,1,0.666666666666667,0,1,0.0,0,0.5,0,5,2,0,False
179,0,1,0,1,64,0,1.19,0,63,1,0,0,2,3.36363636363636,0,1.27272727272727,0,1,0.230769230769231,0,1.0,0,1,1,0,False
180,0,0,0,0,28,0,14.0,0,0,0,12,0,0,0.0,0,0.0,0,0,0.0,0,1.0,0,1,1,0,False
181,0,1,0,0,53,1,0.24,0,100,1,0,7,2,6.38709677419355,0,2.51612903225806,1,0,0.314285714285714,0,0.5,0,1,2,2,False
182,0,0,0,0,20,0,1.54,0,0,2,2,0,2,0.0,0,0.0,0,0,0.0,0,1.0,0,5,1,0,False
183,0,0,0,0,20,0,1.67,0,0,2,2,0,2,0.0,0,0.0,0,0,0.0,0,1.0,0,1,1,0,False
184,0,0,0,0,23,0,11.5,0,0,1,2,0,2,0.0,0,0.0,0,0,0.0,0,1.0,0,1,1,0,False
185,1,1,3,7,524,0,0.4,0,97,2,0,123,1,9.41538461538462,0,12.5692307692308,1,1,1.78571428571429,0,0.571428571428571,0,2,4,10,True
186,0,1,0,6,479,0,0.67,0,0,1,0,136,1,4.72307692307692,0,7.10769230769231,1,1,0.434782608695652,0,0.333333333333333,0,3,3,4,True
187,0,1,0,5,109,0,0.73,0,0,1,0,32,1,3.4375,0,5.375,1,1,0.944444444444444,0,0.5,0,3,2,1,True
188,0,1,0,2,78,0,0.74,0,15,1,0,4,1,2.73684210526316,0,3.05263157894737,2,1,0.142857142857143,0,0.5,0,2,2,1,True
189,0,0,0,0,27,0,5.4,0,100,1,0,0,1,5.0,4,1.0,1,0,2.0,0,1.0,0,1,1,0,False
190,0,0,0,0,18,0,2.25,0,100,1,0,0,1,0.0,0,1.0,1,0,0.0,0,1.0,0,1,1,0,False
191,0,1,0,2,53,0,0.75,0,41,1,0,11,1,8.91666666666667,0,4.75,2,1,0.285714285714286,0,1.0,0,1,1,2,False
192,0,1,0,9,59,0,1.18,1,0,1,0,0,1,6.0,0,3.0,1,1,1.33333333333333,0,1.0,0,2,1,1,False
193,0,1,1,3,77,0,0.72,0,83,3,0,7,3,2.9375,0,2.0625,1,1,0.75,0,1.0,0,3,1,1,False
194,0,1,1,2,50,0,0.51,0,75,3,0,12,2,4.0,0,3.54545454545455,1,1,0.571428571428571,0,0.5,0,1,2,1,False
195,0,1,0,6,35,0,5.83,0,0,2,1,0,1,1.0,1,0.5,0,1,0.0,0,1.0,0,1,1,1,False
