File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,target
18,1,0,3,0,0,10,97,1,0,6,4,0.94,0,50,2,0,0,1,9.8,4,1,2.14285714285714,0,219,1.0,0,0,False
19,10,3,1,3,0,0,61,1,2,2,86,0.05,0,92,3,1,13,4,6.51485148514851,0,1,1.29126213592233,0,89,0.466335931963147,0,5,True
20,0,0,1,0,0,1,79,1,0,0,41,0.42,0,0,4,0,7,1,0.268292682926829,0,1,0.0681818181818182,0,182,0.356037151702786,0,1,True
21,0,19,1,0,0,10,213,1,0,0,0,2.8,0,0,0,2,17,0,1.0,0,1,0.0,0,185,0.679245283018868,0,2,False
22,0,0,1,0,0,1,24,1,0,1,1,2.67,0,0,1,0,0,1,337.0,337,2,0.0,0,45,0.85,0,0,False
23,8,0,1,0,0,2,144,1,2,9,30,0.23,1,87,2,0,12,2,5.85,0,1,1.0952380952381,0,272,0.380410022779043,0,1,True
24,0,0,2,0,0,3,24,1,0,2,3,0.56,0,0,2,0,3,1,5.66666666666667,4,3,0.8,0,6,0.414634146341463,0,0,True
25,0,0,1,0,0,0,15,1,0,2,8,0.22,0,37,2,0,6,1,4.25,0,0,0.4,0,8,0.669902912621359,0,2,False
26,0,0,1,1,0,0,15,1,0,1,7,0.26,2,14,2,0,3,1,2.57142857142857,1,2,0.777777777777778,0,9,0.864406779661017,0,0,False
27,6,5,4,0,0,1,126,1,1,38,28,0.17,0,94,1,1,7,2,7.975,0,1,1.26190476190476,0,22,0.539544962080173,0,3,True
28,0,0,1,0,0,7,43,1,0,0,4,1.87,0,0,2,0,4,1,2.0,1,2,0.428571428571429,0,83,0.909090909090909,0,1,False
29,3,0,1,34,4,1,55,2,0,3,3,0.5,0,98,1,0,6,2,2.5,0,1,0.444444444444444,0,11,0.592592592592593,0,2,True
30,12,8,1,7,0,1,307,1,35,34,89,0.2,0,96,1,1,22,3,4.74305555555556,0,0,0.89041095890411,0,202,0.512709832134293,0,5,True
31,0,0,1,0,0,1,25,1,0,0,6,2.78,0,0,0,1,2,0,1.5,0,0,0.0,0,14,0.468085106382979,0,0,False
32,8,78,2,15,1,0,163,1,0,1,1,0.15,1,93,1,0,8,1,6.5632183908046,1,1,0.97752808988764,0,64,0.871341048332199,0,4,True
33,25,18,2,13,0,1,193,1,4,30,35,0.2,0,94,1,1,14,1,6.74390243902439,0,0,0.666666666666667,0,73,0.640215716486903,0,4,True
34,38,0,1,112,0,1,461,1,4,8,173,0.25,0,99,1,1,13,2,4.04651162790698,0,0,0.493087557603687,0,469,0.581739444243955,0,3,True
35,1,0,1,3,14,12,227,1,0,0,14,0.46,2,68,1,0,5,1,5.66666666666667,0,1,0.764705882352941,0,150,0.657430730478589,0,3,True
36,4,0,2,3,7,12,134,1,0,0,4,0.46,6,83,1,0,5,1,5.625,0,1,1.4,0,31,0.848547717842324,0,2,False
37,0,0,1,0,0,0,15,1,0,0,3,2.5,0,0,0,3,1,0,1.0,0,0,0.0,0,6,0.6,0,0,True
38,0,0,1,0,0,0,16,1,0,0,10,0.35,0,0,3,0,4,1,9.0,3,2,0.25,0,71,0.666666666666667,0,1,False
39,5,0,1,10,0,10,258,1,0,12,10,0.72,3,87,1,0,5,1,7.4,1,1,1.70588235294118,0,250,0.542691751085383,0,2,False
40,0,3,1,0,0,0,17,1,0,3,0,1.13,0,66,1,0,0,1,1.0,1,1,0.0,0,6,0.48936170212766,0,0,False
41,0,0,1,0,5,2,33,1,0,0,5,0.2,2,0,1,0,5,1,5.2,4,7,3.0,0,6,0.476415094339623,0,2,True
42,0,0,1,0,1,7,63,1,0,3,5,1.7,0,60,1,0,0,1,4.2,2,1,0.571428571428571,0,136,0.947368421052632,0,0,True
43,3,0,1,1,6,3,53,1,0,0,4,1.15,0,100,1,0,0,1,2.57142857142857,0,1,0.0,0,6,0.78448275862069,0,0,False
44,0,0,1,0,0,0,21,1,0,2,3,1.24,0,33,1,0,0,2,1.0,1,1,0.0,0,6,0.490196078431373,0,0,False
45,0,0,1,0,0,0,18,1,0,1,3,1.38,0,0,1,0,0,2,1.0,1,1,0.0,0,6,0.463414634146341,0,0,False
46,0,0,2,0,0,0,25,1,0,3,5,0.47,0,53,1,0,0,2,1.0,1,1,1.28571428571429,0,6,0.67741935483871,0,0,False
47,0,0,1,0,0,3,30,1,0,1,3,2.31,0,33,1,0,0,2,0.666666666666667,0,1,0.0,0,6,0.490909090909091,0,0,False
48,0,3,1,6,0,1,45,1,3,4,5,0.44,0,92,1,2,6,2,3.36363636363636,0,0,1.0,0,80,0.405714285714286,0,3,False
49,0,0,1,0,0,0,38,1,2,2,41,0.15,0,48,1,1,6,2,3.34883720930233,0,1,0.355555555555556,0,13,0.663716814159292,0,2,False
50,0,0,1,0,0,3,81,1,0,0,17,0.67,0,0,2,0,5,1,2.0,1,2,0.272727272727273,0,261,0.925764192139738,0,2,True
51,20,1,1,0,1,0,71,1,2,5,85,0.07,0,94,1,1,19,1,11.1851851851852,2,1,1.0,0,61,0.912905779889153,0,6,True
52,0,0,1,0,0,0,22,1,0,0,7,1.1,0,0,1,2,3,1,1.85714285714286,1,0,0.0,0,6,0.60655737704918,0,0,False
53,0,0,1,0,0,0,20,1,0,0,15,0.74,0,0,0,2,3,0,1.8,1,0,0.0,0,6,0.633802816901408,0,0,False
54,0,0,3,0,0,0,22,1,0,2,10,0.21,0,5,1,1,2,2,3.2,3,2,2.0,0,6,0.52027027027027,0,1,False
55,0,0,1,0,0,8,40,1,0,0,3,2.0,0,0,2,0,4,1,1.66666666666667,1,2,0.5,0,77,0.901408450704225,0,1,False
56,17,21,1,0,0,3,444,1,4,11,78,0.24,0,93,2,2,22,3,7.05,0,1,1.19672131147541,0,619,0.451549627304825,0,5,True
57,0,0,1,0,0,5,71,1,0,0,11,1.04,0,0,3,0,8,1,1.72727272727273,0,1,0.214285714285714,0,113,0.440251572327044,0,1,True
58,0,0,1,0,0,0,22,1,0,0,2,4.4,0,0,2,2,2,1,1.0,1,0,0.0,0,6,0.710526315789474,0,0,False
59,0,0,4,0,0,5,34,1,0,5,3,0.65,0,26,1,0,0,1,7.33333333333333,5,1,2.6,1,6,0.6875,0,0,False
60,76,11,1,29,0,2,866,1,16,52,201,0.19,0,96,1,1,23,3,7.08552631578947,0,0,1.37581699346405,0,854,0.406988521269413,1,6,True
61,0,0,1,0,0,0,21,1,0,0,5,2.62,0,0,1,1,4,1,1.2,0,0,0.0,0,7,0.609756097560976,0,1,False
62,0,2,1,0,0,0,20,1,0,3,2,0.62,0,33,1,0,4,2,3.0,2,3,0.666666666666667,0,14,0.5,0,0,False
63,1,0,1,0,0,1,43,1,0,9,16,0.53,0,84,1,0,4,1,4.29411764705882,0,1,0.421052631578947,0,6,0.832214765100671,0,2,False
64,0,7,1,8,0,1,65,1,1,9,4,0.56,0,86,1,0,8,1,6.25,3,1,0.714285714285714,0,19,0.781818181818182,0,3,True
65,0,0,1,0,0,0,17,1,0,2,4,0.89,0,25,1,0,0,2,1.5,1,1,0.0,0,6,0.489795918367347,0,0,False
66,1,0,1,2,6,3,47,1,0,0,6,1.0,0,100,1,0,0,1,4.71428571428571,0,1,0.0,0,6,0.788990825688073,0,0,False
67,3,1,2,1,0,1,74,1,2,19,17,0.27,1,92,1,1,11,1,4.78260869565217,2,1,0.96,0,17,0.845771144278607,0,4,True
68,0,0,1,6,0,2,28,1,0,1,2,1.75,0,85,1,0,0,1,3.5,2,1,0.0,0,8,0.516666666666667,0,1,False
69,0,4,1,6,3,2,175,3,3,9,29,0.61,0,92,3,4,10,2,28.7777777777778,1,1,0.45,0,141,0.725378787878788,0,2,True
70,0,0,1,0,1,2,23,1,0,0,2,1.64,0,0,1,1,3,1,44.5,4,1,0.0,0,7,0.673469387755102,0,0,True
71,0,0,1,8,0,9,30,1,0,0,1,0.52,0,25,2,0,2,1,18.0,18,3,1.0,1,32,0.676767676767677,0,0,True
72,1,1,1,12,0,0,29,1,0,1,0,1.32,0,92,1,0,0,1,1.0,1,1,0.0,0,6,0.476190476190476,0,0,False
73,0,0,1,0,0,1,36,1,0,1,10,0.55,0,70,3,0,4,2,5.1,1,1,0.333333333333333,0,12,0.761904761904762,0,2,True
74,20,29,1,16,1,2,544,1,12,43,83,0.27,0,95,1,2,20,3,5.97916666666667,0,0,1.26712328767123,0,386,0.583894998226321,0,6,True
75,0,0,2,0,0,9,45,1,0,0,3,1.67,0,0,2,0,5,1,4.66666666666667,3,2,0.5,0,104,0.879518072289157,0,2,False
76,0,0,1,0,0,0,22,1,0,0,13,1.38,0,0,1,2,8,1,1.69230769230769,0,0,0.0,0,7,0.557377049180328,0,1,False
77,1,0,8,18,2,4,59,1,0,0,2,0.5,0,37,1,0,6,1,27.0,0,1,1.4,0,19,0.486187845303867,0,1,True
78,0,0,1,0,0,0,15,1,0,0,3,2.5,0,0,0,3,0,0,1.0,0,0,0.0,0,6,0.666666666666667,0,0,False
79,1,4,2,1,18,0,60,1,0,0,13,0.22,0,94,1,0,8,1,3.88888888888889,1,1,1.5,0,15,0.81981981981982,0,1,False
80,3,0,1,3,12,0,23,1,0,0,9,0.19,0,88,1,0,4,1,2.58333333333333,0,1,0.714285714285714,0,21,0.779661016949153,0,2,False
81,0,1,1,0,0,0,23,1,0,1,9,0.31,0,60,2,0,4,2,2.7,0,1,0.666666666666667,0,6,0.730434782608696,0,0,True
82,1,0,2,4,1,7,66,1,0,0,2,0.99,3,66,1,0,4,2,3.66666666666667,0,1,2.83333333333333,0,8,0.407643312101911,0,2,True
83,1,0,1,0,0,3,83,1,2,11,12,0.39,1,74,1,2,13,2,4.73333333333333,1,0,1.05882352941176,0,109,0.288235294117647,0,2,True
84,0,0,1,0,0,6,66,1,0,1,7,0.97,0,42,2,0,2,1,3.42857142857143,2,2,1.11111111111111,0,130,0.607843137254902,0,3,False
85,1,0,1,1,1,1,28,1,0,6,7,0.31,0,80,2,1,8,2,3.875,0,1,1.3,0,10,0.607142857142857,0,3,False
86,0,0,1,0,0,9,68,1,0,1,5,1.24,0,19,3,0,3,1,3.2,2,2,1.42857142857143,0,169,0.532374100719424,0,1,False
87,0,0,1,4,0,0,88,1,0,4,13,0.99,0,69,1,0,1,2,2.61538461538462,1,1,0.466666666666667,0,6,0.878640776699029,0,1,False
88,0,4,1,0,0,0,49,1,0,4,2,2.04,0,83,1,1,2,1,2.83333333333333,0,1,0.888888888888889,0,6,0.698924731182796,0,0,False
89,0,0,1,0,0,8,183,1,0,0,19,1.23,0,0,1,0,23,2,4.73684210526316,1,2,0.0,0,206,0.688571428571429,0,2,False
90,0,0,1,0,0,7,167,1,0,0,20,1.06,0,0,1,0,32,2,4.5,0,2,0.0,0,213,0.744186046511628,0,2,False
91,1,0,1,226,0,0,264,1,0,0,0,1.14,0,100,1,0,0,1,0.0,0,1,0.0,0,21,0.629380053908356,0,2,False
92,0,2,1,0,0,0,20,1,0,0,0,0.32,0,0,2,0,1,1,29.0,2,2,0.0,0,6,0.673913043478261,0,0,False
93,0,1,1,0,0,0,15,1,0,2,6,0.43,0,0,1,1,4,1,3.85714285714286,3,2,0.0,0,6,0.575757575757576,0,0,False
94,0,0,1,0,0,0,15,1,0,0,6,1.36,0,0,0,1,2,0,1.0,1,0,0.0,0,6,0.538461538461538,0,0,False
95,0,0,1,0,0,0,19,1,0,0,6,2.11,0,0,0,1,2,0,1.0,1,0,0.0,0,6,0.536585365853659,0,0,False
96,1,0,1,21,0,0,24,1,0,0,0,0.92,0,100,1,0,0,1,0.0,0,1,0.0,0,6,0.478260869565217,0,0,True
97,0,3,1,2,0,2,32,1,0,0,3,0.24,0,66,2,0,4,1,3.16666666666667,1,1,1.0,0,12,0.774193548387097,0,2,False
98,2,2,1,2,2,2,54,2,1,5,5,0.45,2,64,2,0,3,1,3.7,0,1,0.846153846153846,0,231,1.0,0,0,True
99,0,0,0,87,0,0,60,1,0,0,0,0.46,0,0,1,0,0,1,0.0,0,0,0.0,0,6,0.708791208791209,0,1,False
100,0,1,1,0,0,0,53,1,0,8,1,1.18,0,0,1,0,0,1,9.0,9,8,0.0,0,6,0.788135593220339,0,0,False
101,2,6,1,0,0,2,91,1,9,33,12,0.26,0,94,2,0,35,1,5.13793103448276,0,1,0.612903225806452,0,104,0.695906432748538,0,1,False
102,2,6,1,0,0,0,20,1,1,1,0,0.27,0,44,3,0,9,2,4.77777777777778,0,1,0.0,0,10,0.692307692307692,0,2,False
103,0,0,0,53,0,0,77,1,0,4,0,0.95,0,0,1,0,2,1,0.0,0,0,0.0,0,11,0.624434389140271,0,3,False
104,43,7,1,1,0,2,397,1,32,35,52,0.3,0,96,2,1,39,1,5.34328358208955,0,0,0.5,0,406,0.74468085106383,0,7,True
105,0,0,1,0,0,6,185,1,0,1,23,0.79,0,91,3,0,12,1,3.0,0,2,0.642857142857143,0,358,0.586206896551724,0,2,True
106,38,35,1,1,0,1,1068,1,54,0,6,0.57,1,95,2,1,21,2,6.56390977443609,0,0,0.82962962962963,0,168,0.936464920204758,0,5,True
107,16,20,1,0,0,1,156,1,5,0,11,0.46,0,0,2,1,12,2,3.63461538461538,0,0,0.296296296296296,0,26,0.929508196721311,0,3,True
108,30,13,1,0,0,4,398,1,8,13,5,0.52,2,93,2,1,21,1,5.07142857142857,1,1,1.12068965517241,0,265,0.664173522812266,0,4,True
109,0,1,1,0,0,2,46,1,1,2,2,1.28,0,62,2,1,6,1,3.75,1,1,0.5,0,6,0.401960784313726,0,1,True
110,0,0,1,0,0,6,52,1,0,0,6,1.37,0,0,3,0,5,1,1.16666666666667,0,2,0.333333333333333,0,68,0.304761904761905,0,1,True
111,0,0,1,0,0,0,20,1,7,6,0,0.49,0,71,1,0,0,1,2.14285714285714,1,1,0.0,0,6,0.571428571428571,0,0,False
112,7,0,1,11,3,4,137,1,0,0,4,0.54,1,88,2,0,5,1,5.09090909090909,2,1,2.30769230769231,0,6,0.897058823529412,0,1,False
113,0,4,1,0,0,1,53,1,2,0,0,0.45,4,0,3,1,8,1,7.33333333333333,3,2,1.375,0,10,0.827102803738318,0,2,False
114,9,3,1,2,0,1,62,1,2,0,1,0.32,1,96,3,1,14,1,6.26666666666667,1,1,0.882352941176471,0,14,0.84,0,2,False
115,1,7,1,0,0,3,78,1,1,1,7,0.7,0,56,2,1,11,2,5.375,1,1,0.0,0,73,0.557603686635945,0,2,False
116,0,3,1,0,0,2,69,1,2,6,9,0.43,0,80,2,1,13,1,5.64285714285714,0,0,0.6875,0,34,0.661596958174905,0,1,False
117,0,1,1,0,0,4,152,1,0,0,30,0.99,0,0,3,0,7,1,0.580645161290323,0,1,0.117647058823529,0,252,0.476744186046512,0,2,True
118,3,2,1,0,0,2,89,1,0,0,5,0.41,2,0,5,1,15,2,6.2,1,2,1.41666666666667,0,22,0.821325648414986,0,3,False
119,12,0,1,0,0,2,69,1,0,0,5,0.33,1,0,5,1,15,2,7.58823529411765,3,0,0.421052631578947,0,11,0.87037037037037,0,2,False
120,0,2,1,0,0,0,17,1,3,0,1,0.34,0,0,2,0,7,1,5.16666666666667,3,1,0.375,0,30,0.375,0,0,True
121,3,0,1,0,0,3,36,1,1,1,2,0.4,2,83,3,0,5,1,4.66666666666667,0,2,1.625,0,6,0.721518987341772,0,2,False
122,4,6,1,0,0,0,24,1,1,4,15,0.2,0,75,1,1,10,2,3.42307692307692,0,0,0.0,0,9,0.835978835978836,0,2,False
123,31,14,1,0,0,3,593,1,28,0,9,0.38,2,0,4,1,30,2,5.59756097560976,1,1,1.01190476190476,0,71,0.908003300330033,0,7,True
124,23,12,1,0,0,4,494,1,5,3,10,0.49,1,94,4,1,24,2,6.8,1,1,1.17307692307692,0,46,0.548346055979644,0,3,True
125,0,0,1,0,0,0,53,1,4,16,6,0.73,0,80,1,0,3,1,1.7,1,1,0.0,0,8,0.613793103448276,0,3,False
126,1,1,1,0,0,3,91,1,2,1,17,0.61,0,4,1,0,18,1,4.76190476190476,1,1,0.391304347826087,0,154,0.334558823529412,0,4,False
127,2,2,1,0,0,0,36,1,13,0,3,0.17,1,0,6,0,11,1,3.95,0,0,0.545454545454545,0,6,0.782467532467532,0,2,False
128,0,7,1,0,0,2,60,1,5,0,7,0.35,2,0,6,0,7,1,7.21052631578947,1,0,0.380952380952381,0,6,0.705128205128205,0,1,False
129,5,0,2,23,1,9,278,1,4,18,15,0.38,1,92,1,0,16,2,10.2083333333333,2,1,2.11538461538462,0,32,0.806640625,0,4,True
130,0,0,1,0,0,0,15,1,0,2,2,1.25,0,0,1,0,0,2,3.0,2,1,0.0,0,6,0.5,0,0,False
131,7,38,1,5,0,2,335,1,22,23,0,0.36,1,88,1,1,17,1,11.5671641791045,2,1,0.782608695652174,0,107,0.872727272727273,0,3,False
132,9,46,1,1,0,1,345,1,23,12,2,0.35,0,84,1,1,18,1,7.7375,1,1,0.731707317073171,0,448,0.73421926910299,0,5,True
133,0,0,1,0,0,0,16,1,0,1,5,0.53,0,0,3,0,6,1,4.2,4,2,0.0,0,6,0.540983606557377,0,0,False
134,0,0,1,0,0,0,15,1,0,0,4,1.88,0,0,0,1,2,0,1.0,1,0,0.0,0,6,0.676470588235294,0,0,False
135,0,0,1,0,0,0,19,1,0,0,4,1.0,0,0,0,1,3,0,1.0,1,0,0.0,0,6,0.549019607843137,0,0,False
136,0,1,1,0,0,0,15,1,0,1,9,0.3,0,0,2,1,6,1,4.0,4,2,0.0,0,6,0.678571428571429,0,0,False
137,0,0,1,0,0,0,15,1,0,0,9,1.0,0,0,0,1,3,0,1.0,1,0,0.0,0,6,0.5,0,0,False
138,0,0,1,0,0,0,26,1,0,0,10,0.55,0,0,0,1,5,0,1.0,1,0,0.0,0,6,0.673913043478261,0,0,False
139,2,23,1,14,0,1,674,1,0,14,2,0.86,0,91,1,0,12,2,5.14814814814815,0,1,0.482758620689655,0,12,0.881547139403707,0,4,True
140,7,7,1,27,20,2,337,1,0,17,44,0.78,0,98,1,1,12,3,3.67241379310345,1,1,0.540983606557377,0,101,0.625410733844469,0,3,True
141,1,0,1,2,0,0,33,1,0,0,3,0.58,0,100,3,1,4,2,3.0,1,2,1.33333333333333,0,25,0.281553398058252,0,0,True
142,0,0,1,0,0,8,71,1,0,0,5,2.03,0,0,4,0,3,1,1.2,0,1,0.3,0,126,0.949152542372881,0,0,True
143,0,0,1,2,0,9,146,1,0,0,3,4.56,0,100,2,3,5,2,2.66666666666667,0,2,0.6,0,54,0.464646464646465,0,3,True
144,0,0,1,0,0,6,125,1,0,0,6,3.38,0,0,3,0,3,1,1.16666666666667,0,1,0.272727272727273,0,131,0.80225988700565,0,2,True
145,8,0,2,4,8,3,90,1,0,1,8,0.33,1,93,1,0,16,2,4.375,0,1,1.33333333333333,0,32,0.384057971014493,0,2,True
146,0,0,1,2,0,0,36,1,0,0,3,1.29,0,100,3,1,3,2,2.0,0,1,0.6,0,29,0.294871794871795,0,1,True
147,0,0,1,0,0,7,82,1,0,0,6,1.78,0,0,4,0,5,1,1.5,0,1,0.363636363636364,0,150,0.957446808510638,0,1,True
148,0,0,1,0,0,2,34,1,0,3,5,0.63,0,46,1,0,1,1,3.2,2,1,1.25,0,6,1.0,0,0,False
149,1,0,2,9,1,16,100,1,0,2,2,0.84,10,63,1,0,3,1,6.33333333333333,1,1,2.2,0,6,1.0,0,0,False
150,0,2,1,2,5,4,100,2,0,13,14,0.3,1,75,2,0,1,1,6.0,3,2,1.68421052631579,0,6,1.0,0,0,False
151,1,0,1,8,1,7,112,1,0,3,7,0.69,3,84,1,0,0,1,3.75,1,1,1.27272727272727,0,6,0.966360856269113,0,1,False
152,4,0,1,1,8,11,138,1,0,0,4,1.04,2,75,1,0,1,1,2.0,1,1,1.2,0,6,1.0,0,0,False
153,1,2,1,0,2,10,78,1,0,3,1,0.57,6,50,1,0,0,1,3.0,1,1,2.0,0,6,1.0,0,0,False
154,0,0,1,2,1,0,15,1,0,0,1,0.25,13,0,1,0,0,1,5.0,5,13,1.0,1,6,1.0,0,0,False
155,0,2,1,0,3,14,64,1,0,0,1,0.66,3,0,1,0,1,1,2.33333333333333,2,3,2.8,1,170,1.0,0,0,False
156,0,2,1,0,3,14,66,1,0,0,1,0.68,3,0,1,0,1,1,2.33333333333333,2,3,2.8,1,174,1.0,0,0,False
157,0,0,2,0,3,4,29,1,0,0,3,0.6,0,0,1,0,0,1,2.33333333333333,0,3,2.6,2,85,1.0,0,0,False
158,27,0,2,5,1,6,239,3,0,11,6,0.32,1,91,2,0,3,2,5.42424242424242,1,1,1.39473684210526,0,6,0.932344763670065,0,2,False
159,0,0,1,1,1,9,295,1,1,1,17,2.68,0,52,1,0,2,1,6.66666666666667,2,1,0.45,0,6,0.91683569979716,0,2,True
160,1,1,2,6,0,6,122,1,10,11,0,0.79,1,84,1,0,5,1,5.58333333333333,2,1,1.8,0,19,0.838926174496644,0,5,True
161,0,5,1,0,0,0,41,1,0,3,0,2.16,0,80,1,1,0,1,2.6,1,1,0.0,0,6,0.918918918918919,0,0,False
162,1,1,1,1,2,1,170,1,0,0,1,0.85,1,33,1,0,0,1,1.66666666666667,0,1,0.6,0,6,0.984455958549223,0,1,False
163,0,1,2,0,0,3,24,2,0,4,2,0.46,2,37,2,0,1,2,2.66666666666667,1,2,1.5,0,9,0.836734693877551,0,1,True
164,1,0,2,321,2,3,327,1,2,0,0,0.92,0,99,1,0,0,1,3.66666666666667,0,1,1.6,0,23,0.884057971014493,0,4,False
165,0,2,1,0,0,0,20,1,0,0,0,0.14,0,0,2,0,1,1,65.5,3,2,0.0,0,6,0.934131736526946,0,3,False
166,0,1,2,0,0,7,60,1,0,2,4,1.71,0,40,1,0,0,1,3.0,3,1,1.14285714285714,0,19,0.803921568627451,0,1,True
167,1,9,1,0,0,4,164,1,12,29,1,0.67,0,93,1,1,6,1,4.04347826086957,1,1,0.88,0,44,0.63231850117096,0,3,True
168,14,7,1,9,0,7,666,1,50,18,0,0.66,1,90,1,0,13,1,7.70422535211268,1,1,0.698630136986301,0,136,0.90904226859283,0,5,True
169,17,7,1,3,4,8,749,1,57,16,1,0.76,1,89,1,0,13,1,7.45121951219512,1,1,0.69047619047619,0,4783,0.9568489713999,0,5,True
170,1,1,1,8,3,19,167,1,3,4,2,0.59,3,83,1,0,0,1,7.28571428571429,3,1,2.44444444444444,1,116,0.759109311740891,0,1,False
171,151,2,2,26,4,13,2580,1,25,36,2,0.52,2,96,2,0,48,1,9.52777777777778,0,1,1.53846153846154,0,17843,0.877171215880893,3,10,True
172,0,2,1,16,2,4,77,1,4,13,1,0.32,1,84,2,0,8,1,11.0,3,1,1.33333333333333,0,33,0.916030534351145,0,3,True
173,0,1,1,0,0,0,36,1,0,4,0,2.25,0,0,1,0,0,1,4.0,4,5,0.0,0,22,0.738095238095238,0,0,False
174,1,1,1,3,0,4,205,1,29,34,3,0.65,0,91,1,0,4,1,3.70588235294118,1,1,0.638888888888889,0,19,0.781629116117851,0,4,False
175,12,5,1,1,1,4,580,1,82,44,5,0.65,0,95,1,0,15,1,3.94230769230769,1,1,0.5,0,36,0.769046190761848,0,3,True
176,1,1,1,0,0,7,83,1,0,4,5,1.73,0,53,1,0,1,1,4.0,1,1,0.888888888888889,0,6,0.950704225352113,0,2,False
177,22,1,1,0,0,5,175,1,2,3,0,0.45,2,72,1,0,11,1,6.64,1,1,1.25925925925926,0,6,0.985185185185185,0,2,True
178,1,1,1,0,1,4,43,1,0,3,4,0.83,0,50,1,0,0,2,2.16666666666667,1,1,0.75,0,6,0.951612903225806,0,1,False
179,1,0,1,17,0,0,35,1,0,0,0,1.59,0,100,1,0,0,1,0.0,0,1,0.0,0,6,0.890243902439024,0,1,False
180,4,0,1,13,3,8,174,1,4,3,0,0.75,2,80,1,0,1,1,6.5,3,1,3.1,0,6,0.985981308411215,0,1,False
181,0,5,1,2,0,1,31,1,0,0,0,0.24,0,70,2,0,0,1,2.4,0,1,1.14285714285714,0,6,0.965714285714286,0,1,False
182,4,0,2,0,2,6,136,1,2,5,12,0.75,2,75,2,0,5,1,3.0,0,1,1.0,0,842,0.893939393939394,0,2,False
