File,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
53,0,1,0,0,21,1,2,0.4,1,62,2,0,7,1,1.75,0,0,1,0.666666666666667,0,0.0,0,2,0,False
54,0,1,0,0,23,1,17,1.92,0,98,1,0,0,1,1.33333333333333,0,1,0,0.5,0,0.0,0,2,1,False
55,2,2,1,5,209,2,1,0.73,0,60,1,0,1,2,4.67647058823529,0,1,1,0.405405405405405,0,0.0,0,1,0,False
56,2,1,1,5,176,2,1,1.2,0,61,1,0,1,2,4.81481481481481,0,1,1,0.2,0,0.0,0,2,0,False
57,3,1,2,0,40,3,2,0.42,0,65,1,0,2,2,1.04166666666667,0,0,1,0.0,0,0.0,0,1,0,False
58,2,1,2,0,40,2,1,0.53,0,62,1,0,1,2,1.57142857142857,0,0,1,0.0,0,0.0,0,1,0,False
59,2,2,1,0,24,1,10,0.12,1,75,1,0,14,2,7.85714285714286,0,1,1,1.66666666666667,0,0.0,0,2,0,True
60,0,1,0,0,21,1,1,0.95,0,0,1,0,0,2,1.33333333333333,1,1,1,0.0,0,0.0,0,1,1,False
61,0,2,0,1,26,1,0,0.5,0,0,2,0,3,1,1.5,0,1,1,1.0,0,0.0,0,1,1,False
62,2,2,2,0,42,2,2,0.13,0,79,1,0,6,2,3.04761904761905,0,1,1,0.555555555555556,0,0.0,0,2,1,False
63,2,1,2,0,43,2,1,0.24,0,57,1,0,7,2,3.07407407407407,0,1,1,0.233333333333333,0,0.0,0,2,2,False
64,2,1,0,0,22,6,0,0.24,1,0,2,0,3,2,1.0,0,1,1,0.55,0,0.0,0,2,0,True
65,1,1,0,4,30,1,0,0.57,4,0,2,0,8,1,4.5,2,3,1,0.75,0,0.0,0,2,0,True
66,0,0,0,0,18,0,0,4.5,0,0,0,0,0,0,0.0,0,0,2,1.0,1,0.5,0,2,0,False
67,0,0,0,0,18,0,0,2.0,0,0,0,0,0,0,0.0,0,0,4,1.0,1,1.0,0,2,0,False
68,0,0,0,0,18,0,0,2.57,0,0,0,0,0,0,0.0,0,0,8,3.0,3,1.0,0,3,0,False
69,5,2,3,3,124,2,20,0.21,3,88,1,0,24,2,6.13636363636364,0,1,1,1.5,0,0.666666666666667,0,4,2,True
70,0,1,0,0,20,1,1,0.45,0,0,2,0,0,2,1.5,0,1,1,0.0,0,0.0,0,2,0,False
71,0,2,0,3,35,1,2,0.47,1,25,1,0,2,2,3.25,0,1,1,1.5,0,1.0,0,2,1,False
72,0,2,0,4,36,1,2,0.41,4,12,1,0,2,2,4.25,3,3,2,1.66666666666667,1,1.0,0,2,1,False
73,0,0,0,0,18,1,0,2.57,0,0,1,0,0,1,0.0,0,0,0,0.0,0,0.0,0,3,0,False
74,0,1,7,5,61,1,0,1.15,0,64,1,0,2,1,3.28571428571429,3,1,1,0.777777777777778,0,0.0,0,1,0,False
75,2,1,0,1,42,1,2,0.16,1,87,2,0,18,3,2.72222222222222,0,0,1,1.4,0,0.5,0,4,2,True
76,4,3,1,4,78,2,0,0.22,5,100,2,0,23,2,4.92307692307692,0,1,1,1.0625,0,0.5,0,5,1,True
77,0,1,0,2,34,2,0,0.41,1,100,2,0,6,3,2.0,0,1,1,0.625,0,0.666666666666667,0,3,2,False
78,1,2,0,5,42,2,0,0.26,1,87,2,0,2,2,3.0,0,1,1,1.55555555555556,0,0.5,0,3,1,False
79,1,2,0,2,37,1,3,0.39,2,66,5,0,5,1,4.5,1,2,1,1.625,0,1.0,0,3,0,False
80,2,2,0,5,62,1,3,0.58,2,71,5,0,7,1,4.57142857142857,0,1,1,1.88888888888889,0,1.0,0,3,1,True
81,0,0,0,0,18,0,0,18.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,1,0,False
82,0,1,0,0,21,1,0,1.62,0,0,2,0,1,1,2.5,0,0,1,0.0,0,0.0,0,1,1,False
83,3,1,1,2,33,1,4,0.28,0,66,2,0,2,1,3.5,1,1,1,0.625,0,1.0,0,2,1,False
84,14,1,0,1,48,1,0,0.09,4,0,2,0,9,1,3.89473684210526,1,2,1,0.761904761904762,0,1.0,0,3,1,True
85,0,1,0,4,48,1,0,0.07,22,0,2,0,18,1,2.16666666666667,0,14,1,1.25,0,1.0,0,3,0,True
86,0,2,0,1,36,1,2,0.63,0,56,1,0,0,2,2.0,1,1,1,1.45454545454545,0,0.0,0,3,0,False
87,0,1,0,8,38,1,0,1.31,0,0,1,0,1,2,2.0,2,4,1,0.75,0,0.0,0,3,0,False
88,0,1,0,0,24,1,0,1.5,0,100,2,0,0,1,2.5,0,1,1,0.0,0,0.0,0,3,0,False
89,0,2,1,8,55,1,2,0.75,2,41,1,0,5,1,4.0,2,2,1,1.5,0,1.0,0,3,2,False
90,2,1,0,3,182,2,19,0.5,0,100,1,0,17,3,3.42857142857143,0,1,0,1.21052631578947,0,0.0,0,2,5,False
91,0,1,0,4,77,1,2,0.62,0,54,1,0,3,2,3.0,1,1,1,1.30769230769231,0,0.0,0,3,1,False
92,0,1,0,0,23,1,0,0.57,1,0,2,0,3,1,0.75,0,1,1,0.5,0,0.0,0,3,0,False
93,0,2,0,2,34,1,3,0.2,5,65,2,0,6,1,2.6,1,2,1,2.42857142857143,0,0.0,0,2,3,False
94,0,1,0,0,26,1,5,0.04,0,99,1,2,1,2,0.356382978723404,0,0,1,0.130208333333333,0,0.0,0,1,1,True
95,0,1,0,1,1317,1,0,1.87,0,0,1,0,1,2,0.0,0,0,1,0.0,0,0.0,0,2,2,False
96,1,1,0,1,320,1,4,1.24,0,93,1,0,10,2,0.538461538461538,0,0,1,0.181818181818182,0,0.5,0,2,6,False
97,1,1,2,0,81,9,5,0.1,0,98,1,0,10,2,0.263440860215054,0,1,1,0.16243654822335,0,0.5,0,2,6,False
98,0,1,0,1,71,1,0,1.87,0,0,1,0,1,2,0.222222222222222,0,0,1,0.25,0,1.0,0,3,0,False
99,2,1,4,7,113,1,0,0.77,1,84,1,0,1,2,3.33333333333333,0,1,1,1.0,0,0.0,0,5,0,False
100,0,1,0,0,17,1,1,0.57,0,50,2,7,0,1,1.5,0,0,1,0.6,0,0.0,0,2,0,False
101,2,1,0,1,652,1,8,1.63,0,96,1,0,4,2,0.594059405940594,0,0,1,0.144230769230769,0,0.5,0,5,1,True
102,2,2,1,2,41,1,7,0.29,1,75,2,0,14,1,4.375,0,1,1,1.5,0,0.0,0,3,0,True
103,0,1,0,0,28,1,2,0.22,0,85,1,0,3,2,1.125,0,1,1,0.148148148148148,0,0.0,0,6,1,True
104,0,1,0,0,252,1,6,1.5,0,93,1,0,4,2,0.511627906976744,0,0,1,0.108695652173913,0,0.0,0,2,5,False
105,0,1,3,0,31,1,6,0.25,0,80,1,0,1,1,4.57142857142857,2,1,1,0.375,0,0.0,0,2,1,True
106,0,1,0,0,20,1,4,0.69,0,62,1,0,1,1,2.66666666666667,2,1,1,0.0,0,0.0,0,1,0,False
107,0,12,1,6,23,1,0,0.74,0,0,1,0,0,1,13.0,13,3,12,1.0,1,0.0,0,1,0,True
108,3,1,1,2,99,2,6,0.12,4,88,2,0,4,2,3.71428571428571,1,1,1,1.09677419354839,0,0.5,0,6,3,True
109,0,1,0,0,6,0,0,0.25,19,0,0,0,0,0,0.0,0,20,1,0.0,0,0.0,0,3,2,True
110,0,0,0,0,6,1,0,0.23,0,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,3,2,True
111,0,2,0,0,6,0,0,0.0,4,0,0,0,0,0,13.4821428571429,2,7,1,2.0,0,0.5,0,3,5,True
112,0,1,0,0,62,28,0,0.05,0,81,1,0,7,1,3.20512820512821,0,1,1,0.425170068027211,0,0.5,0,4,4,True
113,0,1,0,1,67,1,0,0.31,0,0,2,0,14,1,0.0151515151515152,0,1,1,0.0,0,0.5,0,6,3,True
114,0,1,0,0,45,0,0,0.0,4,0,0,0,0,0,5.16043613707165,1,2,1,1.39191290824261,0,0.4,0,6,4,True
115,0,1,0,0,72,261,0,0.01,0,67,2,5,207,2,1.21745788667688,0,0,1,0.515358361774744,0,0.333333333333333,0,6,3,True
116,2,1,3,0,26,2,5,0.11,0,87,2,0,1,4,3.3125,0,0,0,0.888888888888889,0,0.0,0,4,0,True
117,2,1,3,0,26,2,5,0.11,0,87,2,0,1,4,1.96875,0,0,0,0.771428571428571,0,0.0,0,3,0,True
118,0,0,0,0,5,1,0,0.14,0,0,1,0,0,1,0.0,0,0,0,0.0,0,0.0,0,5,1,True
119,2,2,3,0,44,2,13,0.07,0,87,1,0,2,4,4.90740740740741,0,0,0,0.666666666666667,0,0.0,0,3,1,True
120,2,2,3,0,34,2,9,0.09,0,85,1,0,1,4,6.26190476190476,0,0,0,0.644444444444444,0,0.0,0,4,0,True
121,2,2,3,0,50,2,11,0.1,0,86,1,0,4,4,3.19148936170213,0,0,0,0.6,0,0.0,0,2,0,True
122,2,2,3,0,55,2,13,0.09,0,87,1,0,2,4,3.56363636363636,0,0,0,0.637931034482759,0,0.0,0,2,0,True
123,1,1,1,1,12,1,6,0.35,0,76,1,0,0,2,2.0,0,1,0,0.428571428571429,0,0.0,0,1,1,True
124,2,2,3,0,65,2,24,0.07,0,91,1,0,2,4,4.74683544303798,0,0,0,0.475609756097561,0,0.5,0,4,3,True
125,2,1,3,0,26,2,5,0.11,0,87,2,0,1,4,1.78125,0,0,0,0.771428571428571,0,0.0,0,4,0,True
126,2,1,3,0,26,2,5,0.11,0,87,2,0,1,4,3.90625,0,0,0,0.771428571428571,0,0.0,0,4,0,True
127,2,1,3,0,26,2,5,0.11,0,87,2,0,1,4,3.375,0,0,0,0.771428571428571,0,0.0,0,4,0,True
128,2,1,3,0,26,2,5,0.11,0,87,2,0,1,4,2.125,0,0,0,0.771428571428571,0,0.0,0,2,0,True
129,2,1,3,0,26,2,5,0.11,0,87,2,0,1,4,13.3125,0,0,0,0.771428571428571,0,0.0,0,2,0,True
130,2,1,3,0,26,2,5,0.11,0,87,2,0,1,4,6.59375,0,0,0,0.771428571428571,0,0.0,0,4,0,True
131,2,2,3,0,31,2,8,0.1,0,86,1,0,1,4,2.72972972972973,0,0,0,0.675,0,0.0,0,2,0,True
132,2,2,3,0,58,2,20,0.07,0,91,1,0,3,4,6.52777777777778,0,0,0,0.533333333333333,0,0.5,0,4,1,True
133,1,1,1,1,12,1,2,0.55,0,70,1,0,0,2,2.0,0,1,0,0.428571428571429,0,0.0,0,1,1,True
134,2,2,3,0,43,2,9,0.07,0,86,1,0,2,4,3.45833333333333,0,0,0,0.823529411764706,0,0.0,0,2,0,True
135,1,1,1,1,12,1,4,0.43,0,75,1,0,0,2,5.0,0,1,0,0.428571428571429,0,0.0,0,1,1,True
136,2,1,3,0,27,2,5,0.1,0,86,1,0,2,4,2.22857142857143,0,0,0,0.868421052631579,0,0.0,0,2,0,True
137,2,2,3,0,55,2,14,0.1,0,88,1,0,2,4,3.73076923076923,0,0,0,0.527272727272727,0,0.0,0,2,0,True
138,2,2,3,0,35,2,10,0.09,0,87,1,0,1,4,3.0,0,0,0,0.622222222222222,0,0.0,0,2,0,True
139,2,1,3,0,33,2,7,0.08,0,85,1,0,2,4,2.76190476190476,0,0,0,0.777777777777778,0,0.5,0,5,0,True
140,2,2,3,0,36,2,9,0.08,0,86,1,0,1,4,4.68181818181818,0,0,0,0.74468085106383,0,0.0,0,4,0,True
141,2,2,3,0,68,2,24,0.06,0,92,1,0,4,4,7.04545454545455,0,0,0,0.472527472527473,0,0.5,0,4,1,True
142,2,2,3,0,78,2,30,0.06,0,93,1,0,4,4,6.89690721649485,0,0,0,0.44,0,0.5,0,4,2,True
143,257,1,385,0,3673,392,1245,0.07,0,100,2,72,149,4,2.63332229214972,0,0,0,0.579498229952286,0,0.4,0,4,7,True
144,2,2,3,0,39,2,11,0.07,0,87,1,0,2,4,3.56,0,0,0,0.716981132075472,0,0.0,0,4,0,True
145,2,1,3,0,26,2,5,0.11,0,87,2,0,1,4,2.84375,0,0,0,0.771428571428571,0,0.0,0,4,1,True
146,2,1,3,0,26,2,5,0.11,0,87,2,0,1,4,2.09375,0,0,0,0.771428571428571,0,0.0,0,2,0,True
147,2,1,3,0,26,2,5,0.11,0,87,2,0,1,4,2.5625,0,0,0,0.771428571428571,0,0.0,0,4,1,True
148,2,2,3,0,30,2,7,0.09,0,85,1,0,1,4,2.13513513513514,0,0,0,0.7,0,0.0,0,4,0,True
149,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0,0.0,0,1,0,False
150,0,0,0,0,5,0,0,0.24,0,0,0,0,0,0,0.0,0,0,1,0.0,0,0.0,0,3,2,True
151,0,0,0,0,1821,131,0,0.16,0,0,2,4,0,3,0.0,0,0,1,0.852483320978503,0,0.4,0,6,5,True
152,0,0,0,0,305,31,0,0.13,0,0,3,0,0,1,0.0,0,0,1,0.99163179916318,0,0.5,0,4,5,True
153,0,1,0,19,59,1,0,3.28,0,0,2,1,8,1,1.0,1,0,1,1.8,0,0.5,0,2,1,False
154,0,1,0,1,20,1,1,1.67,0,0,2,0,2,1,3.0,2,1,1,0.4,0,0.0,0,1,0,False
155,0,1,0,2,24,1,2,1.33,0,33,2,0,2,1,3.0,2,1,1,0.0,0,0.0,0,1,0,False
156,0,1,0,2,23,1,2,1.35,0,33,2,0,2,1,3.0,2,1,1,0.0,0,0.0,0,1,0,False
157,0,1,0,1,20,1,1,1.54,0,0,2,0,2,1,3.0,2,1,1,0.0,0,0.0,0,1,0,False
158,0,1,0,1,20,1,1,1.54,1,0,2,0,2,1,3.0,2,1,1,0.0,0,0.0,0,1,0,False
159,0,1,0,0,17,1,1,0.65,1,25,2,0,2,1,2.5,2,2,1,1.5,0,1.0,0,2,0,False
160,0,1,0,2,29,1,2,1.71,0,33,1,9,1,1,4.66666666666667,1,1,1,0.0,0,0.0,0,1,0,False
161,0,1,0,2,23,1,2,1.15,0,33,2,0,2,1,3.0,2,1,1,0.0,0,0.0,0,1,0,False
162,0,1,0,1,20,1,1,1.54,0,0,2,0,2,1,2.5,2,1,1,0.0,0,1.0,0,1,0,False
163,0,1,0,0,21,1,4,0.7,0,60,2,0,2,1,2.6,1,1,1,0.0,0,1.0,0,1,0,False
164,0,1,0,2,23,1,2,1.28,0,33,2,0,2,1,2.66666666666667,2,1,1,0.0,0,1.0,0,1,0,False
165,0,1,0,1,20,1,1,1.54,0,0,2,0,2,1,2.5,2,1,1,0.0,0,1.0,0,1,0,False
166,0,1,0,1,20,1,1,1.54,0,0,2,0,2,1,2.5,2,1,1,0.0,0,1.0,0,1,0,False
167,0,1,0,1,26,2,11,0.96,0,100,1,9,2,1,2.6,0,1,0,0.0,0,1.0,0,1,0,False
168,0,1,0,0,20,1,3,0.83,0,50,2,0,1,1,2.5,1,1,1,0.0,0,1.0,0,1,0,False
169,2,2,0,6,57,1,1,0.17,2,66,1,0,14,2,4.66666666666667,1,1,1,2.25,0,0.6,0,3,4,True
170,0,1,0,1,21,1,0,1.5,0,0,2,0,0,1,1.0,0,1,1,0.0,0,0.0,0,1,0,False
171,0,1,0,6,66,1,0,3.67,0,0,0,1,2,0,1.0,1,0,1,0.0,0,0.0,0,1,0,False
172,0,1,0,7,29,1,0,4.83,0,0,0,1,3,0,1.0,1,1,1,0.0,0,0.0,0,1,0,False
173,31,1,9,1,209,9,12,0.08,1,96,2,1,81,2,5.56338028169014,0,1,1,1.21052631578947,0,0.416666666666667,1,6,8,True
174,12,1,1,3,338,2,11,0.44,0,90,1,0,37,2,5.35483870967742,1,1,1,0.520833333333333,0,0.714285714285714,0,6,7,True
175,0,5,0,4,21,1,0,0.53,4,0,1,0,3,2,5.0,5,10,6,2.0,2,0.0,0,1,0,True
176,0,1,0,7,37,1,0,5.29,0,0,0,2,0,0,1.0,1,0,1,0.0,0,1.0,0,1,1,False
177,0,1,0,8,589,1,0,3.25,0,0,0,1,20,0,0.641791044776119,0,0,1,0.0,0,0.5,0,7,6,False
178,0,1,0,1,26,1,1,2.6,0,0,1,0,0,1,1.5,1,1,1,0.0,0,1.0,0,1,0,False
179,0,1,0,0,24,1,1,1.14,0,40,1,0,1,2,1.0,1,0,1,0.0,0,1.0,0,1,0,False
180,0,1,0,3,59,1,1,1.64,0,75,1,2,10,2,1.16666666666667,1,0,1,0.0,0,1.0,0,3,0,False
181,0,1,0,8,28,1,0,3.11,0,0,0,1,1,0,1.0,1,1,1,0.0,0,1.0,0,1,1,False
182,0,1,0,0,22,1,1,0.96,0,25,1,1,4,2,3.25,1,0,1,0.0,0,1.0,0,1,0,False
183,2,2,38,4,211,2,0,0.3,1,94,1,0,23,2,4.97435897435897,1,1,1,1.3953488372093,0,0.6,0,4,9,True
184,62,1,2,1,226,2,12,0.07,0,100,1,0,55,3,6.66666666666667,0,1,0,1.73758865248227,0,0.5,0,6,7,True
185,6,1,2,3,114,6,20,0.42,0,100,2,1,7,1,3.27272727272727,0,1,0,1.03333333333333,0,0.0,0,3,0,True
186,0,0,0,0,21,0,0,21.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,1,0,False
187,1,1,1,0,17,1,4,0.26,1,55,1,0,0,1,5.75,2,1,1,1.33333333333333,0,1.0,0,2,0,False
188,0,1,0,1,90,1,0,0.61,0,0,2,2,17,1,2.01587301587302,0,0,1,0.0,0,0.5,0,6,2,False
189,6,1,2,1,33,1,8,0.22,1,76,1,0,7,2,5.3,2,1,1,1.08333333333333,0,0.5,0,2,0,False
190,0,0,0,0,20,1,4,5.0,0,100,1,0,0,1,0.0,0,1,0,0.0,0,0.0,0,1,1,False
191,0,1,0,0,22,1,0,1.1,0,0,2,0,0,1,1.5,1,1,1,0.75,0,0.0,0,1,0,False
192,0,1,0,0,20,1,0,0.61,0,0,3,1,1,2,2.25,2,2,1,0.428571428571429,0,1.0,0,1,0,False
193,1,2,0,1,33,2,3,0.23,0,33,4,0,6,2,8.0,2,2,1,1.11111111111111,0,1.0,0,1,0,True
194,1,2,11,2,110,1,6,0.37,0,92,1,0,11,1,7.0,2,2,1,1.03703703703704,0,0.666666666666667,0,5,7,False
195,0,1,0,1,29,1,1,1.93,0,25,1,0,0,1,1.75,0,1,1,0.0,0,0.0,0,1,0,False
196,0,1,0,3,57,1,4,1.43,0,70,1,0,0,1,2.6,1,1,1,0.0,0,0.0,0,3,0,False
197,0,1,0,0,29,1,8,0.39,0,83,1,0,1,1,2.16666666666667,0,1,1,0.0,0,1.0,0,2,0,False
198,0,1,0,2,46,1,3,1.53,0,62,1,0,0,1,2.25,0,1,1,0.0,0,0.0,0,1,1,False
199,0,1,0,0,27,1,7,0.4,0,81,1,0,0,1,2.25,0,1,1,0.0,0,1.0,0,2,0,False
200,0,1,0,3,88,1,9,1.04,0,85,1,0,2,1,1.9047619047619,0,1,1,0.0,0,1.0,0,1,1,False
201,0,1,0,3,33,1,2,1.57,0,40,1,0,0,1,1.8,1,1,1,0.0,0,0.0,0,1,0,False
202,0,1,0,3,69,1,7,1.06,0,81,1,0,2,1,3.0625,0,1,1,0.0,0,0.0,0,1,0,False
203,0,1,0,1,46,1,9,0.56,0,85,1,0,1,1,2.2,0,1,1,0.0,0,1.0,0,2,0,False
204,0,1,0,1,35,1,5,0.95,0,62,1,0,0,1,1.875,0,1,1,0.0,0,1.0,0,1,1,False
205,0,1,0,1,35,1,8,0.47,0,83,1,0,1,1,2.22222222222222,0,1,1,0.0,0,1.0,0,2,0,False
206,0,1,0,2,33,1,3,1.03,0,62,1,0,0,1,2.75,0,1,1,0.0,0,0.0,0,1,0,False
207,0,1,0,0,29,1,7,0.45,0,81,1,0,1,1,1.6875,0,1,1,0.0,0,0.0,0,1,0,False
208,0,1,0,3,40,1,3,1.33,0,57,1,0,0,1,2.71428571428571,2,1,1,0.0,0,0.0,0,1,1,False
209,0,1,0,3,89,1,10,0.99,0,86,1,0,2,1,2.86363636363636,0,1,1,0.0,0,0.5,0,2,1,False
210,0,1,0,3,103,1,12,0.96,0,88,1,0,2,1,3.42307692307692,0,1,1,0.0,0,0.0,0,2,0,False
211,0,1,0,1,46,1,9,0.56,0,85,1,0,1,1,2.5,0,1,1,0.0,0,1.0,0,2,0,False
212,0,1,0,1,35,1,8,0.47,0,83,1,0,1,1,2.55555555555556,0,1,1,0.0,0,1.0,0,2,0,False
