File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
73,0,0,1,0,0,0,31,1,0,2,0.66,0,42,2,0,9,1,3.85714285714286,1,2.57142857142857,1,1,0.333333333333333,0,1.0,0,6,2,False
74,0,0,1,0,0,0,32,1,0,0,2.29,0,0,3,0,5,1,1.0,0,1.0,0,1,0.0,0,0.0,0,1,0,False
75,2,0,1,0,0,1,94,1,7,15,0.32,0,88,2,3,17,1,9.09756097560976,1,3.4390243902439,1,1,0.720930232558139,0,1.0,0,3,4,False
76,0,0,1,0,0,0,30,1,0,0,0.88,0,0,3,0,7,1,2.16666666666667,1,1.33333333333333,1,1,0.0,0,0.0,0,1,0,False
77,0,0,1,0,0,0,31,1,0,0,0.78,0,0,3,0,7,1,2.42857142857143,1,1.42857142857143,1,1,0.333333333333333,0,0.0,0,1,0,False
78,0,0,1,0,0,0,28,1,0,2,0.7,0,57,2,0,8,1,3.71428571428571,1,2.0,1,1,0.0,0,0.0,0,2,0,False
79,0,0,1,0,0,0,32,1,0,1,1.19,0,50,2,2,3,2,3.5,0,1.33333333333333,1,1,0.0,0,0.0,0,2,0,False
80,0,0,1,0,0,0,40,1,0,1,0.91,0,62,3,0,7,2,6.25,1,2.125,1,1,0.3,0,0.0,0,3,1,False
81,0,0,1,0,0,1,44,1,0,1,1.38,0,50,2,9,7,2,11.1666666666667,0,1.66666666666667,1,1,0.0,0,0.0,0,3,0,False
82,3,0,2,0,2,2,69,1,5,5,0.4,0,69,2,3,23,3,6.36842105263158,1,4.10526315789474,1,1,0.952380952380952,0,0.0,0,2,0,False
83,0,0,1,0,0,0,10,1,0,1,0.3,2,0,3,0,8,1,6.66666666666667,6,6.0,5,1,0.0,0,0.0,0,2,0,False
84,0,0,1,0,0,0,10,1,0,3,0.24,2,11,3,0,8,1,7.66666666666667,7,6.66666666666667,6,1,0.0,0,0.0,0,2,0,False
85,0,0,1,0,0,0,10,1,0,2,0.27,2,0,3,0,8,1,7.33333333333333,7,6.33333333333333,6,1,0.0,0,0.0,0,2,0,False
86,0,0,1,0,0,1,50,1,0,1,0.98,0,42,2,0,10,1,2.85714285714286,1,2.57142857142857,1,1,0.333333333333333,0,0.0,0,3,3,False
87,0,0,1,0,0,1,42,1,0,1,1.31,0,33,2,0,7,1,3.5,1,1.83333333333333,1,1,0.0,0,0.0,0,4,1,False
88,0,0,1,0,0,0,39,1,0,1,1.05,0,42,2,0,8,2,2.14285714285714,1,1.57142857142857,1,1,0.0,0,0.0,0,4,3,False
89,0,0,1,0,0,4,40,1,0,0,10.0,0,0,0,4,1,0,2.5,2,1.0,1,1,0.0,0,0.0,0,2,0,False
90,0,0,1,0,0,0,38,1,0,0,9.5,0,0,0,5,1,0,4.5,4,1.0,1,1,0.0,0,0.0,0,2,0,False
91,0,0,1,0,0,0,9,1,0,2,0.27,0,50,2,0,3,1,2.0,1,1.83333333333333,1,1,0.0,0,1.0,0,1,0,False
92,0,0,1,0,0,1,47,1,0,2,1.47,0,64,2,0,3,2,2.28571428571429,1,1.57142857142857,1,1,0.0,0,1.0,0,3,3,False
93,0,0,1,0,0,1,41,1,0,0,1.46,0,0,3,0,7,1,3.0,1,2.5,1,1,0.5,0,0.0,0,3,1,False
94,0,0,1,0,0,2,59,1,0,2,1.55,0,56,2,0,7,1,3.375,1,1.75,1,1,0.0,0,1.0,0,4,3,False
95,0,0,1,0,0,1,42,1,0,1,1.14,0,28,2,0,9,2,2.85714285714286,1,1.85714285714286,1,1,0.0,0,1.0,0,5,2,False
96,0,0,1,0,0,0,35,1,0,0,1.3,0,0,3,0,11,1,7.0,7,5.5,2,1,0.75,0,0.0,0,2,0,False
97,0,0,1,0,0,0,36,1,0,0,1.89,0,0,3,0,9,1,6.0,6,4.5,2,1,0.0,0,0.0,0,2,0,False
98,0,0,1,0,0,0,35,1,0,0,1.67,0,0,3,0,9,1,3.66666666666667,1,4.66666666666667,2,1,0.0,0,0.0,0,1,1,False
99,0,0,1,0,0,0,37,1,0,0,1.28,0,0,3,0,10,1,6.33333333333333,5,3.66666666666667,2,1,0.6,0,0.0,0,2,0,False
100,0,0,1,0,0,0,36,1,0,0,2.0,0,0,3,0,8,1,6.0,6,3.5,2,1,0.0,0,0.0,0,2,0,False
101,0,0,2,0,0,0,37,1,0,0,0.86,0,0,3,0,13,1,4.4,1,5.0,2,1,1.28571428571429,0,0.0,0,1,1,False
102,0,0,1,0,0,1,62,1,0,4,0.58,0,71,2,19,19,4,9.57142857142857,0,3.28571428571429,1,1,0.875,0,0.0,0,3,3,False
103,0,0,1,0,0,0,35,1,0,1,1.59,1,0,3,0,10,1,7.5,7,5.0,5,1,0.0,0,0.0,0,2,0,False
104,0,0,1,0,0,0,35,1,0,1,1.59,1,0,3,0,10,1,6.5,6,5.0,5,1,0.0,0,0.0,0,2,0,False
105,0,0,1,0,0,0,35,1,0,1,1.3,0,33,3,0,12,1,4.33333333333333,1,6.0,4,1,0.0,0,0.0,0,1,0,False
106,0,0,1,0,0,0,35,1,0,1,1.52,0,33,3,0,10,1,4.33333333333333,1,5.0,4,1,0.0,0,0.0,0,1,1,False
107,0,0,4,0,0,0,35,1,0,0,1.0,1,0,3,0,9,1,6.5,6,7.5,2,1,1.5,0,0.0,0,2,0,False
108,0,0,4,0,0,0,35,1,0,0,1.0,1,0,3,0,9,1,6.0,6,7.5,2,1,1.5,0,0.0,0,2,0,False
109,0,0,3,0,0,0,35,1,0,0,0.95,1,0,3,0,9,1,3.66666666666667,1,5.66666666666667,2,1,1.2,0,0.0,0,2,0,False
110,0,0,1,0,0,0,35,1,0,3,1.25,1,0,3,0,10,1,8.0,7,6.0,5,1,0.0,0,0.0,0,2,0,False
111,0,0,1,0,0,0,35,1,0,3,1.25,1,0,3,0,10,1,7.5,6,6.0,5,1,0.0,0,0.0,0,2,0,False
112,0,0,1,0,0,0,35,1,0,3,1.21,0,33,3,0,10,1,4.66666666666667,1,5.66666666666667,4,1,0.0,0,0.0,0,1,1,False
113,0,0,1,0,0,0,35,1,0,2,1.4,1,0,3,0,10,1,7.5,7,5.5,5,1,0.0,0,0.0,0,2,0,False
114,0,0,1,0,0,0,35,1,0,2,1.4,1,0,3,0,10,1,7.0,6,5.5,5,1,0.0,0,0.0,0,2,0,False
115,0,0,1,0,0,0,35,1,0,2,1.35,0,33,3,0,10,1,4.33333333333333,1,5.33333333333333,4,1,0.0,0,0.0,0,1,1,False
116,0,0,1,0,0,1,58,1,0,3,0.94,0,60,2,0,11,1,3.1,1,2.7,1,1,0.5,0,0.0,0,3,4,False
117,0,0,1,0,0,2,59,1,0,4,0.86,1,58,2,0,13,2,3.88888888888889,1,2.88888888888889,1,1,0.272727272727273,0,0.0,0,3,2,False
118,0,0,1,0,0,1,46,1,0,1,1.12,0,42,3,0,9,2,3.28571428571429,0,2.85714285714286,1,1,0.333333333333333,0,0.0,0,3,3,False
119,0,0,1,0,0,1,43,1,0,1,0.91,0,42,3,0,11,2,3.28571428571429,0,3.71428571428571,1,1,0.444444444444444,0,0.0,0,4,2,False
120,0,0,1,0,0,1,43,1,0,1,0.8,0,37,2,0,12,2,2.75,1,2.625,1,1,0.4,0,0.0,0,3,3,False
121,1,0,1,0,0,0,11,1,0,3,0.2,1,66,4,0,8,1,5.0,4,4.5,2,1,0.875,0,1.0,0,2,0,True
122,0,0,1,0,0,2,44,1,0,0,1.69,0,0,4,0,8,1,1.0,0,2.0,1,1,0.0,0,0.0,0,1,0,False
123,1,0,2,0,0,0,8,1,0,0,0.27,0,0,4,0,8,1,4.5,3,2.75,2,1,1.0,0,0.0,0,1,0,False
124,0,0,1,0,0,1,43,1,0,1,1.13,0,33,3,3,10,2,4.83333333333333,1,2.33333333333333,1,1,0.375,0,0.0,0,3,2,False
125,3,0,1,0,0,0,46,1,0,3,0.6,0,73,2,1,9,2,3.28571428571429,1,2.64285714285714,1,1,0.4375,0,0.0,0,3,3,False
126,0,0,1,0,0,2,53,1,0,2,0.77,1,50,3,0,11,2,5.0,0,4.125,1,1,0.7,0,0.0,0,3,3,False
127,1,0,1,0,0,0,44,1,0,3,0.77,0,69,2,0,10,2,2.81818181818182,1,2.72727272727273,1,1,0.230769230769231,0,0.0,0,3,3,False
128,0,0,1,0,0,1,56,1,0,2,1.14,0,70,3,0,8,2,3.2,0,2.7,1,1,0.0,0,0.0,0,4,3,False
129,0,0,1,0,0,1,43,1,0,1,1.13,0,33,2,0,7,1,2.83333333333333,1,2.33333333333333,1,1,0.375,0,0.0,0,4,1,False
130,0,0,1,0,0,0,40,1,0,0,0.56,2,0,3,0,20,2,4.0,1,5.16666666666667,1,1,0.375,0,0.0,0,3,3,False
131,0,0,1,0,0,1,46,1,0,1,0.7,1,42,3,0,18,2,4.0,1,4.71428571428571,1,1,0.333333333333333,0,0.0,0,3,3,False
132,0,0,1,0,0,2,58,1,0,4,1.09,0,63,2,0,8,1,4.22222222222222,1,2.0,1,1,0.0,0,0.0,0,3,3,False
133,0,0,1,0,0,2,57,1,0,3,1.08,0,66,3,0,10,2,3.4,1,2.0,1,1,0.333333333333333,0,0.0,0,3,2,False
134,0,0,1,0,2,0,39,1,0,0,0.95,0,0,3,0,9,2,4.66666666666667,1,2.83333333333333,1,1,0.5,0,0.0,0,3,2,False
135,0,0,1,0,0,1,37,1,0,0,1.19,0,0,3,0,9,1,2.6,1,2.4,1,1,0.0,0,0.0,0,2,0,False
136,0,0,1,0,0,2,62,1,0,2,1.29,0,70,2,0,8,2,1.9,0,1.9,1,1,0.0,0,0.0,0,3,2,False
137,0,0,1,0,0,0,39,1,0,0,1.3,0,0,3,0,9,2,2.6,1,2.2,1,1,0.0,0,0.0,0,3,1,False
138,0,0,1,0,0,0,33,1,0,0,1.1,0,0,2,0,9,1,1.4,1,2.0,1,1,0.0,0,0.0,0,1,0,False
139,0,0,1,0,0,1,47,1,0,2,1.07,0,42,2,0,7,1,3.28571428571429,1,1.85714285714286,1,1,0.666666666666667,0,0.0,0,3,2,False
140,0,0,1,0,0,1,46,1,0,1,1.44,0,33,2,0,7,1,2.83333333333333,1,2.16666666666667,1,1,0.375,0,0.0,0,4,3,False
141,0,0,1,14,4,0,8,1,11,2,0.03,0,94,1,0,16,2,3.31666666666667,0,1.94444444444444,1,1,0.0163934426229508,0,1.0,0,1,0,False
142,10,0,1,24,2,0,60,1,0,15,0.12,0,97,1,0,25,1,7.796875,0,3.875,1,1,0.712121212121212,0,1.0,0,1,0,False
143,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,1,3,0,3.875,0,0.875,0,1,0.0,0,0.0,0,1,0,False
144,0,0,1,0,0,0,41,1,0,0,1.05,0,0,2,0,8,3,1.625,0,1.625,1,1,0.0,0,0.0,0,3,3,False
145,0,0,1,0,0,0,8,1,0,0,0.44,0,0,3,0,9,1,6.0,6,3.5,2,1,0.0,0,0.0,0,2,0,False
146,0,0,1,0,0,0,7,1,0,0,0.41,0,0,3,0,9,1,5.5,5,3.5,2,1,0.0,0,0.0,0,2,0,False
147,0,0,1,0,0,0,35,1,0,0,1.67,0,0,3,0,9,4,3.33333333333333,1,3.66666666666667,2,1,0.0,0,0.0,0,1,1,False
148,0,0,1,0,0,0,10,1,0,0,0.53,0,0,3,0,8,1,5.33333333333333,4,2.33333333333333,2,1,0.0,0,0.0,0,2,0,False
149,0,0,1,0,0,0,9,1,0,0,0.56,0,0,3,0,8,1,5.5,5,2.5,2,1,0.0,0,0.0,0,2,0,False
150,0,0,1,0,0,0,10,1,0,0,0.45,0,0,3,0,8,1,3.25,1,2.75,2,1,0.0,0,0.0,0,1,1,False
151,0,0,1,0,0,1,56,1,1,3,0.81,0,72,2,18,12,4,6.33333333333333,0,2.5,1,1,0.285714285714286,0,0.0,0,4,3,False
152,0,0,1,0,0,0,8,1,0,1,0.4,1,0,3,0,10,1,6.5,6,4.5,4,1,0.0,0,0.0,0,2,0,False
153,0,0,1,0,0,0,8,1,0,1,0.38,1,0,3,0,10,1,6.0,5,4.5,4,1,0.0,0,0.0,0,2,0,False
154,0,0,1,0,0,0,8,1,0,1,0.36,0,33,3,0,10,1,3.66666666666667,1,4.33333333333333,3,1,0.0,0,0.0,0,1,1,False
155,0,0,4,0,0,0,7,1,0,0,0.21,1,0,3,0,9,1,6.0,6,7.0,2,1,1.5,0,0.0,0,2,0,False
156,0,0,4,0,0,0,9,1,0,0,0.26,1,0,3,0,9,1,5.5,5,7.0,2,1,1.5,0,0.0,0,2,0,False
157,0,0,3,0,0,0,7,1,0,0,0.19,1,0,3,0,9,1,3.33333333333333,1,5.0,2,1,1.2,0,0.0,0,2,0,False
158,0,0,1,0,0,0,8,1,0,3,0.3,1,0,3,0,10,1,7.5,6,5.5,4,1,0.0,0,0.0,0,2,0,False
159,0,0,1,0,0,0,8,1,0,3,0.3,1,0,3,0,10,1,7.0,5,5.5,4,1,0.0,0,0.0,0,2,0,False
160,0,0,1,0,0,0,8,1,0,3,0.28,0,33,3,0,10,1,4.33333333333333,1,5.0,3,1,0.0,0,0.0,0,1,1,False
161,0,0,1,0,0,0,8,1,0,2,0.33,1,0,3,0,10,1,7.0,6,5.0,4,1,0.0,0,0.0,0,2,0,False
162,0,0,1,0,0,0,8,1,0,2,0.33,1,0,3,0,10,1,6.5,5,5.0,4,1,0.0,0,0.0,0,2,0,False
163,0,0,1,0,0,0,8,1,0,2,0.31,0,33,3,0,10,1,4.0,1,4.66666666666667,3,1,0.0,0,0.0,0,1,1,False
164,0,0,1,0,0,0,31,1,0,0,3.88,0,0,3,0,1,1,3.0,3,2.0,2,1,0.0,0,0.0,0,1,0,False
165,0,0,1,0,0,0,39,1,0,2,0.76,0,61,2,0,8,3,3.55555555555556,1,2.22222222222222,1,1,0.454545454545455,0,0.0,0,3,3,False
166,2,0,1,0,2,2,68,1,0,4,0.76,0,70,2,0,9,1,4.0,1,3.16666666666667,1,1,0.642857142857143,0,0.0,0,3,3,False
167,0,0,1,0,0,1,42,1,0,1,1.17,0,42,2,0,8,2,2.14285714285714,1,1.57142857142857,1,1,0.0,0,0.0,0,4,2,False
168,0,0,2,0,0,1,46,1,0,2,0.81,0,58,3,0,13,1,3.33333333333333,1,3.33333333333333,1,1,1.5,0,1.0,0,3,3,False
169,0,0,1,0,0,1,45,1,0,1,1.15,0,42,3,0,8,2,3.28571428571429,0,2.71428571428571,1,1,0.0,0,0.0,0,4,2,False
170,0,0,1,0,0,1,42,1,0,1,1.17,0,42,2,0,8,2,3.28571428571429,1,2.0,1,1,0.0,0,0.0,0,3,2,False
171,0,0,1,0,0,0,35,1,1,0,2.5,0,0,3,0,5,1,5.5,4,1.5,1,1,0.0,0,0.0,0,1,0,False
172,0,0,1,0,0,1,45,1,1,1,1.0,0,42,2,1,9,1,5.14285714285714,1,2.28571428571429,1,1,0.666666666666667,0,0.0,0,4,2,False
173,0,0,1,0,0,0,31,1,0,0,6.2,0,0,0,4,1,0,1.5,1,1.0,1,1,0.0,0,0.0,0,1,0,False
174,0,0,1,0,0,2,55,1,0,3,1.1,0,50,2,0,7,1,5.875,1,2.75,1,1,0.3,0,0.0,0,3,3,False
175,1,0,1,0,0,1,47,1,0,2,0.85,0,72,3,0,10,2,3.0,0,3.22222222222222,1,1,0.272727272727273,0,0.0,0,4,3,False
176,1,0,1,0,0,1,46,1,0,2,0.71,0,65,2,0,14,3,2.5,0,2.8,1,1,0.5,0,0.0,0,3,4,False
177,0,0,0,0,0,0,3,1,0,0,1.5,0,0,0,2,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,0,False
178,0,0,1,0,0,0,29,1,0,0,7.25,0,0,0,2,1,0,1.0,1,1.0,1,1,0.0,0,0.0,0,2,0,False
179,0,0,1,0,0,1,49,1,0,5,0.69,0,67,2,4,15,1,6.54545454545455,0,2.90909090909091,1,1,0.230769230769231,0,1.0,0,4,2,False
180,0,0,1,0,0,0,9,1,0,1,0.22,0,25,3,0,0,1,1.5,0,1.875,1,1,0.545454545454545,0,1.0,0,1,0,False
181,0,0,1,0,0,0,7,1,0,0,1.0,0,0,2,0,0,1,3.0,3,2.0,2,1,0.0,0,1.0,0,1,0,False
182,0,0,1,0,0,0,3,1,0,1,0.07,2,25,2,0,2,1,3.0,1,2.25,1,1,1.0,0,1.0,0,1,0,False
183,0,1,1,0,0,0,3,1,0,12,0.21,0,95,1,0,0,1,0.5,0,1.25,1,0,0.0,0,1.0,0,1,0,False
