File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,target
14,1,0,1,3,3,0,38,1,11,13,3,0.27,0,82,4,2,8,1,6.06666666666667,1,5.86666666666667,0,1,0.722222222222222,245,0.428571428571429,0,2,4,3,True
15,0,0,2,0,0,6,56,1,1,0,4,1.08,0,0,5,0,2,1,5.0,2,2.8,2,1,2.57142857142857,123,0.666666666666667,0,2,2,0,True
16,0,0,1,1,0,0,39,1,0,3,11,0.58,0,47,1,0,0,2,3.09090909090909,2,2.27272727272727,1,1,0.857142857142857,126,1.0,0,1,1,0,False
17,0,0,1,1,0,0,40,1,0,3,13,0.53,0,48,1,0,0,3,3.53846153846154,0,2.30769230769231,1,1,0.4,137,0.5,0,1,2,1,False
18,0,2,1,0,0,0,28,1,0,3,1,0.88,0,0,1,0,0,2,3.0,1,4.0,4,1,0.6,71,0.333333333333333,0,1,3,2,False
19,0,1,1,0,0,3,33,1,0,2,2,2.36,0,50,1,0,0,1,2.0,2,1.33333333333333,1,1,0.0,54,1.0,0,1,1,0,False
20,0,0,1,0,0,0,22,1,0,0,1,3.67,0,0,2,0,0,1,4.0,4,1.0,1,1,0.0,32,1.0,0,1,1,0,False
21,0,0,2,1,0,10,187,1,5,4,10,0.71,0,80,2,0,5,3,3.86666666666667,1,4.2,1,1,2.05882352941176,482,0.4,0,1,3,2,False
22,0,3,1,0,0,6,41,1,0,0,0,5.86,0,0,0,2,0,0,2.0,2,0.0,0,1,0.0,55,1.0,0,1,1,0,False
23,1,1,1,5,5,2,91,2,5,7,18,0.24,0,87,2,0,3,2,3.16,0,5.12,1,1,1.17857142857143,531,0.333333333333333,0,1,3,3,False
24,5,1,2,1,6,2,184,3,2,14,25,0.45,0,73,1,1,3,3,4.90909090909091,0,4.3030303030303,1,1,0.918918918918919,672,0.25,0,1,4,3,False
25,0,0,2,0,3,8,95,1,1,1,7,0.89,1,75,5,0,4,1,5.875,1,3.25,2,1,1.8,228,0.5,0,1,3,2,True
26,0,0,1,2,1,5,89,3,0,4,9,0.79,0,74,2,0,11,1,3.33333333333333,1,4.11111111111111,1,1,0.642857142857143,326,0.333333333333333,0,4,4,4,True
27,0,0,1,2,1,5,115,3,0,5,12,1.03,0,75,2,1,12,1,3.08333333333333,1,4.16666666666667,1,1,0.352941176470588,346,0.384615384615385,0,4,4,3,True
28,0,0,1,0,0,2,41,1,0,3,5,0.87,0,46,4,0,2,1,2.6,1,3.4,1,1,1.42857142857143,128,0.333333333333333,0,4,5,2,False
29,6,0,2,0,0,7,83,1,1,2,0,0.48,0,78,1,0,0,1,2.42857142857143,2,6.28571428571429,4,2,2.22222222222222,278,0.25,0,1,4,3,False
30,0,0,1,2,1,4,67,3,0,4,7,0.83,0,71,2,0,9,1,2.85714285714286,1,4.14285714285714,1,1,0.416666666666667,423,0.384615384615385,0,4,4,1,True
31,1,0,1,0,0,14,64,1,0,1,2,0.98,3,33,4,0,1,1,2.66666666666667,2,3.66666666666667,2,1,1.4,148,0.5,0,3,4,0,False
32,0,1,1,3,2,6,103,3,0,4,8,1.06,0,100,2,0,12,1,3.22222222222222,1,4.55555555555556,1,1,0.5,319,0.333333333333333,0,3,4,1,True
33,0,0,1,0,0,0,21,1,0,2,2,0.88,0,0,4,0,2,1,4.0,3,5.5,5,1,0.75,60,0.6,0,2,3,1,False
34,0,0,1,9,0,8,45,1,1,0,1,1.1,1,50,1,0,0,1,8.0,4,2.5,2,2,1.75,109,0.5,0,2,2,0,False
35,0,0,2,1,0,2,39,1,1,2,4,0.65,0,40,4,0,2,1,3.2,2,5.0,1,1,2.25,166,0.428571428571429,0,4,4,2,True
36,0,0,1,2,1,6,118,3,0,5,11,0.99,0,72,2,0,12,1,2.72727272727273,1,4.09090909090909,1,1,0.2,347,0.357142857142857,0,5,4,2,True
37,0,0,1,0,0,2,38,1,0,3,5,0.86,0,46,4,0,2,1,2.6,1,3.6,1,1,1.42857142857143,118,0.4,0,5,4,1,False
38,19,0,3,0,0,7,196,1,1,8,0,0.43,1,76,1,0,0,1,5.1,2,5.7,1,1,2.86363636363636,731,0.25,0,1,4,5,False
39,0,0,1,0,0,0,19,1,0,0,1,1.9,0,0,3,0,0,1,0.0,0,1.0,1,1,0.75,50,0.25,0,2,4,2,False
40,5,2,2,7,3,4,166,4,0,18,11,0.59,0,69,3,0,8,1,4.44444444444444,1,4.38888888888889,1,1,1.17391304347826,490,1.0,0,3,1,6,True
41,0,0,1,0,0,0,22,3,0,1,8,0.5,0,33,3,0,2,2,2.375,1,2.625,1,1,0.0,96,0.333333333333333,0,3,4,0,False
42,3,0,1,0,0,0,33,1,0,17,9,0.25,0,76,3,2,8,1,4.0,1,7.16666666666667,1,1,0.928571428571429,229,0.333333333333333,0,3,4,2,True
43,0,0,1,0,0,0,20,1,0,3,5,0.51,0,46,3,0,3,1,3.2,1,3.0,1,1,0.428571428571429,136,0.5,0,3,4,2,False
44,0,0,2,3,1,1,45,4,1,10,10,0.47,0,75,4,2,3,1,3.36363636363636,0,3.27272727272727,1,0,0.882352941176471,244,0.375,0,4,4,0,True
45,1,0,1,3,1,3,86,4,0,11,16,0.74,0,87,4,2,4,1,3.52941176470588,0,2.88235294117647,1,0,0.272727272727273,292,0.357142857142857,0,3,5,5,False
46,0,0,2,2,0,3,32,1,0,8,4,0.49,0,62,4,0,2,1,6.25,0,5.5,2,1,1.66666666666667,161,0.428571428571429,0,3,4,1,True
47,1,0,1,2,0,3,50,1,0,9,8,0.57,0,80,4,0,3,1,4.66666666666667,1,3.88888888888889,1,1,0.636363636363636,183,0.333333333333333,0,3,5,3,False
48,0,0,1,2,1,5,117,3,0,6,13,0.87,0,72,2,1,11,1,3.69230769230769,1,4.0,1,1,0.5,364,0.363636363636364,0,6,4,1,True
49,0,0,1,0,0,3,48,1,0,3,7,0.92,0,52,4,0,2,1,2.85714285714286,1,3.0,1,1,1.22222222222222,139,0.4,0,5,4,3,False
50,16,1,2,0,0,2,84,1,0,5,1,0.29,0,86,1,0,0,1,3.33333333333333,2,5.33333333333333,1,1,1.5,429,0.25,0,1,4,6,False
51,0,0,1,0,0,0,20,1,0,0,1,2.86,0,0,1,3,1,2,2.0,2,2.0,2,1,0.75,32,0.333333333333333,0,2,3,1,False
52,0,0,2,1,0,2,34,1,1,4,2,0.76,0,40,4,0,4,1,6.66666666666667,4,5.66666666666667,3,1,1.8,115,0.25,0,1,4,3,False
53,0,0,1,0,0,1,23,1,0,0,1,2.09,0,0,2,0,2,2,3.0,3,5.0,5,1,0.0,39,0.5,0,1,3,1,False
54,0,0,1,0,0,1,25,1,0,2,3,1.04,0,50,2,0,1,2,2.0,1,2.66666666666667,1,1,0.6,57,1.0,0,1,1,0,False
55,0,0,1,0,0,1,23,1,0,0,1,2.09,0,0,2,0,3,2,3.0,3,5.0,5,1,0.0,38,0.5,0,1,2,0,False
56,0,0,1,0,0,0,21,1,0,4,2,0.68,0,0,4,0,4,1,5.5,5,7.0,5,1,1.5,81,0.4,0,2,4,2,False
57,0,2,1,0,0,3,29,1,0,0,0,4.83,0,0,0,4,1,0,1.0,0,1.0,1,1,0.0,42,0.5,0,2,2,0,False
58,0,0,1,0,7,2,35,1,0,0,7,1.21,0,0,1,0,0,1,4.28571428571429,3,2.14285714285714,1,1,0.0,76,0.5,0,1,2,1,False
59,0,0,1,0,0,0,22,1,0,2,2,0.76,0,0,4,0,4,1,3.5,3,6.0,5,1,0.75,84,0.4,0,2,4,2,False
60,0,0,1,0,0,0,22,1,0,2,2,0.79,0,0,4,0,3,1,3.5,3,6.0,5,1,1.5,80,0.4,0,2,4,2,False
61,0,0,1,0,0,3,36,1,0,3,4,0.97,0,50,4,0,1,1,3.5,1,3.25,2,1,1.14285714285714,105,0.4,0,2,4,2,False
62,0,0,1,1,0,8,122,2,0,5,10,0.82,0,70,2,1,9,1,5.2,2,6.7,2,1,1.42857142857143,361,0.333333333333333,0,3,4,1,True
63,0,0,1,5,4,2,57,1,0,2,7,0.98,0,87,4,0,1,1,4.0,2,3.0,1,1,0.9,343,0.285714285714286,0,3,5,1,False
64,0,0,1,2,0,5,65,3,0,4,6,0.81,0,66,2,0,10,1,3.5,2,5.0,2,1,0.545454545454545,452,0.384615384615385,0,4,5,4,True
65,0,0,1,0,0,1,26,1,1,0,3,0.9,0,0,5,0,1,1,2.25,1,2.0,2,1,0.5,104,0.625,0,4,4,0,False
66,0,0,1,0,0,0,22,1,0,1,2,0.73,0,0,4,0,1,1,2.0,2,4.5,4,1,1.5,148,0.454545454545455,0,1,5,1,True
67,0,0,1,0,0,2,35,1,0,2,3,0.92,0,16,4,0,2,1,2.66666666666667,1,4.33333333333333,1,1,1.4,110,0.444444444444444,0,4,6,3,False
68,16,0,2,36,1,6,149,1,0,3,3,0.35,0,96,1,0,0,1,4.15789473684211,2,3.68421052631579,1,1,1.04761904761905,709,0.333333333333333,0,2,5,3,False
69,0,0,1,0,0,2,50,2,0,5,10,0.6,0,53,2,1,5,1,3.7,1,3.4,1,1,0.928571428571429,158,0.6,0,4,3,0,False
70,3,0,2,3,0,5,107,1,0,15,8,0.55,1,78,4,0,5,1,5.81818181818182,2,6.36363636363636,1,1,1.30769230769231,455,0.5,0,3,4,3,True
71,7,0,1,7,0,2,329,10,0,35,58,0.6,1,86,3,3,14,2,2.84615384615385,0,3.61538461538462,0,1,0.539473684210526,1173,0.384615384615385,0,1,6,6,True
72,0,0,2,1,0,1,26,1,0,2,3,0.79,0,66,2,0,2,1,2.33333333333333,0,3.33333333333333,2,1,1.33333333333333,79,0.5,0,2,3,1,False
73,0,0,1,0,0,0,20,1,0,3,3,0.71,0,33,2,0,1,1,2.0,0,2.0,1,1,1.2,56,0.5,0,1,2,1,False
74,0,0,1,0,0,0,17,1,0,2,2,0.94,0,25,2,0,2,1,3.0,2,3.5,2,1,0.75,49,0.5,0,1,3,2,False
75,0,0,1,0,0,1,27,2,0,3,3,0.52,0,0,2,1,9,1,6.33333333333333,4,7.33333333333333,3,1,0.714285714285714,113,0.444444444444444,0,3,4,0,True
76,0,0,3,0,0,0,20,1,0,4,3,0.35,1,33,4,0,3,1,3.66666666666667,0,9.33333333333333,2,1,1.2,128,0.428571428571429,0,3,4,1,False
77,0,0,1,0,0,4,41,1,0,0,5,1.08,0,0,4,0,2,1,1.0,1,1.6,1,1,0.0,133,0.428571428571429,0,2,4,1,True
78,1,0,1,0,0,0,20,1,0,0,14,0.37,0,0,4,0,2,1,1.06666666666667,0,1.13333333333333,1,1,0.0,114,0.333333333333333,0,1,3,2,False
79,1,0,1,0,0,0,20,1,0,0,21,0.27,0,0,4,0,2,1,1.04545454545455,0,1.09090909090909,1,1,0.0,141,0.25,0,1,4,3,False
80,2,0,1,0,0,3,47,1,0,0,5,0.39,0,0,4,0,3,1,2.0,0,1.85714285714286,1,1,0.0,192,0.428571428571429,0,2,5,2,True
81,0,0,1,0,0,0,26,2,0,4,14,0.12,0,0,4,0,10,1,4.14285714285714,1,3.85714285714286,2,1,0.235294117647059,312,0.285714285714286,0,3,5,1,True
82,0,0,1,0,0,0,35,3,0,0,6,0.5,0,0,4,0,7,1,0.5,0,2.83333333333333,2,1,0.3,161,0.428571428571429,0,5,4,2,False
83,2,0,1,2,0,0,27,1,1,0,5,0.15,2,81,4,0,8,1,2.5,0,5.75,2,1,1.5,276,0.285714285714286,0,3,5,2,False
84,0,0,1,0,0,0,34,2,0,2,5,0.83,0,87,4,0,4,1,1.0,0,2.2,1,1,0.0,124,0.428571428571429,0,2,5,1,True
85,2,0,1,0,0,0,32,2,0,0,6,0.5,0,0,4,0,4,1,2.0,0,2.75,1,1,0.545454545454545,167,0.5,0,5,5,1,True
86,0,0,1,0,0,7,34,1,0,0,2,1.26,0,0,4,0,3,1,1.0,1,2.0,2,1,0.0,113,0.2,0,2,5,2,True
87,0,0,1,0,0,13,115,1,0,0,7,1.2,0,0,4,0,3,1,1.0,1,1.71428571428571,1,1,0.0,267,0.5,0,1,3,2,True
88,1,0,1,0,0,0,20,1,0,0,6,0.62,0,0,4,0,2,1,1.14285714285714,0,1.28571428571429,1,1,0.0,75,0.5,0,2,2,0,False
89,1,0,1,0,0,0,19,1,0,0,1,0.54,0,0,4,0,8,1,2.0,1,5.5,5,1,0.75,79,0.4,0,2,4,2,True
90,0,0,1,0,0,4,38,1,0,0,3,0.43,5,0,4,0,2,1,1.0,1,2.33333333333333,2,1,0.0,261,0.333333333333333,0,3,6,3,True
91,1,0,1,0,0,7,56,1,0,0,4,0.9,1,0,4,0,5,1,3.4,2,3.2,2,1,0.0,135,1.0,0,3,1,2,False
92,0,0,1,0,0,0,16,1,0,0,1,1.33,0,0,3,0,2,1,0.0,0,3.0,3,1,0.0,42,0.333333333333333,0,3,3,0,False
93,2,0,1,0,1,0,16,1,0,0,1,0.44,1,0,4,0,8,1,3.33333333333333,0,5.66666666666667,3,1,0.0,80,0.5,0,4,3,0,True
94,2,0,1,0,1,0,17,1,0,0,1,0.41,2,0,4,0,8,1,3.33333333333333,0,5.66666666666667,3,1,0.0,93,0.5,0,4,3,0,True
95,0,0,1,0,0,0,16,1,0,0,1,0.67,3,0,3,0,5,1,1.0,1,10.0,10,1,0.0,59,0.666666666666667,0,2,2,0,False
96,0,0,1,0,0,0,19,1,0,1,11,0.26,0,9,4,0,4,1,1.72727272727273,0,2.45454545454545,2,1,0.384615384615385,183,0.4,0,3,4,0,False
97,0,0,1,0,0,0,19,1,0,1,10,0.3,0,0,4,0,2,1,1.8,0,1.2,1,1,0.416666666666667,161,0.4,0,3,4,0,True
98,0,0,1,0,0,0,19,1,0,1,9,0.3,0,11,4,0,3,1,0.777777777777778,0,2.55555555555556,2,1,0.363636363636364,200,0.4,0,3,4,1,False
99,0,0,1,0,0,0,19,1,0,1,8,0.33,0,0,4,0,1,1,0.875,0,2.125,2,1,0.4,181,0.4,0,3,4,1,True
100,1,0,1,0,0,0,36,2,0,2,7,0.27,0,91,4,0,4,1,1.5,0,2.125,1,1,0.0,228,0.428571428571429,0,3,5,0,True
101,0,2,1,0,0,0,20,1,0,0,4,0.19,0,0,3,0,10,1,3.0,0,7.0,6,1,1.0,153,0.333333333333333,0,2,3,1,False
102,1,0,1,0,0,0,16,2,0,2,3,0.29,0,0,4,0,9,1,2.25,1,6.5,2,1,1.42857142857143,116,0.4,0,3,4,1,False
103,0,0,1,0,0,0,15,1,0,0,2,0.5,1,0,4,0,7,1,1.0,1,6.0,2,1,0.75,76,0.5,0,3,3,0,False
104,1,0,1,0,0,0,15,2,0,2,3,0.31,0,0,4,0,8,1,2.0,1,6.5,2,1,0.714285714285714,110,0.4,0,3,4,1,False
105,0,0,1,6,0,0,21,2,0,3,7,0.21,0,62,4,0,3,1,2.71428571428571,0,3.42857142857143,1,1,0.3,229,0.4,0,3,4,1,False
106,1,0,1,0,0,0,31,3,2,7,12,0.21,0,68,4,0,24,1,3.13333333333333,1,4.46666666666667,2,1,0.263157894736842,252,0.333333333333333,0,3,5,2,True
107,0,0,1,0,0,0,18,1,0,0,4,0.34,0,0,4,0,5,1,0.5,0,5.0,2,1,0.0,132,0.333333333333333,0,4,4,0,False
108,0,0,2,0,0,0,19,1,1,3,3,0.23,2,66,4,0,8,1,2.0,0,6.25,2,1,1.16666666666667,275,0.4,0,7,5,0,True
109,0,0,1,0,0,2,26,1,2,2,2,0.45,0,50,3,0,1,1,1.25,0,3.0,1,1,0.666666666666667,101,0.5,0,3,3,1,False
110,0,0,1,0,0,0,54,3,2,2,13,0.3,1,75,4,0,30,1,2.53333333333333,0,4.53333333333333,1,1,0.368421052631579,334,0.363636363636364,0,3,5,2,True
111,1,0,1,22,1,0,19,2,2,6,12,0.07,0,87,4,0,12,1,4.53333333333333,1,3.66666666666667,1,1,0.277777777777778,378,0.428571428571429,0,4,4,2,True
112,11,0,1,0,1,3,75,2,0,8,8,0.2,4,33,4,0,24,1,4.05263157894737,0,6.78947368421053,1,1,0.227272727272727,829,0.3,0,3,6,2,True
113,0,0,1,0,0,0,15,1,0,0,2,0.48,1,0,4,0,5,1,1.0,1,5.5,2,1,0.75,84,0.5,0,3,3,0,False
114,0,0,1,0,0,0,15,1,0,0,2,0.52,1,0,4,0,5,1,0.5,0,5.5,2,1,0.75,76,0.333333333333333,0,2,3,1,False
115,1,0,1,0,0,0,15,2,0,2,3,0.26,1,0,4,0,9,1,2.0,1,6.5,2,1,1.14285714285714,119,0.333333333333333,0,3,4,2,False
116,0,0,1,0,0,0,49,2,0,0,8,0.66,1,0,4,0,3,1,1.125,1,2.0,2,1,0.0,222,0.375,0,3,5,3,True
117,2,0,3,1,2,1,33,1,0,0,0,0.63,2,50,1,0,0,1,2.0,2,6.5,4,2,2.6,119,0.5,0,2,3,2,False
118,0,0,0,8,0,0,48,1,0,0,0,4.36,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,72,0.5,0,2,3,2,False
119,0,0,2,3,0,10,126,1,0,0,6,1.73,0,94,1,2,1,1,3.66666666666667,3,1.5,1,1,1.55555555555556,218,0.4,0,2,3,2,False
120,8,0,1,3,1,2,57,1,0,4,3,0.3,0,77,2,0,1,1,3.63636363636364,1,4.09090909090909,1,1,2.0,281,0.333333333333333,0,2,3,2,False
121,1,0,2,1,0,4,66,1,0,2,7,0.46,1,62,1,0,6,1,3.875,1,4.875,2,1,2.1,280,0.4,0,3,4,2,False
122,2,0,4,1,1,11,60,1,0,0,1,0.44,2,66,1,0,7,1,9.33333333333333,2,7.0,4,1,2.6,232,0.363636363636364,0,3,5,2,False
123,0,0,3,0,0,2,33,1,0,2,3,0.85,0,16,1,0,0,2,2.33333333333333,2,2.0,1,1,0.8,83,0.5,0,3,3,1,False
124,0,0,1,0,0,4,60,1,0,2,7,0.8,0,50,1,0,1,1,3.0,0,3.57142857142857,1,1,1.55555555555556,189,0.444444444444444,0,3,4,2,False
125,0,0,4,0,0,5,58,1,0,6,3,1.05,0,5,1,0,0,1,6.66666666666667,6,3.33333333333333,1,1,0.8,145,0.5,0,2,4,2,False
126,0,0,1,0,0,14,41,1,0,0,1,1.37,1,0,1,0,3,1,10.0,10,2.0,2,10,3.0,74,0.5,0,2,3,2,False
127,0,0,3,0,0,2,36,1,0,4,3,0.75,0,0,1,0,0,1,5.0,5,3.66666666666667,2,1,0.8,98,0.333333333333333,0,2,4,2,False
128,12,0,2,2,1,5,157,1,0,4,7,0.46,1,68,2,0,2,1,4.31578947368421,1,4.10526315789474,1,1,1.95238095238095,596,0.428571428571429,0,3,3,1,False
129,1,0,2,1,0,0,33,1,0,6,6,0.38,0,75,4,0,5,1,3.14285714285714,1,4.57142857142857,2,1,1.0,153,0.333333333333333,0,4,5,2,True
130,0,1,1,3,2,4,79,3,0,4,6,0.86,0,100,2,0,9,1,5.28571428571429,2,4.85714285714286,1,1,0.818181818181818,263,0.333333333333333,0,2,4,2,True
131,0,0,8,7,3,13,74,1,0,0,3,0.8,2,100,1,0,1,1,8.33333333333333,6,1.0,1,8,2.4,186,0.5,0,2,3,2,False
132,0,0,1,0,0,9,43,1,0,2,2,1.16,3,50,1,0,4,1,8.0,4,6.5,6,2,1.0,121,0.333333333333333,0,4,4,1,False
133,0,0,2,0,0,4,38,1,0,6,3,0.78,0,38,4,0,5,1,5.0,0,7.66666666666667,2,1,1.8,136,0.454545454545455,0,4,5,2,False
134,0,0,0,8,0,0,48,1,0,0,0,4.36,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,72,0.5,0,2,3,2,False
135,0,0,1,0,0,0,63,1,0,0,14,0.62,0,0,4,0,3,1,1.0,1,2.28571428571429,2,1,0.1875,210,0.2,0,3,5,2,True
136,0,1,1,0,0,0,16,1,0,0,0,3.2,0,0,1,0,0,1,1.0,1,0.0,0,1,2.25,0,0.0,0,2,0,0,False
137,0,1,1,0,0,6,27,1,0,0,0,3.86,0,0,0,2,2,0,1.0,1,1.0,1,1,0.0,0,0.0,0,2,0,1,False
138,0,0,1,0,0,1,28,1,0,1,7,0.65,0,42,2,0,0,1,1.0,0,1.57142857142857,1,1,0.444444444444444,3,1.0,0,2,1,2,False
139,0,0,1,0,0,10,34,1,0,0,1,1.55,4,0,1,0,4,2,2.0,2,5.0,5,5,2.0,1,1.0,0,2,1,2,False
140,1,0,1,0,4,7,105,1,0,1,9,0.71,1,50,1,0,4,1,3.8,1,6.8,3,1,1.0,61,0.333333333333333,0,2,3,3,False
141,2,0,1,1,1,4,126,3,0,11,17,0.51,1,85,2,0,24,2,3.05263157894737,0,3.94736842105263,1,1,1.30434782608696,191,0.428571428571429,0,2,5,4,False
142,0,0,1,0,1,8,46,1,0,1,3,1.31,1,33,1,0,4,1,3.66666666666667,3,4.66666666666667,1,1,0.6,1,1.0,0,2,1,3,False
143,0,0,1,0,0,0,16,1,1,0,1,0.94,1,0,2,2,0,1,3.0,3,2.5,1,1,0.0,0,0.0,0,3,0,0,False
144,0,0,1,0,0,0,16,1,0,1,4,0.7,0,25,3,0,1,1,0.5,0,2.75,1,1,0.0,2,1.0,0,2,1,1,False
145,0,0,1,1,0,3,29,1,0,5,3,0.58,1,44,2,0,10,1,3.66666666666667,2,6.66666666666667,2,1,0.0,17,0.285714285714286,0,3,6,4,True
146,0,0,1,0,0,0,16,1,0,1,4,0.73,0,25,3,0,1,1,0.5,0,2.0,1,1,0.0,2,1.0,0,2,1,1,False
147,0,0,1,0,1,3,47,1,0,3,5,0.69,1,53,1,0,3,1,7.6,4,4.8,1,1,0.875,0,0.0,0,1,0,1,False
148,0,0,1,0,0,0,24,1,2,3,5,0.62,0,66,1,4,3,2,1.28571428571429,0,2.42857142857143,1,1,1.2,0,0.0,0,1,0,0,False
149,0,0,1,4,0,2,79,1,5,10,9,0.77,0,87,1,7,3,1,3.92857142857143,1,2.5,0,1,0.5,217,0.666666666666667,0,1,2,1,False
150,0,0,1,0,0,2,28,1,0,0,2,0.65,1,0,1,0,2,2,5.0,5,10.5,3,1,1.5,11,1.0,0,2,1,0,False
151,2,3,1,0,0,0,42,6,0,9,12,0.25,0,70,2,0,5,2,2.41176470588235,0,4.23529411764706,0,1,0.625,261,0.333333333333333,0,2,3,4,False
152,0,0,1,0,0,0,23,1,0,5,12,0.42,0,73,1,0,2,1,4.83333333333333,2,1.5,1,1,0.214285714285714,39,1.0,0,2,1,0,False
153,2,1,1,6,0,3,104,3,2,24,9,0.37,1,82,1,5,11,1,8.21428571428571,2,7.57142857142857,1,1,1.11111111111111,461,0.714285714285714,0,3,3,1,False
154,1,2,1,8,1,1,48,2,0,13,8,0.21,0,81,2,0,4,2,4.90909090909091,1,6.36363636363636,1,1,1.57142857142857,318,0.375,0,1,4,3,False
155,2,0,1,1,2,3,30,1,1,0,0,0.33,2,66,2,0,15,2,4.0,3,8.33333333333333,7,1,2.0,145,0.333333333333333,0,1,4,3,True
156,0,0,1,0,0,1,30,1,1,0,0,0.49,3,0,2,0,8,2,4.0,4,18.0,18,16,6.0,29,0.333333333333333,0,3,4,2,True
157,0,0,1,0,0,8,36,1,0,0,2,4.0,0,0,0,1,1,0,0.5,0,1.0,1,1,0.0,5,1.0,0,2,1,0,False
158,1,0,1,1,0,0,36,1,0,2,4,0.48,0,60,2,0,4,1,2.8,0,4.4,2,1,1.42857142857143,125,0.666666666666667,0,1,2,1,False
159,0,0,0,0,0,0,21,1,0,0,0,7.0,0,0,2,0,0,1,0.0,0,0.0,0,0,0.0,1,1.0,0,1,1,1,False
160,0,0,1,0,0,2,29,1,0,0,5,2.9,0,0,0,5,2,0,0.8,0,0.6,0,1,0.0,0,0.0,0,1,0,0,False
161,2,0,1,0,0,1,32,2,0,7,4,0.31,0,73,2,1,4,1,3.0,0,7.0,0,1,0.888888888888889,155,0.333333333333333,0,1,3,2,False
162,2,0,1,1,2,3,32,1,1,0,0,0.47,2,66,2,0,13,2,3.66666666666667,2,7.33333333333333,6,1,1.8,12,0.4,0,3,4,3,True
163,0,0,1,0,0,7,27,1,1,0,0,0.75,1,0,2,1,11,2,5.0,5,11.0,11,1,0.0,14,0.333333333333333,0,3,5,4,True
164,0,0,1,0,0,4,26,1,1,0,0,0.52,1,0,3,0,5,1,3.0,3,10.0,10,24,5.0,10,0.25,0,2,4,4,False
165,1,0,1,1,0,0,20,1,0,1,3,0.48,0,62,2,1,2,1,1.5,0,2.75,0,1,0.5,73,0.666666666666667,0,3,2,1,False
