,nuc,aexp,nd,ns,age,asexp,la,ld,target
116,4.83,150.0,2.0,2.0,305.5,0.11,0.0,101.0,False
117,0.0,979.0,1.0,1.0,0.0,3.0,137.0,0.0,True
118,25.0,276.0,1.0,1.0,2.0,244.0,1.0,1.0,True
119,2.0,995.0,1.0,1.0,0.0,916.0,0.0,27.0,True
120,1.57,195.0,3.0,1.0,1.71,2.0,632.0,0.0,True
121,15.0,300.0,2.0,1.0,30.0,262.0,6.0,4.0,True
122,33.33,313.0,3.0,1.0,24.33,272.0,250.0,5.0,True
123,1.0,270.0,1.0,1.0,0.0,172.0,5.0,3.0,True
124,10.0,1026.0,2.0,1.0,310.5,2.0,29.0,16.0,True
125,4.5,390.0,1.0,1.0,475.0,340.0,41.0,1.0,True
126,6.0,328.0,1.0,1.0,75.0,198.0,2.0,1.0,True
127,0.0,405.0,2.0,1.0,0.0,14.0,186.0,0.0,True
128,17.0,348.0,1.0,2.0,0.0,0.14,14.0,7.0,True
129,37.0,430.0,1.0,1.0,0.0,373.0,6.0,2.0,True
130,13.0,431.0,1.0,1.0,164.0,374.0,59.0,1.0,True
131,8.33,389.0,4.0,2.0,29.33,0.14,204.0,59.0,True
132,11.5,499.0,2.0,1.0,9.38,294.0,1193.0,3.0,True
133,112.67,506.0,3.0,2.0,18.67,0.82,34.0,5.0,True
134,5.0,602.0,1.0,1.0,615.0,510.0,1.0,1.0,True
135,44.0,633.0,2.0,1.0,88.5,538.0,29.0,2.0,True
136,3.0,664.0,1.0,1.0,55.0,567.0,1.0,2.0,True
137,3.0,668.0,1.0,1.0,55.0,571.0,1.0,0.0,True
138,2.0,685.0,1.0,1.0,285.0,588.0,395.0,0.0,True
139,13.75,578.0,3.0,1.0,651.25,348.0,13.0,7.0,True
140,20.29,690.0,4.0,1.0,12.0,592.0,66.0,21.0,True
141,50.0,702.0,1.0,1.0,7.0,601.0,6.0,0.0,True
142,10.0,612.0,1.0,1.0,7.0,14.0,18.0,14.0,True
143,33.0,615.0,5.0,2.0,14.0,0.07,5.0,5.0,True
144,36.8,621.0,5.0,2.0,6.0,0.07,449.0,35.0,True
145,70.33,745.0,3.0,1.0,55.0,635.0,5.0,113.0,True
146,1.0,762.0,1.0,1.0,0.0,29.0,3.0,14.0,True
147,27.0,641.0,3.0,1.0,200.33,381.0,16.0,5.0,True
148,24.86,642.0,5.0,1.0,54.57,382.0,69.0,18.0,True
149,0.5,659.0,1.0,1.0,0.0,395.0,119.0,2.0,True
150,8.0,92.0,1.0,1.0,10.0,73.0,11.0,15.0,True
151,1.67,676.0,3.0,1.0,339.58,28.0,541.0,106.0,True
152,5.0,798.0,1.0,1.0,0.0,683.0,5.0,2.0,True
153,2.0,802.0,1.0,1.0,375.0,32.0,70.0,3.0,True
154,10.67,804.0,2.0,1.0,3.67,33.0,94.0,42.0,True
155,31.0,844.0,2.0,1.0,22.67,717.0,32.0,3.0,True
156,31.4,700.0,5.0,2.0,75.2,0.0,59.0,10.0,True
157,72.0,209.0,1.0,1.0,20.0,154.0,70.0,0.0,True
158,2.0,710.0,1.0,1.0,462.0,30.0,59.0,68.0,True
159,18.5,713.0,2.0,1.0,84.0,431.0,22.0,26.0,True
160,27.0,910.0,1.0,1.0,182.5,780.0,84.0,144.0,True
161,1.0,288.0,1.0,1.0,1.0,207.0,8.0,15.0,True
162,6.5,311.0,1.0,1.0,23.0,11.0,200.0,52.0,True
163,23.8,319.0,3.0,1.0,123.8,228.0,164.0,118.0,True
164,1.0,325.0,1.0,1.0,215.0,230.0,3.0,0.0,True
165,60.8,341.0,2.0,1.0,127.8,241.0,398.0,130.0,True
166,1.0,1004.0,1.0,1.0,67.0,863.0,14.0,11.0,True
167,3.58,419.0,1.0,1.0,456.63,11.0,871.0,420.0,True
168,4.0,84.0,1.0,1.0,41.0,46.0,3.0,1.0,True
169,15.5,1037.0,1.0,1.0,36.0,892.0,8.0,9.0,True
170,1.0,450.0,1.0,1.0,195.0,330.0,3.0,1.0,True
171,1.2,455.0,4.0,1.0,1.6,335.0,259.0,40.0,True
172,12.0,1230.0,2.0,1.0,0.0,18.0,25.0,19.0,True
173,4.0,121.0,1.0,1.0,490.0,8.0,7.0,45.0,True
174,1.0,1278.0,1.0,1.0,22.0,4.0,0.0,1.0,True
175,0.0,523.0,2.0,2.0,0.0,0.75,102.0,2.0,True
176,2.0,1286.0,1.0,1.0,50.5,806.0,32.0,24.0,True
177,0.0,532.0,1.0,1.0,0.0,5.0,241.0,15.0,True
178,4.0,538.0,1.0,1.0,0.0,10.0,18.0,7.0,True
179,2.0,547.0,1.0,1.0,57.0,372.0,53.0,53.0,True
180,0.67,1168.0,1.0,1.0,19.67,1.0,46.0,12.0,True
181,7.0,606.0,1.0,1.0,289.0,400.0,13.0,5.0,True
182,9.0,609.0,1.0,1.0,78.0,403.0,28.0,27.0,True
183,15.5,1102.0,2.0,2.0,7.0,0.0,14.0,7.0,True
184,12.0,1108.0,1.0,1.0,0.0,21.0,0.0,1.0,True
185,2.0,655.0,3.0,1.0,6.67,18.0,5.0,10.0,True
186,1.4,907.0,2.0,3.0,6.4,0.0,152.0,42.0,True
187,3.62,909.0,4.0,3.0,455.0,0.35,0.0,522.0,False
188,1.0,697.0,1.0,1.0,0.0,37.0,8.0,2.0,True
189,0.0,915.0,2.0,2.0,0.0,0.0,91.0,1.0,True
190,2.0,1154.0,2.0,2.0,2.0,0.0,88.0,0.0,True
191,35.0,774.0,1.0,1.0,6.0,14.0,22.0,8.0,True
192,28.0,838.0,1.0,1.0,0.0,61.0,25.0,2.0,True
193,2.5,7.0,2.0,1.0,17.5,4.0,2.0,2.0,True
194,3.0,0.0,2.0,1.0,84.0,0.0,32.0,2.0,True
195,9.2,39.0,2.0,1.0,56.6,12.0,28.0,1.0,True
196,6.75,56.0,3.0,1.0,16.5,14.0,100.0,17.0,True
197,4.33,58.0,1.0,1.0,0.0,1.0,142.0,1.0,True
198,4.25,14.0,3.0,2.0,65.88,0.71,312.0,3.0,True
199,4.0,67.0,1.0,1.0,24.0,6.0,15.0,33.0,True
200,33.0,69.0,1.0,1.0,55.0,2.0,134.0,65.0,True
201,0.67,70.0,2.0,1.0,9.33,8.0,192.0,32.0,True
202,2.0,32.0,1.0,1.0,0.0,24.0,16.0,30.0,True
203,1.0,103.0,1.0,1.0,91.0,43.0,11.0,4.0,True
204,3.84,549.46,3.82,1.0,2.74,309.07,161.51,36.04,True
205,3.99,293.53,3.07,1.0,0.81,186.76,446.88,175.71,True
206,3.97,317.57,3.14,1.0,0.99,198.26,420.07,162.59,True
207,3.81,585.91,3.93,1.0,3.02,326.49,120.86,16.15,True
208,3.8,604.17,3.98,1.0,3.16,335.21,100.5,6.18,True
209,3.95,353.15,3.24,1.0,1.26,215.26,380.4,143.17,True
210,3.92,409.83,3.41,1.0,1.69,242.34,317.2,112.24,True
211,3.93,383.94,3.33,1.0,1.49,229.97,346.06,126.36,True
212,3.99,289.93,3.06,1.0,0.79,185.05,450.89,177.67,True
213,3.87,488.87,3.64,1.0,2.29,280.12,229.06,69.1,True
214,3.95,357.26,3.25,1.0,1.29,217.22,375.81,140.92,True
215,3.99,288.17,3.05,1.0,0.77,184.21,452.85,178.63,True
216,3.83,562.6,3.86,1.0,2.84,315.35,146.86,28.87,True
217,3.98,309.41,3.11,1.0,0.93,194.35,429.17,167.04,True
218,3.98,306.14,3.1,1.0,0.91,192.79,432.82,168.82,True
219,3.88,478.72,3.61,1.0,2.21,275.27,240.38,74.64,True
220,3.96,331.68,3.18,1.0,1.1,205.0,404.34,154.89,True
221,3.84,542.11,3.8,1.0,2.69,305.56,169.7,40.05,True
222,3.87,498.04,3.67,1.0,2.36,284.5,218.84,64.1,True
223,3.8,602.44,3.98,1.0,3.14,334.39,102.43,7.13,True
224,3.82,576.63,3.9,1.0,2.95,322.05,131.21,21.21,True
225,3.9,447.53,3.52,1.0,1.97,260.36,275.17,91.67,True
226,3.97,317.74,3.14,1.0,1.0,198.34,419.88,162.49,True
227,3.88,474.76,3.6,1.0,2.18,273.37,244.8,76.8,True
228,3.81,597.33,3.96,1.0,3.1,331.94,108.13,9.92,True
229,3.91,427.31,3.46,1.0,1.82,250.7,297.7,102.7,True
230,3.92,405.65,3.4,1.0,1.66,240.34,321.86,114.52,True
231,3.96,338.03,3.2,1.0,1.15,208.03,397.26,151.42,True
232,3.81,590.85,3.94,1.0,3.06,328.85,115.36,13.45,True
233,3.85,522.63,3.74,1.0,2.54,296.25,191.42,50.68,True
234,3.85,529.9,3.76,1.0,2.6,299.72,183.31,46.71,True
235,3.98,297.68,3.08,1.0,0.84,188.75,442.25,173.44,True
236,3.97,318.41,3.14,1.0,1.0,198.65,419.14,162.13,True
237,4.0,272.64,3.0,1.0,0.66,176.78,470.17,187.11,True
238,3.97,319.41,3.14,1.0,1.01,199.13,418.02,161.58,True
239,3.87,495.56,3.66,1.0,2.34,283.31,221.6,65.45,True
240,3.9,443.15,3.51,1.0,1.94,258.27,280.04,94.05,True
241,3.96,335.47,3.19,1.0,1.13,206.81,400.12,152.82,True
242,3.86,506.39,3.69,1.0,2.42,288.49,209.53,59.54,True
243,3.84,536.68,3.78,1.0,2.65,302.96,175.76,43.01,True
244,3.82,576.75,3.9,1.0,2.95,322.11,131.07,21.14,True
245,3.92,402.58,3.39,1.0,1.64,238.88,325.28,116.19,True
246,3.89,456.15,3.55,1.0,2.04,264.48,265.55,86.96,True
247,3.93,389.31,3.35,1.0,1.54,232.54,340.08,123.44,True
248,3.88,477.99,3.61,1.0,2.2,274.92,241.19,75.04,True
249,3.91,417.7,3.43,1.0,1.75,246.1,308.42,107.94,True
250,3.94,367.39,3.28,1.0,1.37,222.06,364.52,135.4,True
251,3.85,523.38,3.74,1.0,2.55,296.61,190.58,50.27,True
252,3.83,555.4,3.84,1.0,2.79,311.91,154.88,32.8,True
253,3.84,543.07,3.8,1.0,2.7,306.02,168.63,39.53,True
254,4.0,277.65,3.02,1.0,0.69,179.18,464.58,184.37,True
255,3.98,303.38,3.1,1.0,0.89,191.47,435.9,170.33,True
256,3.89,451.12,3.53,1.0,2.0,262.07,271.16,89.7,True
257,3.89,456.65,3.55,1.0,2.04,264.72,265.0,86.69,True
258,3.96,334.0,3.19,1.0,1.12,206.11,401.75,153.62,True
259,3.85,520.01,3.73,1.0,2.52,294.99,194.35,52.11,True
260,3.85,517.79,3.73,1.0,2.5,293.93,196.82,53.32,True
261,3.93,384.17,3.33,1.0,1.5,230.08,345.81,126.24,True
262,3.98,301.54,3.09,1.0,0.87,190.59,437.95,171.33,True
263,3.98,305.68,3.1,1.0,0.9,192.58,433.32,169.07,True
264,3.9,437.88,3.49,1.0,1.9,255.75,285.92,96.93,True
265,3.84,545.05,3.81,1.0,2.71,306.96,166.42,38.44,True
266,3.92,401.97,3.39,1.0,1.63,238.59,325.96,116.53,True
267,3.88,474.74,3.6,1.0,2.18,273.36,244.83,76.82,True
268,3.8,604.51,3.98,1.0,3.16,335.38,100.12,5.99,True
269,3.82,578.64,3.91,1.0,2.96,323.02,128.96,20.11,True
270,3.94,374.22,3.3,1.0,1.42,225.33,356.9,131.67,True
271,3.85,531.84,3.77,1.0,2.61,300.65,181.15,45.65,True
272,3.9,438.04,3.49,1.0,1.9,255.83,285.74,96.84,True
273,3.82,584.51,3.92,1.0,3.01,325.82,122.42,16.91,True
274,3.9,444.97,3.51,1.0,1.96,259.14,278.01,93.06,True
275,3.95,360.29,3.26,1.0,1.32,218.67,372.44,139.27,True
276,3.95,350.88,3.24,1.0,1.25,214.17,382.93,144.41,True
277,3.89,455.14,3.54,1.0,2.03,264.0,266.67,87.51,True
278,3.85,521.15,3.74,1.0,2.53,295.54,193.08,51.49,True
279,3.99,287.62,3.05,1.0,0.77,183.94,453.47,178.93,True
280,3.89,453.4,3.54,1.0,2.02,263.16,268.62,88.46,True
281,3.87,498.06,3.67,1.0,2.36,284.51,218.82,64.09,True
282,3.86,514.83,3.72,1.0,2.48,292.52,200.12,54.94,True
283,3.85,533.58,3.77,1.0,2.62,301.48,179.22,44.71,True
284,3.93,385.1,3.34,1.0,1.5,230.52,344.78,125.74,True
285,3.98,298.36,3.08,1.0,0.85,189.08,441.49,173.07,True
286,3.89,456.86,3.55,1.0,2.04,264.82,264.76,86.57,True
287,3.84,539.07,3.79,1.0,2.66,304.11,173.08,41.71,True
288,3.86,506.65,3.7,1.0,2.42,288.61,209.24,59.4,True
289,3.86,510.96,3.71,1.0,2.45,290.67,204.43,57.05,True
290,3.9,438.03,3.49,1.0,1.9,255.82,285.76,96.85,True
291,3.85,522.37,3.74,1.0,2.54,296.12,191.71,50.82,True
292,3.85,532.96,3.77,1.0,2.62,301.18,179.9,45.04,True
293,3.94,377.63,3.31,1.0,1.45,226.95,353.11,129.81,True
294,3.89,454.86,3.54,1.0,2.03,263.86,266.99,87.66,True
295,3.98,306.45,3.1,1.0,0.91,192.94,432.47,168.65,True
296,3.98,309.78,3.11,1.0,0.94,194.53,428.76,166.84,True
297,3.91,428.31,3.46,1.0,1.83,251.17,296.6,102.15,True
298,3.99,295.76,3.07,1.0,0.83,187.83,444.39,174.49,True
299,3.86,501.4,3.68,1.0,2.38,286.1,215.1,62.27,True
300,3.84,534.86,3.78,1.0,2.63,302.09,177.78,44.01,True
301,4.0,274.66,3.01,1.0,0.67,177.75,467.92,186.0,True
302,3.95,359.28,3.26,1.0,1.31,218.19,373.56,139.82,True
303,3.96,336.47,3.19,1.0,1.14,207.29,398.99,152.27,True
304,3.89,456.87,3.55,1.0,2.04,264.82,264.75,86.57,True
305,3.84,545.94,3.81,1.0,2.72,307.39,165.43,37.96,True
306,3.81,587.12,3.93,1.0,3.03,327.07,119.51,15.48,True
307,3.84,537.51,3.79,1.0,2.65,303.36,174.83,42.56,True
308,3.89,455.37,3.54,1.0,2.03,264.11,266.42,87.38,True
309,3.88,473.69,3.6,1.0,2.17,272.86,245.99,77.39,True
310,3.89,450.19,3.53,1.0,1.99,261.63,272.19,90.21,True
311,3.98,300.82,3.09,1.0,0.87,190.25,438.74,171.72,True
312,3.86,501.06,3.68,1.0,2.38,285.94,215.47,62.45,True
313,3.82,568.72,3.88,1.0,2.89,318.27,140.03,25.53,True
314,3.86,508.56,3.7,1.0,2.43,289.53,207.11,58.36,True
315,3.91,420.71,3.44,1.0,1.77,247.54,305.07,106.3,True
316,3.89,453.43,3.54,1.0,2.02,263.18,268.58,88.44,True
317,3.89,449.08,3.53,1.0,1.99,261.1,273.43,90.82,True
318,3.92,413.42,3.42,1.0,1.72,244.06,313.2,110.28,True
319,3.87,488.24,3.64,1.0,2.28,279.81,229.77,69.45,True
320,3.99,280.01,3.03,1.0,0.71,180.3,461.96,183.09,True
321,3.86,511.72,3.71,1.0,2.46,291.04,203.58,56.63,True
322,3.85,528.94,3.76,1.0,2.59,299.26,184.38,47.24,True
323,3.85,523.46,3.74,1.0,2.55,296.64,190.5,50.23,True
324,3.85,527.62,3.76,1.0,2.58,298.63,185.85,47.95,True
325,3.9,437.97,3.49,1.0,1.9,255.79,285.82,96.88,True
326,3.93,394.03,3.36,1.0,1.57,234.8,334.81,120.86,True
327,3.94,372.25,3.3,1.0,1.41,224.38,359.1,132.75,True
328,3.82,574.9,3.9,1.0,2.94,321.23,133.14,22.16,True
329,3.92,404.59,3.39,1.0,1.65,239.84,323.04,115.1,True
330,4.0,272.55,3.0,1.0,0.65,176.74,470.27,187.15,True
331,3.89,460.34,3.56,1.0,2.07,266.48,260.88,84.67,True
332,3.93,392.4,3.36,1.0,1.56,234.01,336.63,121.75,True
333,3.94,366.87,3.28,1.0,1.37,221.82,365.1,135.68,True
334,3.88,472.49,3.59,1.0,2.16,272.29,247.33,78.04,True
335,3.86,510.87,3.71,1.0,2.45,290.63,204.54,57.1,True
336,3.99,280.52,3.03,1.0,0.71,180.55,461.38,182.8,True
337,3.8,602.66,3.98,1.0,3.14,334.49,102.18,7.0,True
338,3.86,512.21,3.71,1.0,2.46,291.27,203.04,56.37,True
339,3.96,330.34,3.18,1.0,1.09,204.36,405.84,155.62,True
340,3.93,393.5,3.36,1.0,1.57,234.54,335.4,121.15,True
341,3.96,334.68,3.19,1.0,1.12,206.43,401.0,153.25,True
342,3.88,475.21,3.6,1.0,2.18,273.59,244.3,76.56,True
343,3.97,316.64,3.13,1.0,0.99,197.81,421.11,163.09,True
344,3.97,324.35,3.16,1.0,1.05,201.5,412.51,158.88,True
345,3.87,497.89,3.67,1.0,2.35,284.43,219.0,64.18,True
346,3.87,483.53,3.63,1.0,2.25,277.56,235.02,72.02,True
347,3.86,514.58,3.72,1.0,2.48,292.4,200.4,55.07,True
348,3.98,299.94,3.09,1.0,0.86,189.83,439.74,172.21,True
349,3.93,384.34,3.33,1.0,1.5,230.16,345.63,126.15,True
350,3.94,367.0,3.28,1.0,1.37,221.88,364.95,135.61,True
351,3.83,561.72,3.86,1.0,2.84,314.93,147.84,29.35,True
352,3.82,582.07,3.92,1.0,2.99,324.65,125.14,18.24,True
353,3.81,592.19,3.95,1.0,3.07,329.49,113.86,12.72,True
354,3.9,441.4,3.5,1.0,1.93,257.43,281.99,95.01,True
355,3.85,518.36,3.73,1.0,2.51,294.21,196.18,53.01,True
356,3.97,329.11,3.17,1.0,1.08,203.77,407.21,156.29,True
357,3.84,542.74,3.8,1.0,2.69,305.86,169.0,39.71,True
358,3.88,467.8,3.58,1.0,2.13,270.05,252.56,80.6,True
359,3.85,528.66,3.76,1.0,2.59,299.13,184.7,47.39,True
360,3.86,503.59,3.69,1.0,2.4,287.15,212.66,61.07,True
361,3.83,552.44,3.83,1.0,2.77,310.49,158.18,34.41,True
362,3.83,559.39,3.85,1.0,2.82,313.81,150.43,30.62,True
363,3.97,325.02,3.16,1.0,1.05,201.82,411.76,158.52,True
364,3.85,524.27,3.75,1.0,2.55,297.03,189.59,49.78,True
365,3.93,386.02,3.34,1.0,1.51,230.97,343.74,125.23,True
366,3.86,502.87,3.68,1.0,2.39,286.8,213.46,61.46,True
367,3.82,576.73,3.9,1.0,2.95,322.1,131.1,21.16,True
368,3.94,368.35,3.29,1.0,1.38,222.52,363.45,134.88,True
369,3.8,606.09,3.99,1.0,3.17,336.13,98.35,5.13,True
370,3.92,411.49,3.41,1.0,1.7,243.14,315.35,111.33,True
371,3.82,580.5,3.91,1.0,2.98,323.9,126.9,19.1,True
372,3.81,589.44,3.94,1.0,3.04,328.18,116.92,14.22,True
373,3.92,414.3,3.42,1.0,1.72,244.48,312.21,109.8,True
374,3.86,511.83,3.71,1.0,2.46,291.09,203.47,56.57,True
375,3.81,598.77,3.97,1.0,3.12,332.63,106.52,9.13,True
376,3.81,586.29,3.93,1.0,3.02,326.67,120.44,15.94,True
377,3.9,434.91,3.48,1.0,1.88,254.33,289.23,98.55,True
378,3.8,603.79,3.98,1.0,3.15,335.03,100.92,6.39,True
379,3.89,451.49,3.53,1.0,2.0,262.25,270.75,89.5,True
380,3.89,449.02,3.53,1.0,1.99,261.07,273.5,90.85,True
381,3.94,366.13,3.28,1.0,1.36,221.46,365.93,136.09,True
382,3.89,460.2,3.56,1.0,2.07,266.41,261.04,84.75,True
383,3.98,303.07,3.09,1.0,0.88,191.33,436.24,170.5,True
384,3.8,604.66,3.98,1.0,3.16,335.45,99.96,5.91,True
385,3.94,371.9,3.3,1.0,1.4,224.22,359.49,132.94,True
386,3.89,450.6,3.53,1.0,2.0,261.83,271.74,89.99,True
