File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,target
37,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,1,False
38,0,3,1,0,0,10,1,52,1,0,0,0,0,2,1,0,1,0,0.666666666666667,0,1,0,0.0,1,1,False
39,0,4,1,0,0,6,1,51,1,0,0,0,0,1,1,2,1,0,1.0,1,1,0,0.0,1,0,False
40,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2,2,False
41,0,0,1,0,0,4,3,60,1,0,8,9,0,3,0,5,1,2,5.22222222222222,3,1,0,0.5,1,2,False
42,0,0,1,0,0,6,1,105,1,0,2,13,0,3,59,9,1,0,3.0,1,1,0,0.666666666666667,1,1,False
43,0,1,1,0,0,5,1,24,1,0,0,0,0,0,6,0,0,1,0.0,0,1,0,0.0,1,0,False
44,10,2,1,1,20,0,2,51,12,0,5,29,0,1,3,9,2,0,3.68292682926829,0,1,0,0.333333333333333,2,1,False
45,0,0,1,0,0,0,1,25,1,3,2,6,0,1,12,3,2,1,2.0,1,1,0,0.0,3,0,False
46,1,0,1,0,21,4,1,118,1,0,0,21,0,1,0,3,1,0,2.90909090909091,1,1,0,0.0,7,0,False
47,0,0,1,0,0,4,1,242,1,2,2,43,0,1,1,19,2,0,2.35555555555556,1,1,0,1.0,5,3,False
48,1,0,1,0,0,2,1,203,2,0,4,60,0,3,0,29,1,0,3.24590163934426,1,0,0,0.4,5,5,False
49,0,0,1,0,0,0,1,28,1,3,0,7,0,3,0,12,1,0,3.3,1,1,0,1.0,2,5,True
50,0,0,1,0,0,1,1,112,1,3,12,53,0,2,2,15,1,0,2.42857142857143,1,1,0,1.0,1,2,True
51,0,7,1,0,0,4,1,52,1,0,0,0,0,1,1,4,1,0,0.428571428571429,0,1,0,0.0,2,4,True
52,1,0,1,1,3,2,2,51,1,1,3,9,0,2,0,9,1,1,3.72727272727273,1,1,0,0.0,3,3,True
53,0,0,1,0,0,0,1,25,1,0,2,7,0,1,5,6,2,1,1.57142857142857,1,1,0,0.0,3,1,True
54,1,1,1,0,81,1,1,370,75,0,3,226,0,3,2,11,2,0,2.06140350877193,1,1,0,0.428571428571429,3,8,False
55,0,0,1,0,1,6,1,433,1,2,1,65,0,4,0,3,1,1,2.0,1,1,0,0.666666666666667,3,2,False
56,0,0,1,0,0,5,1,415,1,2,3,65,0,1,1,27,1,0,3.11940298507463,0,1,0,0.6,1,1,False
57,0,0,1,0,0,0,1,21,1,0,2,14,0,2,0,5,1,1,1.92857142857143,1,1,0,0.0,3,2,True
58,0,0,1,0,0,0,1,25,1,0,0,2,0,2,0,2,1,0,1.0,1,1,0,0.0,2,2,True
59,17,7,1,1,0,2,1,418,26,2,32,151,0,3,19,14,2,0,2.08474576271186,0,0,0,1.0,1,1,True
60,1,0,1,0,21,1,1,92,19,22,0,35,0,1,0,5,2,0,1.96551724137931,1,1,0,1.0,3,4,False
61,1,0,1,0,13,1,1,64,14,0,0,39,0,1,0,4,2,0,1.525,0,1,0,0.0,3,3,False
62,0,0,1,0,0,5,1,50,1,0,2,5,0,1,0,4,1,1,2.2,1,1,0,0.5,1,1,False
63,0,0,1,0,0,4,2,150,1,5,3,24,0,2,3488,12,2,0,4.58620689655172,0,1,0,0.5,4,5,False
64,1,0,1,0,2,0,1,25,1,0,4,10,0,1,0,4,3,1,2.54545454545455,1,1,0,0.0,1,0,False
65,0,0,1,0,0,3,1,64,1,0,2,13,0,1,0,4,1,0,2.38461538461538,2,1,0,1.0,2,0,False
66,0,0,1,0,0,0,1,22,1,0,1,10,0,1,0,2,1,2,2.3,1,1,0,0.0,1,0,False
67,0,0,1,0,0,1,1,96,1,2,2,34,0,1,1,5,3,0,3.25,1,1,0,1.0,4,3,False
68,0,0,1,0,0,1,2,29,1,0,2,9,0,1,0,1,3,1,4.77777777777778,1,1,0,1.0,2,3,False
69,0,0,1,1,0,0,1,20,1,0,0,6,0,1,0,0,3,1,0.333333333333333,0,1,0,0.0,2,0,False
70,0,0,1,0,0,0,1,21,1,0,1,2,0,1,0,1,2,1,1.5,1,1,0,0.0,2,1,False
71,0,0,1,0,0,0,1,21,1,0,0,1,0,1,0,3,2,0,1.0,1,1,0,0.0,2,1,False
72,0,0,1,0,0,0,1,24,1,0,2,3,0,1,0,1,2,1,1.66666666666667,1,1,0,0.0,1,0,False
73,0,0,1,0,0,0,1,21,1,0,0,1,0,1,0,4,2,3,3.0,3,1,0,0.0,1,0,False
74,0,0,1,1,0,0,1,21,1,0,1,2,0,4,0,0,1,2,2.0,1,1,0,0.0,2,2,False
75,0,0,1,1,0,0,6,27,1,0,2,3,0,1,0,2,2,2,5.66666666666667,1,1,0,1.0,3,1,False
76,0,0,1,7,1,2,1,57,1,0,1,11,0,1,0,4,1,1,3.27272727272727,1,1,0,0.0,2,3,False
77,0,2,1,0,0,0,1,21,1,0,0,0,0,0,4,1,0,1,0.5,0,1,0,0.0,3,0,False
78,0,1,1,0,0,6,1,27,1,0,0,0,0,0,4,2,0,1,1.0,1,1,0,0.0,2,1,False
79,0,0,1,0,0,0,1,21,1,0,2,2,0,1,0,1,2,1,1.5,1,1,0,0.0,3,0,False
80,0,0,1,0,0,0,1,21,1,0,0,1,0,1,0,3,2,0,1.0,1,1,0,0.0,2,1,False
81,0,0,1,0,0,0,2,20,1,0,0,2,0,2,0,0,1,1,2.5,2,2,1,1.0,1,0,False
82,3,0,1,4,2,2,2,237,9,12,19,67,0,2,0,18,5,0,3.54878048780488,1,1,0,0.75,2,6,True
83,1,0,1,1,5,2,1,123,2,4,10,41,0,2,0,21,2,0,2.67391304347826,1,1,0,1.0,2,6,False
84,0,0,1,1,0,0,1,19,1,0,0,3,0,1,0,0,2,2,2.0,2,1,0,0.0,1,0,False
85,0,0,3,1,0,1,4,31,1,0,2,2,3,1,0,3,2,4,6.0,3,1,0,1.0,1,1,False
86,0,0,1,1,0,0,1,22,1,0,1,6,0,2,0,0,2,2,1.66666666666667,1,1,0,0.0,1,0,False
87,0,0,1,1,0,0,1,23,1,0,1,3,0,4,0,1,1,2,3.66666666666667,1,1,0,1.0,2,1,False
88,0,117,1,0,0,6,1,809,1,0,0,0,0,2,1,41,2,0,0.615384615384615,0,1,0,0.888888888888889,2,11,False
89,0,2,1,0,0,5,1,32,1,0,0,0,0,0,32,1,0,5,0.5,0,1,0,0.0,2,2,False
90,0,0,1,1,0,0,1,21,1,0,0,4,0,2,12,0,1,1,1.0,1,1,0,0.0,1,3,False
91,0,0,1,1,1,3,2,35,1,0,1,4,0,3,13,1,1,8,4.25,1,1,0,0.0,3,1,False
92,0,0,1,1,0,0,1,24,1,0,0,2,0,4,0,1,1,3,2.0,2,1,0,0.0,1,1,False
93,0,0,1,1,0,0,1,24,1,0,1,2,0,4,0,1,1,1,3.0,1,1,0,1.0,1,1,False
94,0,10,1,0,0,5,1,75,1,0,0,0,0,2,1,2,2,0,0.5,0,1,0,0.0,1,0,False
95,0,2,1,0,0,8,1,38,1,0,0,0,0,1,5,2,1,3,1.0,1,1,0,0.0,4,2,False
96,1,0,2,2,3,5,4,56,2,5,2,2,1,1,2,14,2,3,7.0,3,1,0,1.0,1,0,False
97,0,0,1,1,0,1,1,25,1,0,1,2,0,4,0,1,1,6,2.0,1,1,0,0.0,1,3,False
98,0,1,1,0,0,0,1,22,1,0,0,0,0,0,1,3,0,1,1.0,1,1,0,0.0,2,2,False
99,0,0,1,0,0,1,3,21,1,1,0,1,1,2,0,5,1,1,5.0,5,2,1,0.0,1,1,False
100,0,0,1,0,0,1,1,32,1,2,0,3,0,3,2,5,1,0,3.2,1,1,0,0.0,3,2,False
101,1,0,1,1,0,1,1,20,1,0,0,0,0,1,0,0,1,0,1.0,1,1,0,0.0,1,0,False
102,1,0,3,0,1,2,3,24,1,0,0,1,2,1,0,5,1,0,3.5,1,1,0,1.0,1,3,False
103,1,0,1,0,0,0,1,25,1,2,5,13,0,6,0,6,1,1,1.875,1,1,0,0.0,2,1,False
104,1,0,4,0,2,11,4,54,1,0,0,2,3,1,0,3,1,0,5.0,1,1,0,0.0,1,0,False
105,0,3,1,0,0,0,1,21,1,0,0,0,0,0,3,3,0,1,1.0,1,1,0,0.0,2,1,False
106,15,0,3,3,4,5,5,197,2,5,10,13,2,1,0,32,2,2,8.06060606060606,1,1,0,0.5,2,7,True
107,0,0,1,1,0,0,2,25,1,0,3,10,0,1,0,4,2,4,2.8,1,1,0,0.0,3,2,False
108,1,0,2,1,0,2,2,63,1,3,5,14,0,2,0,14,2,0,3.77777777777778,1,1,0,1.0,3,3,True
109,0,1,1,0,0,0,1,21,1,0,0,0,0,1,1,0,1,0,1.0,1,1,0,0.0,1,0,False
110,0,0,1,0,0,0,2,22,1,0,1,2,0,2,0,6,2,4,4.0,3,1,0,0.0,4,1,False
111,0,0,1,0,0,5,1,27,1,1,0,0,4,4,0,9,1,3,13.0,13,1,0,1.0,1,1,False
112,0,0,1,0,0,0,1,22,1,0,3,7,0,1,0,6,2,1,2.85714285714286,1,1,0,1.0,3,0,False
113,0,0,1,0,0,0,1,21,1,0,2,8,0,1,0,5,2,0,2.0,1,1,0,0.0,1,0,False
114,0,0,1,0,0,0,3,22,1,1,0,1,0,1,3,5,2,3,5.0,5,3,1,0.0,3,1,False
115,0,0,1,0,0,0,1,24,1,0,1,4,0,1,0,7,2,1,3.0,1,1,0,0.0,4,0,False
116,0,0,1,1,0,0,1,21,1,0,3,9,0,1,0,0,2,1,1.77777777777778,1,1,0,0.0,1,3,False
117,4,0,2,1,0,4,3,132,4,9,13,25,1,3,0,19,2,0,5.02631578947368,1,1,0,0.333333333333333,3,7,True
118,2,0,1,0,3,0,1,23,1,4,3,4,0,1,0,5,1,2,3.2,2,1,0,0.0,3,1,False
119,0,5,1,0,0,0,1,21,1,0,0,0,0,0,1,1,0,0,1.0,1,1,0,0.0,2,1,True
120,0,0,1,1,0,0,1,19,1,0,2,6,0,4,0,2,1,3,3.66666666666667,1,1,0,1.0,1,2,False
121,0,0,1,0,0,0,1,21,1,0,4,7,0,1,0,1,1,2,2.0,1,1,0,0.0,2,2,False
122,0,1,1,0,0,7,1,28,1,0,0,0,0,0,3,1,0,1,1.0,1,1,0,0.0,2,2,False
123,0,0,1,0,0,0,3,22,1,0,0,2,0,2,0,4,1,3,4.0,2,1,0,0.0,1,0,False
124,1,0,1,0,1,0,1,21,1,0,0,1,0,1,0,5,1,0,4.0,1,1,0,0.0,1,0,False
125,2,0,1,0,12,2,1,58,1,2,0,9,0,1,0,5,1,0,2.84615384615385,1,1,0,0.5,4,1,False
126,0,0,1,0,0,0,2,27,1,3,7,12,0,1,2,11,2,1,3.13333333333333,1,1,0,0.0,2,2,True
127,0,0,1,0,0,0,3,21,1,2,0,1,1,2,0,6,1,2,5.66666666666667,4,2,1,0.0,4,1,False
128,0,0,1,0,0,0,1,21,1,1,0,0,0,3,0,2,1,1,2.0,2,1,0,0.0,3,2,False
129,0,0,1,0,0,0,1,29,2,4,2,7,0,3,0,8,3,0,1.90909090909091,1,1,0,1.0,3,1,False
130,0,4,1,0,0,3,1,33,1,0,0,0,0,0,1,2,0,1,0.5,0,1,0,0.0,2,1,False
131,0,0,1,0,0,0,1,21,1,1,0,0,0,3,0,4,1,3,4.0,4,1,0,0.0,3,2,False
132,0,0,2,0,0,0,3,22,2,4,4,2,1,3,0,10,2,1,7.0,4,1,0,1.0,2,3,False
133,0,0,1,0,1,0,1,42,1,5,8,19,0,4,0,12,2,1,2.75,1,1,0,1.0,3,4,False
134,0,0,1,0,0,0,1,36,1,3,4,12,0,1,3,4,2,0,1.86666666666667,0,1,0,1.0,2,1,False
135,0,0,1,0,0,0,1,29,1,1,1,4,0,2,0,0,1,0,1.4,1,1,0,0.0,1,2,False
136,0,0,1,0,0,0,1,25,1,2,1,0,0,3,2,4,1,1,3.0,3,1,0,0.0,3,2,False
137,0,0,1,0,0,0,1,28,1,4,1,4,0,3,2,5,3,0,1.5,0,1,0,1.0,1,0,False
138,0,0,1,0,0,0,1,22,1,0,1,10,0,3,2,7,1,0,2.5,1,1,0,0.0,2,3,False
139,0,0,1,1,0,0,2,22,1,0,1,3,0,3,0,8,2,2,6.33333333333333,3,1,0,0.0,2,3,False
140,1,0,1,2,1,0,1,25,1,3,0,3,0,3,0,6,1,1,3.71428571428571,2,1,0,0.75,1,1,False
141,0,0,1,0,0,0,1,19,1,2,0,2,0,3,0,3,1,0,3.0,2,1,0,1.0,1,0,False
142,0,0,1,0,0,0,1,19,1,0,0,6,0,3,0,7,1,0,2.16666666666667,1,1,0,1.0,1,0,False
143,0,0,1,0,0,2,1,29,1,1,1,3,0,3,0,4,1,1,3.0,1,1,0,1.0,1,0,False
144,0,0,1,0,0,0,1,20,1,0,0,3,0,3,0,6,1,1,3.66666666666667,2,1,0,1.0,1,0,False
145,0,0,2,1,0,2,2,39,1,0,3,8,0,1,0,1,2,1,1.875,1,1,0,1.0,1,1,False
146,0,0,1,0,0,0,1,29,1,0,1,9,0,1,0,2,2,0,1.88888888888889,1,1,0,1.0,1,1,False
147,0,0,1,0,0,2,2,27,1,0,2,3,0,1,0,5,2,0,3.66666666666667,0,1,0,1.0,1,0,False
148,0,0,1,2,0,1,2,27,1,2,0,0,2,4,0,4,1,0,3.5,0,1,0,0.0,3,3,False
149,0,0,3,0,1,6,5,44,1,1,1,3,3,6,1,10,1,1,14.25,2,1,0,1.0,3,3,True
150,0,0,1,0,0,1,2,35,1,2,3,12,0,5,1,15,1,0,4.0,1,1,0,1.0,4,5,False
151,6,0,2,1,0,2,3,66,1,0,1,14,0,1,0,12,2,0,4.6,0,1,0,0.8,1,4,False
152,0,0,1,1,0,1,2,63,1,3,12,34,0,1,1,9,2,1,3.43243243243243,0,1,0,1.0,2,3,False
153,0,3,1,0,0,6,1,38,1,0,0,0,0,1,2,2,1,1,0.333333333333333,0,1,0,0.0,1,0,False
154,1,0,1,0,0,4,2,47,1,3,1,2,1,3,2,6,1,0,4.16666666666667,0,1,0,0.0,2,0,False
155,0,0,1,0,0,0,1,20,1,0,1,5,0,1,1,1,1,1,1.8,1,1,0,0.0,2,0,False
156,2,0,2,0,0,6,3,178,2,12,9,9,2,5,2,20,2,1,5.78260869565217,0,1,0,0.75,1,5,True
157,2,0,4,1,5,4,4,45,1,0,0,4,1,1,0,10,1,0,7.16666666666667,1,1,0,1.0,1,1,False
158,0,0,1,0,0,0,1,20,1,0,1,3,0,1,0,2,2,0,0.666666666666667,0,1,0,0.0,1,0,False
159,1,0,1,0,7,3,2,60,6,0,0,13,0,1,0,4,2,0,2.14285714285714,1,1,0,0.0,2,0,False
160,1,1,1,2,0,0,1,115,2,7,40,101,0,4,2,28,2,0,1.88181818181818,1,1,0,1.0,1,5,True
161,0,5,1,0,0,8,1,74,1,0,0,0,0,1,6,4,1,1,0.2,0,1,0,0.0,1,0,False
162,0,0,0,0,0,0,0,21,1,0,4,2,0,1,0,1,1,0,1.0,1,0,0,0.0,1,0,False
163,0,1,1,0,0,6,1,25,1,0,0,0,0,1,7,1,1,1,1.0,1,1,0,0.0,1,0,False
164,0,0,1,0,0,0,1,20,1,1,1,6,0,3,0,1,1,0,1.71428571428571,1,1,0,0.0,2,0,False
165,0,0,1,0,0,2,2,48,1,4,6,6,0,1,0,9,2,0,3.8,1,1,0,1.0,1,2,True
166,0,0,1,1,0,0,1,27,1,0,2,8,0,3,0,0,1,1,2.75,1,1,0,0.0,1,1,False
167,0,12,1,0,0,6,1,98,1,0,0,0,0,1,3,3,1,0,0.75,0,1,0,0.0,1,1,False
168,0,5,1,0,0,10,1,70,1,0,0,0,0,1,2,4,1,1,0.2,0,1,0,1.0,1,1,False
169,0,0,1,0,0,5,4,92,1,4,4,10,2,3,1,17,1,1,6.35714285714286,0,1,0,0.666666666666667,1,2,False
170,1,0,2,1,0,1,2,26,1,0,2,5,1,2,0,4,1,1,3.16666666666667,1,1,0,0.666666666666667,1,1,False
171,1,0,2,1,0,2,3,35,1,0,4,6,1,2,0,6,1,0,3.71428571428571,0,1,0,1.0,1,2,False
172,3,0,3,0,3,1,6,23,1,0,0,1,1,1,0,14,1,0,6.0,1,1,0,1.0,3,2,False
173,0,0,1,0,0,1,2,27,1,0,1,2,0,2,0,4,1,4,2.5,2,1,1,1.0,1,0,False
174,0,0,1,0,0,1,2,27,1,0,2,7,1,2,0,7,1,1,3.85714285714286,1,1,0,0.0,2,2,False
175,0,0,1,0,0,0,1,17,1,0,1,5,0,1,0,4,2,1,2.0,1,1,0,0.0,1,1,False
176,0,0,0,0,0,0,0,16,1,0,0,0,0,2,0,0,1,0,0.0,0,0,0,0.0,1,0,False
177,2,0,3,0,2,2,5,22,1,0,0,1,1,1,0,11,1,0,6.0,1,1,0,0.0,2,0,False
178,1,0,1,0,0,0,2,25,1,1,2,7,0,1,3,7,2,1,2.88888888888889,1,1,0,1.0,2,2,False
179,1,0,2,1,0,1,2,30,1,0,2,6,0,1,1,5,2,0,2.71428571428571,0,1,0,0.0,1,2,False
180,0,0,1,0,0,0,2,24,1,0,3,10,0,2,0,6,1,1,3.2,1,1,0,0.0,2,0,False
181,0,1,1,0,0,7,1,26,1,0,0,0,0,1,1,2,1,5,1.0,1,1,0,0.0,2,0,False
182,2,0,1,1,2,0,2,24,1,0,0,5,1,1,2,7,2,0,3.0,0,1,0,0.0,1,2,False
183,0,0,1,0,0,3,5,25,1,1,0,0,3,3,0,7,1,2,10.0,10,12,2,0.0,1,1,False
184,0,0,1,0,0,1,1,48,1,2,5,12,0,7,0,13,1,0,2.57142857142857,1,1,0,0.0,2,0,False
185,0,0,1,0,0,3,4,30,1,0,0,3,1,3,0,12,1,1,9.0,2,1,0,0.0,1,1,False
186,0,0,1,0,0,1,2,25,1,2,0,0,1,3,0,9,1,4,8.5,4,1,0,1.0,3,4,False
187,0,0,1,0,0,0,1,20,1,3,1,5,0,6,0,5,1,1,1.75,1,1,0,0.0,2,0,False
188,0,0,1,1,0,0,2,44,1,2,16,33,0,1,0,4,2,1,1.85714285714286,1,1,0,0.0,2,0,False
189,0,0,1,0,0,0,2,19,1,0,1,2,0,4,0,3,1,3,3.5,3,1,0,0.0,2,0,False
190,0,0,1,0,0,1,1,40,5,3,5,11,0,2,7,13,2,0,3.07142857142857,1,1,0,0.0,3,2,False
191,0,0,1,0,0,0,2,21,1,1,0,0,0,3,0,5,1,4,5.0,5,2,1,0.0,2,4,False
192,3,0,1,1,9,3,2,386,18,10,23,89,0,3,3,22,2,0,3.09803921568627,1,1,0,0.8,4,5,True
193,1,0,1,1,0,0,2,37,2,2,7,11,0,2,0,4,1,2,2.92857142857143,1,1,0,1.0,1,1,False
194,0,1,1,0,0,23,1,42,1,0,0,0,0,1,1,0,1,1,1.0,1,1,0,0.0,1,0,False
195,4,0,2,0,0,1,3,32,1,0,1,3,1,1,2,1,2,2,4.14285714285714,1,1,0,1.0,2,0,False
196,0,0,1,0,0,2,4,38,1,4,0,1,1,1,0,5,2,2,6.0,5,3,1,1.0,1,0,False
197,2,0,1,9,0,0,2,68,2,3,13,31,0,3,0,11,2,0,2.16666666666667,1,1,0,0.5,2,4,False
198,0,2,1,0,0,10,1,40,1,0,0,0,0,0,1,0,0,1,1.0,1,1,0,0.0,1,0,False
199,0,1,1,0,0,9,1,32,1,0,0,0,0,0,4,1,0,3,1.0,1,1,0,1.0,1,0,False
200,0,0,1,0,0,5,2,32,1,2,0,0,0,3,0,2,1,2,4.0,3,1,0,0.0,4,1,False
201,0,0,1,0,0,2,1,42,1,2,4,8,0,6,4,5,2,0,2.3,1,1,0,0.0,3,1,False
202,0,0,1,0,0,0,1,22,1,0,1,2,0,4,1,3,1,3,3.5,3,1,0,0.0,2,1,False
203,1,3,1,0,0,1,1,45,2,2,6,9,0,3,1,5,1,0,2.66666666666667,1,1,0,1.0,3,4,False
204,1,0,1,1,0,2,2,76,3,8,8,13,0,2,0,18,5,0,4.36363636363636,0,1,0,1.0,2,5,True
205,0,4,1,0,0,0,1,50,1,5,13,35,0,3,0,19,3,0,2.75,1,1,0,1.0,2,5,True
206,0,0,1,0,0,3,3,50,2,4,5,6,0,4,0,7,2,0,4.8,1,1,0,0.8,2,2,True
207,0,0,1,0,0,0,1,22,1,2,0,1,0,5,0,0,1,0,0.333333333333333,0,1,0,0.5,2,0,False
208,0,0,1,0,0,1,2,25,1,1,0,1,1,3,0,5,1,1,6.0,4,1,0,0.0,3,1,False
209,0,0,1,1,0,0,1,26,2,2,2,2,0,4,0,4,2,2,3.25,3,1,0,0.0,3,2,False
210,0,0,1,0,0,1,3,25,1,2,1,1,1,3,0,5,1,1,6.0,3,2,1,1.0,4,1,False
211,0,0,1,1,0,1,3,31,2,5,3,2,1,3,0,6,2,1,5.42857142857143,2,1,0,1.0,4,1,True
212,0,0,1,0,0,0,1,22,1,2,8,25,0,3,0,9,2,0,1.55555555555556,1,1,0,1.0,5,1,True
213,1,0,1,0,0,0,1,28,2,0,7,19,0,1,0,5,2,0,1.55,0,1,0,0.666666666666667,1,1,False
214,0,0,1,1,0,1,2,22,1,2,0,0,2,3,1,6,1,4,7.0,5,1,0,0.5,3,4,True
215,0,0,1,2,0,0,1,25,1,2,0,1,0,4,1,1,1,1,2.0,1,1,0,1.0,4,1,False
216,0,0,1,1,0,0,3,28,1,3,3,6,1,3,0,10,1,1,4.44444444444444,1,1,0,1.0,3,3,True
217,1,0,1,1,0,0,1,18,1,1,4,4,0,6,0,9,1,0,4.5,1,1,0,0.0,2,0,False
218,0,3,1,0,0,0,1,27,1,0,0,0,0,0,0,0,0,1,1.0,1,1,0,0.0,1,3,False
219,0,1,1,0,0,5,1,26,1,0,0,0,0,1,8,1,1,12,1.0,1,1,0,0.0,2,2,False
220,0,22,1,0,0,7,1,221,1,0,0,0,0,1,1,2,1,0,0.909090909090909,0,1,0,1.0,1,0,False
221,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2,3,False
222,1,0,1,0,2,0,1,25,3,0,0,4,0,1,0,4,2,0,2.6,1,1,0,1.0,3,0,False
223,1,0,1,0,11,1,1,40,1,0,0,11,0,1,0,1,1,0,1.83333333333333,1,1,0,0.0,5,2,False
224,1,0,1,0,1,1,1,22,1,0,0,1,0,1,0,1,1,0,1.5,1,1,0,1.0,1,0,False
225,0,1,1,0,0,0,1,23,1,0,0,0,0,0,0,0,0,0,1.0,1,1,0,0.0,2,3,False
