File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
20,0,0,1,0,3,1,31,1,1,0,3.1,0,100,3,0,0,1,1.0,1,2,0,0,0.5,0,3,0,False
21,0,0,1,0,3,1,63,1,0,3,0.91,0,78,1,0,2,2,1.84615384615385,1,1,0,0,0.5,0,2,2,False
22,0,0,1,0,3,1,38,3,0,0,0.72,2,100,6,0,4,2,2.0,0,1,0,7,0.6,0,3,0,False
23,0,0,1,0,2,1,44,2,1,1,0.96,0,100,4,0,4,1,0.8,0,1,0,6,0.333333333333333,0,3,2,False
24,0,3,1,3,3,2,72,2,4,1,0.73,0,50,5,0,5,1,2.2,0,1,0,0,0.5,0,3,1,False
25,0,0,1,0,4,1,37,1,0,1,1.76,0,33,7,0,2,2,2.0,1,2,0,0,0.5,0,3,0,False
26,0,0,1,0,4,1,37,1,0,1,1.76,0,33,6,1,2,2,2.0,1,2,0,0,0.5,0,3,0,False
27,0,0,1,0,3,1,33,1,1,1,1.83,0,33,7,0,3,2,1.33333333333333,0,0,0,33,0.333333333333333,0,1,0,False
28,7,0,1,2,6,1,470,7,7,19,1.07,0,100,6,3,20,1,2.14814814814815,0,0,0,6,0.428571428571429,0,2,4,False
29,0,0,1,0,4,1,63,2,4,0,1.26,0,100,6,1,7,2,2.75,0,0,0,0,0.5,0,3,1,False
30,0,0,1,0,5,1,68,2,3,0,1.55,0,100,7,1,5,2,3.0,1,0,0,0,0.5,0,3,0,False
31,0,0,1,0,8,1,57,1,1,0,1.68,0,100,7,0,8,1,4.33333333333333,3,2,0,0,0.5,0,1,0,False
32,0,0,1,0,4,1,41,2,3,0,1.24,1,100,8,0,3,2,2.0,1,1,0,0,0.5,0,3,0,False
33,0,0,1,0,10,1,48,2,2,0,1.92,0,100,8,0,2,2,2.0,2,1,0,0,0.5,0,1,0,False
34,0,0,1,0,4,1,42,2,2,0,1.2,1,100,7,0,3,2,1.75,1,0,0,1,0.333333333333333,0,3,2,False
35,0,0,1,0,3,1,59,1,2,1,1.34,0,83,2,0,4,1,1.66666666666667,0,1,0,2,0.25,0,3,0,False
36,1,0,1,0,6,1,190,5,8,6,1.08,0,100,6,0,5,2,1.81818181818182,0,0,0,84,0.5,0,2,3,False
37,0,0,1,0,6,1,56,2,1,1,1.7,1,100,6,2,2,2,1.5,1,1,0,0,0.5,0,3,0,False
38,0,0,1,0,6,2,56,1,0,1,1.12,0,50,1,0,2,2,3.2,3,1,1,0,0.5,0,3,0,False
39,0,5,1,0,6,1,98,1,0,0,8.91,0,0,3,1,2,1,1.2,0,0,0,0,0.5,0,3,0,False
40,0,3,1,0,7,1,46,1,0,0,4.6,0,0,2,1,1,2,1.0,1,0,0,2,0.333333333333333,0,2,1,False
41,0,3,1,0,5,1,48,1,0,0,4.8,0,0,3,1,1,1,1.33333333333333,1,0,0,0,0.5,0,3,0,False
42,0,0,1,0,5,2,112,4,0,1,1.04,0,100,6,5,3,2,2.18181818181818,0,1,0,0,0.5,0,3,0,False
43,1,0,2,0,6,3,42,1,0,1,0.82,1,66,1,0,2,2,4.0,3,2,1,0,0.5,0,3,0,False
44,0,0,1,0,10,2,65,1,1,2,1.71,0,66,7,0,5,1,3.5,3,2,0,0,0.5,0,3,0,False
45,0,1,1,0,10,1,31,1,0,0,5.17,0,0,3,2,2,1,2.0,2,1,0,0,0.5,0,3,0,False
46,0,0,1,0,3,1,27,1,0,0,1.8,0,0,1,0,3,2,0.5,0,1,0,0,0.5,0,4,2,False
47,0,1,1,1,4,1,54,1,1,0,1.2,0,84,4,0,3,1,3.0,1,2,0,49,0.5,0,3,2,False
48,0,0,1,0,3,1,40,1,1,0,1.6,0,100,4,0,6,1,2.33333333333333,2,2,0,24,0.25,0,1,0,False
49,4,7,1,2,2,2,74,2,1,15,0.36,0,82,5,0,2,2,3.29411764705882,0,1,0,0,0.5,0,3,2,False
50,0,0,1,0,9,1,97,2,0,2,1.7,0,100,7,0,2,2,2.28571428571429,1,1,0,17,0.25,0,2,2,False
51,0,0,1,0,2,2,36,1,4,1,0.63,1,50,5,2,8,1,3.0,0,0,0,31,0.166666666666667,0,3,3,False
52,0,0,1,0,1,1,26,1,2,0,0.93,0,100,6,0,3,1,1.33333333333333,0,2,0,0,0.5,0,3,1,False
53,3,0,2,0,2,3,44,1,3,3,0.32,0,82,8,1,5,1,2.2,0,1,0,3,0.5,0,3,3,False
54,0,0,1,0,2,1,31,1,2,0,1.11,0,100,6,0,3,1,1.33333333333333,0,2,0,0,0.5,0,4,1,False
55,3,0,1,0,4,1,226,7,18,6,0.88,0,100,6,4,11,2,2.12820512820513,0,1,0,45,0.285714285714286,0,3,4,False
56,0,0,1,0,8,1,36,1,0,0,4.5,0,0,3,1,1,1,1.0,1,1,0,0,0.5,0,4,0,False
57,0,1,3,0,9,5,71,1,0,0,0.64,3,100,5,0,4,1,2.0,1,2,0,112,0.5,0,4,1,False
58,0,0,1,0,4,2,39,1,1,0,1.05,2,100,4,1,4,1,2.33333333333333,1,2,0,1,0.666666666666667,0,3,2,False
59,0,0,1,0,5,2,54,2,2,3,0.74,1,66,6,0,5,1,3.0,1,1,0,3,0.666666666666667,0,3,2,False
60,0,0,1,0,4,3,51,1,2,4,0.5,1,70,5,0,4,1,2.8,1,1,0,3,0.666666666666667,0,4,3,False
61,1,0,1,0,4,1,80,3,10,2,0.83,1,100,9,1,6,2,2.58333333333333,0,1,0,28,0.333333333333333,0,3,0,False
62,0,0,1,0,7,1,101,1,0,0,3.16,0,100,10,1,2,1,1.83333333333333,0,1,0,0,0.5,0,3,0,False
63,0,1,1,0,18,1,61,1,0,0,6.78,0,0,4,2,2,2,1.0,1,0,0,0,0.5,0,3,0,False
64,0,0,1,0,4,1,44,1,0,1,1.76,0,66,1,0,5,2,2.0,0,0,0,1,0.333333333333333,0,3,0,False
65,0,0,1,0,8,1,48,1,0,0,4.8,0,100,3,1,0,1,1.5,1,0,0,0,0.5,0,2,2,False
66,0,2,1,0,4,1,32,1,0,0,4.57,0,0,3,1,1,1,1.5,1,0,0,0,0.5,0,2,2,False
67,0,0,1,0,7,1,59,2,2,0,2.11,0,100,6,5,6,2,2.25,0,0,0,2,0.333333333333333,0,3,0,False
68,2,0,1,2,4,1,143,8,1,6,0.92,0,100,6,2,7,2,2.44444444444444,0,0,0,0,0.5,0,2,3,False
69,0,0,1,0,3,1,46,1,0,2,1.12,0,57,1,5,3,2,2.42857142857143,1,1,0,1,0.333333333333333,0,3,0,False
70,0,0,1,0,5,1,41,1,1,1,1.86,0,50,6,4,2,1,4.33333333333333,3,1,0,0,0.5,0,3,0,False
71,1,0,1,0,5,1,159,4,6,4,1.15,0,100,6,2,11,2,3.1,0,0,0,2,0.333333333333333,0,2,2,False
72,0,0,1,0,8,1,57,1,1,0,2.11,0,100,7,0,8,1,4.33333333333333,3,2,0,0,0.5,0,1,0,False
73,0,0,1,0,3,1,37,1,4,1,1.23,0,50,6,2,4,1,2.2,1,1,0,0,0.5,0,3,0,False
74,0,0,1,0,8,1,65,1,0,1,1.41,0,73,7,0,7,1,6.2,2,1,0,0,0.5,0,3,1,False
75,0,0,1,0,5,1,64,1,3,1,1.21,0,71,4,0,7,1,2.14285714285714,1,1,0,0,0.5,0,3,1,False
76,0,0,1,0,7,1,37,1,0,0,2.31,0,100,2,0,2,2,1.5,1,2,0,0,0.5,0,3,0,False
77,0,0,1,0,9,1,44,1,0,0,2.59,0,100,3,2,1,2,4.5,4,2,0,2,0.333333333333333,0,3,0,False
78,0,0,1,0,4,1,76,4,0,3,1.0,0,100,5,1,5,2,2.1,1,1,0,0,0.5,0,3,2,False
79,0,0,1,0,4,1,46,1,0,1,2.42,0,50,2,0,1,1,1.33333333333333,1,1,0,1,0.333333333333333,0,3,1,False
80,0,0,1,0,4,3,36,3,2,0,0.46,5,100,7,0,7,2,2.33333333333333,1,1,0,0,0.5,0,3,0,False
81,0,0,1,0,6,1,56,2,2,2,1.47,1,100,7,0,6,2,2.8,0,1,0,0,0.5,0,3,3,False
82,0,0,1,0,5,1,49,2,2,1,1.4,0,100,6,1,3,2,1.8,0,0,0,0,0.5,0,3,2,False
83,0,1,1,0,14,1,39,1,0,0,5.57,0,0,6,2,2,1,1.0,1,1,0,0,0.5,0,3,0,False
84,0,2,1,0,4,1,51,1,0,0,7.29,0,0,3,0,0,1,2.0,2,0,0,0,0.5,0,3,2,False
85,0,0,1,0,4,1,27,1,0,0,2.7,0,100,6,0,0,1,2.0,2,2,0,0,0.5,0,3,0,False
86,0,0,1,0,7,1,36,1,0,1,1.89,0,50,7,0,3,1,3.0,1,1,0,0,0.5,0,3,0,False
87,0,0,1,0,5,1,46,1,1,0,1.84,0,100,4,0,5,1,2.25,2,2,0,0,0.5,0,3,1,False
88,0,0,1,0,3,1,27,1,0,0,1.8,0,0,2,0,2,1,0.5,0,3,0,0,0.5,0,3,0,False
89,0,0,1,0,7,2,47,2,2,0,1.02,3,100,7,1,4,2,3.0,0,1,0,1,0.333333333333333,0,3,0,False
90,0,3,1,0,7,1,42,1,0,0,4.67,0,0,5,2,1,1,1.0,1,1,0,0,0.5,0,3,0,False
91,0,0,1,0,8,1,56,1,2,1,1.65,0,75,7,1,6,1,2.75,1,2,0,0,0.5,0,3,1,False
92,0,0,1,0,0,2,28,2,0,0,1.04,3,100,4,0,2,2,1.5,1,2,0,26,0.285714285714286,0,3,1,False
93,0,0,1,0,6,1,46,1,0,0,1.53,0,83,7,0,6,1,2.66666666666667,0,2,0,0,0.5,0,3,1,False
94,0,0,1,0,5,1,65,1,1,1,1.97,0,60,2,1,5,1,4.4,3,1,0,8,0.25,0,3,2,False
95,0,0,1,0,3,2,42,1,0,1,0.89,0,50,1,0,1,3,2.6,1,1,0,3,0.333333333333333,0,2,1,False
96,0,0,1,0,4,1,54,1,0,1,1.42,0,33,1,2,3,4,2.0,0,0,0,0,0.5,0,3,0,False
97,0,0,1,0,3,1,39,1,0,2,1.08,0,66,1,0,0,2,3.6,1,1,0,0,0.5,0,2,2,False
98,0,0,1,0,4,1,37,1,0,1,2.47,0,33,1,6,2,2,0.666666666666667,0,1,0,0,0.5,0,3,0,False
99,0,2,1,0,4,1,34,1,0,0,4.25,0,0,3,2,2,1,2.0,2,1,0,0,0.5,0,3,1,False
100,0,0,1,0,4,1,38,1,0,2,1.58,0,55,1,0,2,2,1.66666666666667,1,2,0,0,0.5,0,3,1,False
101,0,0,1,0,7,2,136,5,3,1,1.11,3,100,6,1,5,2,2.1,0,1,0,45,0.333333333333333,0,2,1,False
102,1,0,1,0,7,2,187,1,1,1,1.02,0,47,6,1,1,1,2.9047619047619,0,1,0,1763,0.4,0,1,3,False
103,0,0,2,0,6,2,35,1,0,2,1.25,0,33,2,0,3,1,2.5,2,3,0,73,0.333333333333333,0,3,0,False
104,0,3,1,0,6,1,341,9,16,6,0.99,0,100,7,1,10,2,2.04878048780488,0,0,0,910,0.3,0,2,2,False
105,31,0,2,0,7,3,700,4,0,20,0.62,1,87,2,0,4,4,4.21739130434783,0,0,0,2007,0.333333333333333,0,2,4,False
106,0,0,1,0,2,1,48,1,0,0,1.09,0,100,1,0,1,2,0.4,0,0,0,0,0.5,0,4,0,False
107,1,0,1,0,9,1,262,3,7,4,1.88,0,100,6,2,9,2,2.77777777777778,1,0,0,0,0.5,0,2,1,False
108,3,0,2,4,8,3,204,1,5,1,0.67,1,82,1,0,0,1,4.16666666666667,2,2,0,0,0.5,0,1,2,False
109,1,0,1,2,5,3,42,1,0,0,0.79,1,50,1,0,5,1,2.66666666666667,0,1,0,3,0.666666666666667,0,3,2,False
110,0,0,1,0,5,1,41,1,0,0,1.86,0,100,5,0,1,1,1.0,0,1,0,73,0.333333333333333,0,3,0,False
111,0,0,1,0,5,1,41,1,0,0,1.86,0,100,5,0,1,1,1.0,0,1,0,72,0.333333333333333,0,3,0,False
112,0,0,1,0,9,2,82,1,0,1,0.94,0,75,4,0,7,1,3.83333333333333,1,2,0,185,0.333333333333333,0,3,1,False
113,0,0,1,0,6,1,58,1,0,0,2.0,0,100,3,2,2,1,1.83333333333333,0,1,0,97,0.333333333333333,0,3,0,False
114,0,0,1,0,4,1,98,1,0,1,1.1,0,11,4,2,2,1,1.5,1,1,0,211,0.333333333333333,0,3,0,False
115,0,0,1,4,9,2,105,2,3,2,1.59,0,100,4,0,6,1,2.75,1,2,0,187,0.333333333333333,0,3,1,False
116,0,0,1,0,11,1,33,1,0,0,2.75,0,100,7,0,1,1,3.0,3,3,0,50,0.333333333333333,0,3,0,False
117,1,0,1,0,4,2,81,3,2,2,0.93,0,100,1,0,5,2,1.75,0,1,0,182,0.333333333333333,0,3,0,False
118,0,0,1,1,2,1,40,1,2,0,0.39,0,77,4,0,0,1,1.33333333333333,0,1,0,150,0.333333333333333,0,2,1,False
119,0,0,1,0,4,1,39,1,0,0,1.86,0,100,7,0,2,1,0.75,0,1,0,0,0.5,0,3,1,False
120,0,0,1,0,5,1,39,1,0,0,1.34,0,100,7,0,4,1,1.0,0,2,0,0,0.5,0,3,1,False
121,0,1,1,0,6,1,35,1,0,0,7.0,0,0,3,1,1,1,1.0,1,1,0,0,0.5,0,2,1,False
122,0,16,1,0,5,1,131,1,0,0,5.95,0,0,3,1,2,1,1.25,0,0,0,13,0.5,0,2,1,False
123,0,3,1,0,4,1,33,1,0,0,4.71,0,0,3,1,1,1,1.0,1,0,0,0,0.5,0,2,1,False
124,0,5,1,0,9,1,78,1,0,0,7.09,0,0,3,1,3,1,2.0,1,0,0,0,0.5,0,3,0,False
125,0,0,1,0,4,1,40,1,0,0,1.74,0,100,7,0,3,1,0.75,0,2,0,2,0.333333333333333,0,3,1,False
126,0,0,1,0,5,1,44,1,1,0,1.33,0,100,7,0,5,1,0.75,0,2,0,5,0.4,0,3,1,False
127,0,0,1,0,4,1,37,1,0,0,2.18,0,100,7,0,2,1,1.0,0,2,0,0,0.5,0,3,1,False
128,0,0,1,0,8,1,107,1,0,2,2.1,0,70,7,1,3,1,3.11111111111111,1,1,0,0,0.5,0,3,1,False
129,0,0,1,0,8,1,183,1,4,3,1.65,0,90,6,3,7,3,2.5625,0,0,0,18,0.6,0,2,1,False
130,0,0,1,0,5,1,56,1,3,1,2.33,0,60,6,5,3,1,4.4,0,0,0,0,0.5,0,3,1,False
131,0,0,1,0,8,1,38,1,0,0,2.53,0,100,6,0,6,1,3.0,3,8,0,0,0.5,0,3,0,False
132,0,0,1,0,5,1,211,3,6,7,1.1,0,100,3,2,4,2,2.03333333333333,0,1,0,152,0.333333333333333,0,2,2,False
133,1,1,1,0,5,1,239,6,3,7,1.2,0,100,6,7,10,2,2.25925925925926,0,0,0,31,0.5,0,1,0,False
134,0,0,1,0,11,1,30,1,0,0,1.2,3,0,2,0,1,1,0.0,0,3,0,54,0.333333333333333,0,1,0,False
135,2,0,1,0,5,2,35,1,0,0,0.62,0,100,5,3,1,1,1.66666666666667,0,2,0,100,0.333333333333333,0,3,0,False
136,0,0,1,0,3,1,23,1,0,1,1.77,0,0,5,1,2,1,1.0,1,5,0,39,0.333333333333333,0,3,0,False
137,0,0,1,0,3,2,43,2,5,0,0.63,0,100,8,0,3,2,2.5,1,2,0,373,0.2,0,3,0,False
138,0,0,1,0,4,1,23,1,0,0,2.3,0,100,6,0,0,1,2.0,2,2,0,35,0.333333333333333,0,5,0,False
139,0,0,1,0,4,1,22,1,0,0,3.14,0,100,6,0,0,1,0.0,0,1,0,32,0.333333333333333,0,3,0,False
140,0,0,1,0,4,1,22,1,0,0,3.14,0,100,6,0,0,1,0.0,0,1,0,33,0.333333333333333,0,3,0,False
141,2,0,1,0,5,2,39,1,0,0,0.71,0,100,6,0,1,1,1.66666666666667,0,2,0,102,0.333333333333333,0,3,0,False
142,0,0,1,0,6,1,47,1,0,0,1.42,0,100,3,0,5,1,1.75,1,2,0,270,0.2,0,3,0,False
143,0,0,1,0,3,2,27,1,0,0,0.77,3,0,2,0,2,1,1.0,1,5,1,3,0.333333333333333,0,2,2,False
144,0,0,1,0,0,1,28,1,0,0,3.5,0,0,6,0,1,1,0.0,0,1,0,0,0.5,0,5,0,False
145,0,0,1,0,3,1,37,1,1,0,1.54,0,100,3,0,5,1,0.5,0,0,0,6,0.6,0,1,0,False
146,0,0,1,0,5,1,26,1,0,0,3.25,0,0,5,1,1,1,0.0,0,2,0,0,0.5,0,5,0,False
147,0,0,1,0,0,1,33,1,1,0,3.0,0,0,3,0,2,1,3.0,3,2,0,6,0.5,0,5,0,False
148,0,1,1,1,6,2,35,1,0,0,0.97,1,100,1,0,0,1,0.5,0,1,0,3,0.666666666666667,0,2,0,False
149,0,0,1,0,4,1,30,1,0,0,2.5,1,0,3,0,0,1,0.0,0,2,0,47,0.4,0,2,0,False
150,1,0,1,0,2,1,37,1,0,0,1.61,0,0,1,1,3,2,1.0,1,1,0,66,0.333333333333333,0,3,0,False
151,0,0,2,0,4,3,55,1,0,1,0.73,0,0,1,0,0,2,4.33333333333333,2,1,1,140,0.333333333333333,0,3,1,False
152,0,0,1,0,6,1,38,1,1,0,4.22,0,0,2,1,1,1,1.5,1,1,0,49,0.333333333333333,0,2,1,False
153,0,2,1,0,11,1,45,1,0,0,6.43,0,0,0,4,0,0,3.0,2,1,0,55,0.333333333333333,0,2,2,False
154,1,0,1,1,8,4,57,1,1,1,0.63,2,75,1,2,7,1,4.5,2,1,0,169,0.4,0,3,1,True
155,0,0,1,0,3,1,28,1,0,0,2.15,0,0,1,0,0,2,0.5,0,1,0,46,0.333333333333333,0,3,1,False
156,0,0,1,2,7,2,59,1,0,0,2.68,0,0,1,0,1,1,3.0,2,1,0,86,0.333333333333333,0,2,1,False
157,0,1,1,0,3,1,26,1,0,0,4.33,0,0,3,2,1,1,3.0,3,1,0,34,0.333333333333333,0,3,1,False
158,0,1,1,0,6,1,53,1,0,0,8.83,0,0,3,6,0,1,2.0,2,1,0,62,0.25,0,2,2,False
159,1,1,2,6,6,2,224,5,5,8,1.07,0,41,1,2,5,5,3.70588235294118,0,1,0,504,0.333333333333333,0,1,4,False
160,0,1,1,0,5,1,48,1,0,0,6.86,0,0,3,4,0,1,1.0,1,1,0,0,0.5,0,2,2,False
161,4,0,1,1,5,2,101,1,0,5,0.67,0,75,1,0,2,2,5.38461538461539,2,1,0,17,0.5,0,2,1,True
162,0,0,1,0,5,1,70,2,4,1,1.21,0,71,3,2,3,2,1.75,0,1,0,1,0.333333333333333,0,1,0,False
163,1,0,1,0,1,3,63,1,0,0,1.37,0,0,1,0,2,2,2.5,1,6,0,2,0.333333333333333,0,4,1,False
164,0,0,1,0,3,1,126,1,0,1,0.7,0,86,1,1,0,3,0.655172413793103,0,0,0,26,0.25,0,2,1,False
165,0,0,1,0,4,1,30,1,0,1,2.0,0,0,1,0,0,2,2.5,1,1,0,0,0.5,0,3,0,False
166,0,0,1,0,2,2,42,1,3,4,0.34,1,46,2,0,2,1,3.625,2,1,0,191,0.333333333333333,0,1,0,False
167,0,0,1,0,1,1,28,3,1,0,0.58,1,50,2,0,5,2,1.0,0,1,0,93,0.333333333333333,0,3,1,False
168,0,0,1,0,1,1,25,1,1,2,1.39,0,75,2,0,1,1,0.5,0,1,0,51,0.333333333333333,0,4,0,False
169,0,0,1,0,3,1,28,1,0,2,2.15,0,50,1,1,1,1,3.0,3,1,0,48,0.333333333333333,0,2,2,False
170,0,0,1,0,3,1,33,1,0,1,2.06,0,33,1,0,0,1,1.33333333333333,0,1,0,55,0.333333333333333,0,2,1,False
171,0,0,1,0,3,1,28,1,0,2,2.15,0,50,2,0,1,1,3.0,3,1,0,48,0.333333333333333,0,2,2,False
172,0,0,1,0,2,1,42,5,0,0,0.45,2,75,2,0,10,2,1.0,0,1,0,179,0.5,0,3,2,False
173,0,1,1,0,3,1,25,1,0,0,5.0,0,0,0,1,0,0,1.0,1,1,0,31,0.333333333333333,0,2,1,False
174,0,0,1,0,3,1,28,1,0,1,2.15,0,0,1,0,0,2,1.0,1,1,0,45,0.333333333333333,0,2,1,False
175,0,5,1,0,3,1,38,1,0,0,4.75,0,0,0,1,0,0,1.0,0,0,0,54,0.333333333333333,0,2,2,False
176,0,0,1,0,3,1,28,1,0,1,2.0,0,0,1,0,0,2,1.0,1,1,0,47,0.333333333333333,0,3,0,False
177,0,0,1,0,3,1,40,1,0,1,1.25,0,0,1,0,0,2,1.16666666666667,0,1,0,80,0.333333333333333,0,3,0,False
178,0,0,0,0,0,0,21,1,0,0,4.2,0,0,1,0,0,2,0.0,0,0,0,0,0.5,0,3,1,False
179,0,0,1,0,3,2,61,1,1,2,0.41,1,33,2,0,6,1,2.16666666666667,1,1,0,0,0.5,0,3,1,False
180,0,0,1,0,4,1,25,1,0,0,2.78,0,100,2,4,0,1,0.0,0,1,0,0,0.5,0,2,2,False
181,0,0,1,0,7,3,42,1,0,1,1.11,1,50,3,0,4,1,1.5,1,1,0,90,0.25,0,3,0,False
182,0,0,1,0,0,2,26,1,0,0,2.17,0,0,3,6,2,1,0.0,0,4,1,0,0.5,0,4,1,False
183,5,0,1,0,7,2,180,2,0,3,0.85,1,74,2,0,8,2,3.0,0,1,0,10,0.4,0,2,2,False
184,0,0,1,0,4,1,53,1,3,2,1.39,0,50,4,2,4,1,2.16666666666667,0,0,0,10,0.428571428571429,0,5,1,True
185,1,0,1,1,8,2,112,1,6,0,0.89,1,95,3,7,15,1,3.1,1,0,0,47,0.3,0,3,5,True
186,0,0,1,0,5,1,107,2,6,4,1.23,0,80,4,9,6,2,2.41666666666667,1,0,0,5,0.5,0,4,3,False
187,7,0,1,0,4,2,325,11,4,13,0.55,1,100,5,1,19,2,3.42592592592593,0,0,0,106,0.380952380952381,3,1,0,True
188,0,0,1,0,5,1,42,1,2,0,2.33,0,100,5,1,2,1,2.0,1,0,0,0,0.5,0,4,1,False
189,0,0,1,0,3,1,35,1,0,0,2.06,0,0,1,3,0,2,1.0,1,1,0,0,0.5,0,3,0,False
190,0,0,1,0,7,1,52,1,0,2,1.79,0,55,2,0,3,1,3.0,2,2,0,0,0.5,0,3,0,False
191,0,0,1,0,4,1,59,1,0,1,1.59,0,42,1,2,0,2,2.14285714285714,2,1,0,0,0.5,0,2,1,False
192,0,0,1,0,4,1,58,1,0,1,1.53,0,71,1,0,0,2,1.85714285714286,1,1,0,0,0.5,0,3,0,False
193,0,0,1,0,3,1,42,1,0,0,2.21,0,100,2,0,0,1,3.0,1,1,0,0,0.5,0,3,0,False
194,0,0,1,0,5,2,74,1,7,0,1.03,0,0,5,3,5,1,1.0,0,0,0,5,0.333333333333333,0,4,1,True
195,1,0,1,0,5,2,70,1,4,2,0.82,0,85,5,6,7,1,1.85714285714286,0,0,0,10,0.5,0,4,1,False
196,1,0,1,2,3,1,53,3,2,0,0.95,0,100,6,0,7,2,2.75,1,1,0,0,0.5,0,3,0,False
197,0,3,1,0,6,1,77,1,0,0,8.56,0,100,3,3,0,1,3.0,3,1,0,1,0.333333333333333,0,2,2,False
198,0,1,1,0,3,1,36,1,0,0,7.2,0,0,0,3,0,0,1.0,1,1,0,5,0.333333333333333,0,2,1,False
199,0,0,1,0,3,1,50,2,4,0,1.02,0,100,6,12,6,2,1.625,0,0,0,0,0.5,0,5,0,False
200,0,0,1,0,3,1,48,2,5,0,0.8,0,100,5,28,6,2,1.375,0,0,0,0,0.5,0,5,1,False
201,0,0,1,0,4,1,39,2,2,0,1.44,0,100,6,1,2,2,1.5,1,0,0,0,0.5,0,4,0,False
202,0,0,1,0,3,1,63,2,7,1,1.12,0,100,6,4,4,2,1.3,0,0,0,87,0.2,0,3,2,False
203,0,0,1,0,3,1,65,2,9,0,0.92,0,100,6,2,6,2,1.08333333333333,0,0,0,2,0.25,0,3,0,False
204,0,1,1,0,7,1,31,1,0,0,5.17,0,0,0,4,1,0,1.0,1,0,0,0,0.5,0,3,0,False
205,0,0,1,0,10,1,58,1,1,0,2.64,0,100,7,0,4,1,3.33333333333333,2,2,0,0,0.5,0,3,0,False
206,0,0,1,0,7,2,61,1,3,2,1.33,0,75,5,0,9,1,2.25,0,2,0,6,0.333333333333333,0,3,1,False
207,0,0,1,0,9,1,76,1,1,0,2.38,0,100,7,0,3,2,1.75,0,1,0,0,0.5,0,2,1,False
