File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,target
83,0,0,1,1,0,0,1,1,0,0,2,2.0,0,100,2,0,0,1,2.0,2,1,0,0.578947368421053,0.0,0,False
84,0,0,1,0,0,1,1,1,1,5,11,0.76,0,76,1,0,2,1,2.0,1,1,0,0.991228070175439,0.0,1,False
85,0,0,1,0,0,0,1,1,0,3,5,0.64,0,53,1,0,3,1,2.6,1,1,0,0.890625,0.0,0,False
86,0,2,1,0,0,0,1,1,0,0,0,1.91,0,0,0,1,1,0,1.0,1,1,0,0.868421052631579,0.0,0,False
87,1,0,1,0,0,0,2,1,1,1,4,0.42,1,50,1,0,4,2,3.0,2,1,0,0.795918367346939,0.0,0,False
88,0,6,1,0,0,2,1,1,0,0,0,2.79,0,0,3,1,0,1,0.0,0,0,0,0.90625,0.0,0,False
89,0,38,1,0,0,5,1,1,0,0,0,3.98,0,0,2,6,14,2,4.81578947368421,2,0,0,0.398753894080997,1.0,1,False
90,0,0,1,0,0,0,2,1,2,1,25,0.11,0,88,2,0,16,1,4.25925925925926,1,1,0,0.536,0.0,1,False
91,1,0,1,1,5,5,2,1,0,0,5,1.43,0,83,1,0,4,1,9.0,0,1,0,0.653465346534653,1.0,2,False
92,0,1,1,0,0,0,1,1,0,0,0,4.2,0,0,0,4,1,0,2.0,2,1,0,0.928571428571429,0.0,0,False
93,0,0,1,0,0,0,1,1,0,1,53,0.12,0,0,1,11,25,2,2.92452830188679,1,1,0,0.378277153558052,1.0,1,False
94,0,1,1,0,0,4,1,1,0,0,0,6.25,0,0,0,7,1,0,1.0,1,1,0,0.75,0.0,0,False
95,0,0,1,0,0,0,1,1,0,0,2,2.1,0,0,2,3,0,2,0.5,0,2,0,0.8,0.0,0,False
96,0,0,1,2,1,3,2,1,0,2,6,0.76,0,54,1,0,1,1,6.83333333333333,2,1,0,0.545454545454545,0.0,1,True
97,1,0,1,5,0,1,2,5,33,64,143,0.29,0,98,1,2,63,2,6.19774011299435,0,0,0,0.495039164490862,0.818181818181818,2,True
98,0,1,1,0,0,0,1,1,0,0,0,5.5,0,0,0,7,1,0,2.0,2,0,0,0.714285714285714,0.0,0,False
99,0,0,1,1,0,0,1,1,0,0,4,1.29,0,100,2,0,0,1,13.0,0,1,0,1.0,0.0,0,False
100,0,0,1,1,0,0,4,1,0,1,3,0.4,1,50,2,0,6,1,3.0,2,2,0,1.0,1.0,0,False
101,0,0,1,0,0,3,3,1,0,0,4,0.8,0,0,2,0,5,1,3.5,2,2,0,0.555555555555556,0.0,1,False
102,0,16,1,0,0,3,1,1,0,0,0,2.92,0,0,1,1,4,1,1.875,0,0,0,0.614035087719298,1.0,1,False
103,0,0,1,0,0,0,1,1,1,21,45,0.33,0,95,1,0,12,1,5.30434782608696,1,1,0,0.662162162162162,1.0,1,False
104,0,2,1,0,0,3,1,1,0,0,0,3.5,0,0,1,1,2,1,3.5,1,1,0,0.65,0.0,1,False
105,0,0,1,0,0,3,1,1,0,5,10,1.24,0,80,1,0,4,1,2.0,1,1,0,0.704761904761905,0.0,0,False
106,0,0,1,0,0,0,5,1,0,0,1,0.79,3,0,1,0,4,2,2.0,2,13,2,0.616666666666667,0.0,1,False
107,0,0,1,0,0,0,1,1,0,1,2,1.62,0,0,2,0,1,1,1.0,1,1,0,0.923076923076923,0.0,0,False
108,0,0,1,0,0,0,1,1,0,0,52,0.13,0,0,1,0,25,2,0.0576923076923077,0,0,0,0.652509652509653,1.0,0,False
109,0,0,1,0,0,0,1,1,0,1,53,0.12,0,7,1,1,26,2,0.981132075471698,0,1,0,0.42962962962963,1.0,1,False
110,0,0,1,1,0,5,1,1,4,2,21,0.84,0,89,3,0,25,1,3.24,0,1,0,0.728767123287671,0.0,1,True
111,1,0,1,1,0,1,2,3,4,14,18,0.25,0,83,1,0,20,3,3.08695652173913,0,0,0,0.551020408163265,1.0,0,True
112,0,0,1,0,0,1,1,1,0,1,2,2.0,0,0,2,1,0,1,2.0,2,2,0,0.714285714285714,0.0,0,False
113,0,0,1,0,2,0,1,1,1,3,49,0.14,0,68,1,0,22,2,1.74,1,1,0,0.358490566037736,0.75,1,False
114,0,43,1,0,0,1,1,1,0,0,1,1.73,0,0,1,1,0,1,0.431818181818182,0,0,0,0.628415300546448,0.75,1,False
115,0,0,1,0,0,2,1,1,0,1,13,1.0,0,0,1,0,3,2,1.07692307692308,1,1,0,0.783018867924528,0.0,1,False
116,0,9,1,0,0,3,1,1,0,0,0,3.77,0,0,1,1,0,1,0.0,0,0,0,0.726027397260274,0.0,1,False
117,0,0,1,0,0,2,1,1,0,1,12,0.95,0,16,1,0,5,2,1.08333333333333,0,1,0,0.636363636363636,0.0,0,False
118,0,6,1,0,0,4,1,1,0,0,0,4.0,0,0,1,1,0,1,0.0,0,0,0,0.474576271186441,0.0,0,False
119,0,0,1,1,0,0,2,1,0,2,36,0.11,0,65,1,2,17,2,1.80555555555556,0,1,0,0.507788161993769,1.0,1,False
120,0,26,1,0,0,4,1,1,0,0,5,3.6,0,0,0,3,0,0,0.290322580645161,0,0,0,0.591743119266055,1.0,1,False
121,0,0,1,0,0,4,1,1,0,2,6,1.19,0,41,2,0,6,2,2.0,0,1,0,0.483516483516484,0.0,0,True
122,0,4,1,0,0,4,1,1,0,0,0,3.8,0,0,1,2,0,1,0.0,0,0,0,0.490566037735849,0.0,0,False
123,0,0,1,0,0,0,1,1,0,1,3,1.14,0,0,1,0,1,2,1.33333333333333,1,1,0,0.805555555555556,0.0,0,False
124,0,0,0,0,0,0,0,1,0,0,0,4.0,0,0,1,1,0,1,0.0,0,0,0,0.652173913043478,0.0,0,False
125,0,0,1,0,0,3,1,1,0,2,12,1.18,0,66,2,0,6,2,1.0,0,1,0,0.573529411764706,0.0,0,False
126,0,0,1,0,0,0,1,1,3,1,2,0.4,0,0,3,0,10,1,3.6,2,2,0,0.507692307692308,1.0,1,False
127,0,0,1,1,0,0,2,2,23,16,13,0.06,0,88,2,0,38,2,5.11111111111111,0,1,0,0.654,1.0,1,False
128,0,0,1,0,0,0,1,1,3,1,2,0.39,0,0,4,0,11,1,3.8,2,2,0,0.552238805970149,0.5,1,False
129,0,0,1,0,0,0,1,1,3,1,2,0.4,0,0,4,0,10,1,3.6,2,2,0,0.515151515151515,0.0,1,False
130,0,0,1,0,0,0,1,1,3,1,2,0.4,0,0,3,0,10,1,3.6,2,2,0,0.53030303030303,0.0,2,False
131,0,0,1,1,0,0,2,1,4,5,4,0.29,0,70,2,0,10,1,4.125,0,0,0,0.546666666666667,0.0,1,False
132,0,0,1,1,1,0,1,1,2,2,2,0.76,0,58,2,0,4,1,2.0,0,1,0,0.612903225806452,1.0,1,False
133,4,0,1,2,5,2,2,2,2,13,27,0.41,0,90,1,0,1,2,3.66666666666667,1,1,0,0.583529411764706,1.0,1,True
134,0,0,1,0,0,0,1,1,0,1,9,0.5,0,0,1,0,1,2,1.11111111111111,1,1,0,1.0,0.0,0,False
135,0,6,1,0,0,0,1,1,0,0,0,1.6,0,0,1,1,0,1,0.0,0,1,0,1.0,0.0,0,False
136,0,0,1,0,0,0,1,1,0,1,23,0.22,0,0,1,0,2,2,1.43478260869565,1,1,0,0.760330578512397,1.0,2,False
137,0,20,1,0,0,0,1,1,0,0,0,0.67,0,0,1,1,0,1,0.0,0,0,0,0.761904761904762,1.0,2,False
138,1,2,1,1,2,0,1,9,17,4,10,0.09,0,75,3,5,14,2,2.13333333333333,0,0,0,0.982332155477032,0.0,1,False
139,0,0,1,0,0,0,1,1,0,1,3,1.14,0,0,1,0,1,2,1.33333333333333,1,1,0,0.722222222222222,0.0,1,False
140,0,0,0,0,0,0,0,1,0,0,0,4.0,0,0,1,1,0,1,0.0,0,0,0,0.521739130434783,0.0,1,False
141,0,0,1,0,0,0,1,1,0,0,12,0.31,0,0,2,0,7,2,3.75,1,1,0,0.663157894736842,0.0,1,False
142,0,11,1,0,0,6,1,1,0,0,0,5.38,0,0,1,1,0,1,0.818181818181818,0,0,0,0.560344827586207,0.0,1,False
143,0,0,1,0,0,2,2,1,1,2,28,0.69,0,77,1,3,4,2,1.44827586206897,0,1,0,0.462365591397849,1.0,0,False
144,0,25,1,0,0,3,1,1,0,0,0,3.48,0,0,0,3,0,0,0.2,0,0,0,0.369426751592357,1.0,0,False
145,0,0,1,0,0,1,2,1,1,0,4,1.21,0,0,2,0,1,2,1.6,0,1,0,0.633333333333333,0.0,0,False
146,0,3,1,0,0,2,1,1,0,0,0,4.33,0,0,1,1,0,1,0.0,0,0,0,0.638888888888889,0.0,0,False
147,0,0,1,0,0,0,1,1,0,0,1,2.29,0,0,2,0,2,2,3.0,3,2,0,0.592592592592593,0.0,1,False
148,0,0,0,0,0,0,0,1,0,0,0,5.33,0,0,1,1,0,1,0.0,0,0,0,0.5,0.0,0,False
149,0,0,1,0,0,0,1,1,0,1,13,0.23,0,30,1,0,5,2,1.61538461538462,0,1,0,1.0,0.0,0,False
150,0,0,1,0,0,0,1,1,0,1,55,0.12,0,92,1,3,25,2,3.10909090909091,0,1,0,0.423487544483986,0.666666666666667,1,False
151,0,0,1,0,0,2,1,1,0,5,11,1.19,0,81,1,0,4,1,4.45454545454545,2,1,0,0.703703703703704,0.0,0,False
152,0,0,1,0,0,1,3,1,3,0,1,0.48,1,0,1,0,2,2,1.75,1,1,0,0.851485148514851,0.0,1,False
153,0,0,1,1,0,2,2,1,7,12,20,0.25,0,83,1,3,27,2,4.37037037037037,0,0,0,0.393088552915767,0.9,1,True
154,1,0,1,1,1,0,1,1,1,7,21,0.11,0,85,1,2,13,2,2.95652173913043,0,0,0,0.446700507614213,0.8,1,True
155,2,1,1,1,0,0,2,3,3,7,5,0.25,0,73,2,2,11,2,3.18181818181818,0,1,0,0.993589743589744,0.75,1,True
156,0,0,1,1,0,1,1,1,1,16,26,0.47,0,92,1,2,12,2,2.74074074074074,1,1,0,0.896551724137931,0.846153846153846,0,True
157,0,0,1,0,0,0,2,1,0,1,3,1.17,0,0,1,0,1,2,2.66666666666667,2,1,0,0.695652173913043,1.0,0,False
158,0,0,1,0,0,0,1,1,0,2,6,0.55,0,16,3,0,2,1,2.83333333333333,2,1,0,0.736111111111111,0.0,0,False
159,0,0,1,0,0,0,1,1,0,5,10,0.3,0,54,3,0,2,1,3.3,1,1,0,0.622641509433962,0.0,0,False
160,0,0,1,0,0,1,1,1,4,9,43,0.42,0,91,1,5,8,2,2.29787234042553,0,0,0,0.806020066889632,0.833333333333333,0,False
161,0,0,1,1,0,0,2,1,5,6,18,0.12,0,80,2,2,7,3,2.69565217391304,0,0,0,0.981981981981982,0.6,1,False
162,0,0,2,2,0,1,3,1,6,11,21,0.22,0,87,2,0,13,2,3.22222222222222,0,1,0,0.805,0.666666666666667,0,True
163,0,32,1,0,0,4,1,1,0,0,8,3.44,0,0,1,1,5,1,3.375,0,0,0,0.705263157894737,0.8,0,False
164,0,0,1,1,0,0,1,1,3,1,3,0.6,0,41,3,0,5,1,1.83333333333333,0,1,0,0.707317073170732,1.0,0,False
165,0,0,1,1,0,1,2,1,1,8,27,0.25,0,82,2,0,14,1,2.35714285714286,0,1,0,0.681681681681682,0.9,0,True
166,0,0,1,1,0,0,2,1,1,7,23,0.2,0,71,2,0,11,1,2.41666666666667,0,1,0,0.739285714285714,1.0,0,True
167,0,0,1,1,0,1,2,1,3,5,5,0.47,0,62,3,0,9,1,3.125,0,1,0,0.710526315789474,1.0,0,False
168,0,0,1,0,0,3,2,1,0,3,13,0.67,0,58,2,0,5,1,1.46153846153846,0,1,0,0.544378698224852,0.666666666666667,0,False
169,0,26,1,0,0,0,1,1,0,0,8,0.61,0,0,1,2,13,2,3.41176470588235,1,0,0,0.47008547008547,0.777777777777778,0,False
170,0,0,1,0,0,2,1,1,0,0,5,2.29,0,0,1,1,7,1,2.0,1,0,0,0.890909090909091,0.0,0,False
171,0,0,1,0,0,0,2,1,2,4,7,0.26,0,63,2,0,20,1,2.66666666666667,1,1,0,0.688405797101449,0.8,0,False
172,0,0,1,0,0,0,1,1,1,1,38,0.16,0,2,1,4,15,2,1.87179487179487,1,1,0,0.436018957345972,0.777777777777778,0,False
173,0,2,1,0,0,0,1,1,0,0,0,4.2,0,0,0,4,1,0,2.0,2,0,0,0.67741935483871,1.0,0,False
174,0,0,1,0,0,0,1,1,0,9,14,0.19,0,67,3,0,3,1,7.92857142857143,1,1,0,0.513333333333333,1.0,0,True
175,0,0,1,1,0,0,2,1,5,5,14,0.13,0,78,3,0,19,2,3.73684210526316,0,0,0,0.519298245614035,1.0,1,False
176,0,0,1,1,0,0,1,1,0,0,1,3.0,0,100,1,0,0,2,0.0,0,1,0,0.548387096774194,0.0,0,False
177,0,0,1,0,0,0,2,3,3,2,8,0.32,0,55,1,0,3,2,2.63636363636364,1,1,0,0.809090909090909,0.0,0,False
178,0,0,1,0,0,2,1,1,0,1,3,2.54,0,0,1,0,2,2,1.0,1,1,0,0.865384615384615,0.0,0,False
179,0,4,1,0,0,0,1,1,0,0,0,2.62,0,0,0,2,2,0,2.5,1,0,0,0.611111111111111,0.0,0,False
180,0,1,1,0,0,0,1,1,0,0,0,5.5,0,0,0,2,1,0,1.0,1,1,0,0.724137931034483,0.0,0,False
181,0,1,1,0,0,0,1,1,0,0,0,5.25,0,0,0,4,0,0,2.0,2,1,0,0.5,0.0,0,False
182,0,0,1,0,0,0,1,1,0,1,5,0.72,0,0,1,0,3,2,2.0,1,1,0,0.640625,0.0,0,False
183,0,0,1,0,0,0,1,1,0,0,1,4.0,0,0,1,0,2,2,0.0,0,1,0,0.787878787878788,0.0,0,False
184,0,0,1,0,0,0,1,1,0,1,2,1.75,0,0,1,0,0,2,2.5,2,1,0,0.615384615384615,0.0,0,False
185,0,0,1,0,0,0,1,1,0,4,26,0.3,0,70,1,0,5,2,1.42307692307692,1,1,0,0.45625,1.0,0,True
186,0,2,1,0,0,0,1,2,0,1,2,1.23,0,100,1,2,0,2,0.0,0,1,0,1.0,0.0,0,False
187,0,17,1,0,0,0,1,1,0,0,0,1.21,0,0,0,2,4,0,6.41176470588235,0,0,0,0.5,0.0,0,False
188,0,1,1,0,0,0,1,1,0,0,0,3.5,0,0,0,2,2,0,3.0,3,1,0,0.870967741935484,0.0,0,False
189,0,0,1,0,0,0,1,1,0,2,23,0.24,0,89,1,0,6,2,0.217391304347826,0,0,0,0.753968253968254,1.0,0,False
190,0,0,1,0,0,2,2,1,0,2,5,1.1,0,40,1,2,1,2,1.4,1,1,0,0.657534246575342,0.0,0,False
191,0,0,1,0,0,0,1,1,0,1,3,1.64,0,0,1,0,1,2,1.0,1,1,0,0.837209302325581,0.0,0,False
192,0,2,1,0,0,4,1,1,0,0,0,4.29,0,0,0,1,2,0,1.0,1,1,0,0.619047619047619,0.0,0,False
193,0,1,1,0,0,13,1,1,0,0,0,4.5,0,0,0,3,2,0,1.0,1,1,0,0.571428571428571,0.0,0,False
194,0,1,1,0,0,7,1,1,0,0,0,4.5,0,0,0,1,2,0,0.0,0,1,0,1.0,1.0,0,False
195,0,0,1,0,0,10,1,1,0,0,1,3.4,0,0,1,0,4,2,2.0,2,2,0,0.574468085106383,1.0,0,False
196,0,0,1,0,0,7,1,1,0,0,1,3.1,0,0,1,0,5,2,2.0,2,3,0,0.533333333333333,1.0,0,False
197,0,0,1,0,0,8,1,1,0,0,1,3.56,0,0,1,0,3,2,2.0,2,2,0,0.5,1.0,0,False
198,0,0,1,0,0,1,2,1,0,3,8,0.4,0,50,1,0,7,2,2.25,0,1,0,0.892561983471074,0.0,0,False
199,0,0,1,0,0,0,1,1,1,3,12,0.46,0,61,1,0,9,2,1.76923076923077,0,1,0,0.65,0.0,1,False
200,0,0,1,0,0,1,1,1,1,4,9,0.84,0,70,2,0,3,1,1.7,1,1,0,0.828571428571429,0.0,1,False
201,0,0,1,0,0,0,1,1,0,1,6,0.63,0,50,1,0,7,2,1.0,0,0,0,0.402777777777778,0.0,0,False
