File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
20,0,0,0,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,False
21,0,0,1,0,58,0,0,1,0,0,0.0,0,23,0,1,0,0,1,0.271604938271605,0,1.25925925925926,0,1,0.0,0,0,0.0,0,1,2,False
22,0,1,1,0,0,0,0,1,0,0,0.0,0,1,0,1,0,0,1,1.0,1,1.0,1,1,0.0,0,0,0.0,0,1,0,False
23,0,0,0,21,0,0,0,1,0,21,0.0,0,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,False
24,0,0,1,0,0,0,0,1,0,1,0.0,0,2,0,1,0,0,2,1.5,1,2.5,2,1,0.75,0,0,0.0,0,1,0,False
25,0,0,1,1,3,0,0,1,0,1,0.0,0,3,66,1,0,0,1,0.666666666666667,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
26,0,0,1,0,14,0,0,1,0,0,0.0,0,21,0,1,0,0,1,0.0,0,0.571428571428571,0,1,0.0,0,0,0.0,0,2,1,False
27,0,1,1,0,0,0,0,1,0,0,0.0,0,1,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
28,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,2,0,False
29,0,1,1,0,0,0,0,1,0,0,0.0,0,3,0,1,0,0,1,0.333333333333333,0,0.666666666666667,0,1,0.0,0,0,1.0,0,2,0,False
30,0,1,1,0,1,0,0,1,0,0,0.0,0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
31,1,0,1,0,0,0,0,1,0,0,0.0,0,1,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
32,0,0,0,0,0,0,0,1,0,2,0.0,0,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,2,0,False
33,1,0,1,0,0,0,0,1,0,0,0.0,0,1,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
34,0,0,1,0,1,0,0,1,0,0,0.0,0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
35,0,0,1,0,0,0,0,1,1,0,0.0,0,1,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
36,0,0,1,0,0,0,0,1,1,0,0.0,0,1,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
37,0,0,1,0,1,0,0,1,1,0,0.0,0,0,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
38,0,0,1,0,0,0,0,1,0,0,0.0,0,1,0,1,0,0,1,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
39,0,0,0,0,0,0,0,1,0,2,0.0,0,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,2,0,False
40,0,0,1,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,1.0,1,1.0,1,1,0.0,0,0,0.0,0,1,0,False
41,0,0,1,0,0,0,0,1,0,1,0.0,0,4,25,1,0,1,1,0.75,0,1.5,1,1,0.0,0,0,0.0,0,1,0,False
42,0,1,1,0,1,0,0,2,0,0,0.0,0,1,0,1,1,1,1,8.5,1,1.5,1,1,0.0,0,0,0.0,0,3,0,False
43,0,0,1,0,2,0,0,2,0,0,0.0,0,0,0,2,1,0,1,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
44,0,0,1,0,0,0,0,1,0,0,0.0,0,2,0,1,0,0,2,0.0,0,0.5,0,1,0.0,0,0,1.0,0,1,0,False
45,0,0,1,0,2,0,0,1,0,0,0.0,0,0,0,1,0,1,1,1.5,1,2.0,2,1,0.0,0,0,0.0,0,1,0,False
46,0,0,1,0,8,0,6,1,0,1,0.09,0,12,75,1,0,1,1,1.0,0,2.2,1,1,0.0,0,0,0.0,0,3,1,False
47,0,0,1,0,0,0,0,1,0,0,0.0,0,22,0,0,0,0,0,1.0,1,1.0,1,1,0.0,0,0,0.0,0,1,0,False
48,0,0,1,0,0,0,0,1,0,1,0.0,0,23,0,1,0,1,1,2.0,1,2.0,2,1,0.0,0,0,0.0,0,1,0,False
49,2,1,2,3,3,1,25,3,0,3,0.06,3,12,70,2,0,4,2,3.73333333333333,1,7.2,1,1,1.9,0,24,1.0,0,1,2,False
50,0,1,1,0,0,0,8,1,0,0,0.8,0,1,0,0,0,1,0,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
51,0,0,0,0,0,0,8,1,0,4,2.0,0,2,100,1,0,0,1,0.0,0,1.0,1,0,0.0,0,0,0.0,0,1,0,False
52,0,0,0,0,0,0,0,1,0,10,0.0,0,2,100,1,0,0,1,0.0,0,1.0,1,0,0.0,0,0,0.0,0,1,0,False
53,0,0,1,1,1,0,0,1,0,0,0.0,11,0,0,1,0,3,1,3.0,3,20.0,20,260,3.0,3,2,1.0,0,2,0,False
54,0,0,1,0,0,1,15,1,0,19,0.15,2,4,71,1,0,4,1,7.0,2,9.25,1,1,1.5,0,0,0.0,0,1,0,False
55,0,3,1,0,0,0,6,1,0,0,0.5,0,3,0,0,0,0,0,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
56,0,1,1,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,1.0,1,1.0,1,1,0.0,0,0,0.0,0,1,0,False
57,0,15,1,0,0,3,57,1,0,0,2.19,0,15,0,0,0,3,0,4.2,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
58,0,2,1,0,0,0,5,1,0,0,0.45,0,2,0,0,0,0,0,0.0,0,1.0,1,1,0.0,0,0,0.0,0,1,0,False
59,0,0,1,1,0,0,9,2,0,0,0.17,1,4,100,2,1,8,1,2.75,1,6.0,0,1,0.428571428571429,0,0,0.0,0,1,0,False
60,0,0,1,0,0,1,45,1,0,2,1.25,0,7,57,2,0,8,1,2.71428571428571,1,1.71428571428571,1,1,0.5,0,0,0.0,0,3,2,False
61,0,0,1,0,0,1,42,1,0,2,1.05,0,7,42,2,0,7,2,3.71428571428571,1,2.0,1,1,0.333333333333333,0,0,0.0,0,4,2,False
62,0,0,1,0,0,0,31,1,0,2,1.03,0,6,66,2,0,3,1,1.0,0,1.5,1,1,0.0,0,0,0.0,0,2,0,False
63,0,0,1,0,0,0,31,1,0,2,0.76,0,7,42,2,0,9,1,3.85714285714286,1,2.28571428571429,1,1,0.0,0,0,0.0,0,5,2,True
64,0,0,1,0,0,0,32,1,0,0,2.29,0,2,0,3,0,5,1,1.0,0,1.0,0,1,0.0,0,0,0.0,0,1,0,False
65,1,0,1,0,0,1,93,1,7,15,0.32,0,40,88,2,3,17,1,9.175,1,3.45,1,1,0.714285714285714,0,6,1.0,0,3,4,True
66,0,0,1,0,0,0,30,1,0,0,0.88,0,6,0,3,0,7,1,2.16666666666667,1,1.33333333333333,1,1,0.0,0,0,0.0,0,1,0,False
67,0,0,1,0,0,0,31,1,0,0,0.78,0,7,0,3,0,7,1,2.42857142857143,1,1.42857142857143,1,1,0.333333333333333,0,0,0.0,0,1,0,False
68,0,0,1,0,0,0,28,1,0,2,0.7,0,7,57,2,0,8,1,3.71428571428571,1,2.0,1,1,0.0,0,0,0.0,0,2,0,False
69,0,0,1,0,0,0,32,1,0,1,1.19,0,6,50,2,2,3,2,3.5,0,1.33333333333333,1,1,0.0,0,0,0.0,0,2,0,False
70,0,0,1,0,0,0,40,1,0,1,0.91,0,8,62,3,0,7,2,6.25,1,2.125,1,1,0.3,0,0,0.0,0,3,1,False
71,0,0,1,0,0,1,44,1,0,1,1.38,0,6,50,2,9,7,2,11.1666666666667,0,1.66666666666667,1,1,0.0,0,0,0.0,0,3,0,False
72,3,0,2,0,2,2,69,1,5,5,0.4,0,17,69,2,3,23,3,6.36842105263158,1,4.10526315789474,1,1,0.952380952380952,0,0,0.0,0,2,0,False
73,0,0,1,0,0,0,10,1,0,1,0.3,2,3,0,3,0,8,1,6.66666666666667,6,6.0,5,1,0.0,0,0,0.0,0,2,0,False
74,0,0,1,0,0,0,10,1,0,3,0.24,2,3,11,3,0,8,1,7.66666666666667,7,6.66666666666667,6,1,0.0,0,0,0.0,0,2,0,False
75,0,0,1,0,0,0,10,1,0,2,0.27,2,3,0,3,0,8,1,7.33333333333333,7,6.33333333333333,6,1,0.0,0,0,0.0,0,2,0,False
76,0,0,1,0,0,1,50,1,0,1,0.98,0,7,42,2,0,10,1,2.85714285714286,1,2.57142857142857,1,1,0.333333333333333,0,0,0.0,0,3,3,False
77,0,0,1,0,0,1,42,1,0,1,1.31,0,6,33,2,0,7,1,3.5,1,1.83333333333333,1,1,0.0,0,0,0.0,0,4,1,False
78,0,0,1,0,0,0,39,1,0,1,1.05,0,7,42,2,0,8,2,2.14285714285714,1,1.57142857142857,1,1,0.0,0,0,0.0,0,4,3,False
79,0,0,1,0,0,4,40,1,0,0,10.0,0,2,0,0,4,1,0,2.0,2,1.0,1,1,0.0,0,0,0.0,0,2,0,False
80,0,0,1,0,0,0,38,1,0,0,9.5,0,2,0,0,5,1,0,4.5,4,1.0,1,1,0.0,0,0,0.0,0,2,0,False
81,0,0,1,0,0,1,47,1,0,2,1.47,0,7,64,2,0,3,2,2.28571428571429,1,1.57142857142857,1,1,0.0,0,0,0.0,0,3,2,True
82,0,0,1,0,0,1,41,1,0,0,1.46,0,4,0,3,0,7,1,3.0,1,2.5,1,1,0.5,0,0,0.0,0,3,1,False
83,0,0,1,0,0,2,54,1,0,2,1.42,0,8,56,2,0,7,1,3.25,1,1.75,1,1,0.0,0,0,0.0,0,3,3,True
84,0,0,1,0,0,1,42,1,0,1,1.24,0,6,33,2,0,8,1,3.16666666666667,1,2.0,1,1,0.0,0,0,0.0,0,4,2,True
85,0,0,1,0,0,0,35,1,0,0,1.3,0,2,0,3,0,11,1,7.0,7,5.5,2,1,0.75,0,0,0.0,0,2,0,False
86,0,0,1,0,0,0,36,1,0,0,1.89,0,2,0,3,0,9,1,6.0,6,4.5,2,1,0.0,0,0,0.0,0,2,0,False
87,0,0,1,0,0,0,35,1,0,0,1.67,0,3,0,3,0,9,1,3.66666666666667,1,4.66666666666667,2,1,0.0,0,0,0.0,0,1,1,False
88,0,0,1,0,0,0,37,1,0,0,1.28,0,3,0,3,0,10,1,6.33333333333333,5,3.66666666666667,2,1,0.6,0,0,0.0,0,2,0,False
89,0,0,1,0,0,0,36,1,0,0,2.0,0,2,0,3,0,8,1,6.0,6,3.5,2,1,0.0,0,0,0.0,0,2,0,False
90,0,0,2,0,0,0,37,1,0,0,0.86,0,5,0,3,0,13,1,4.4,1,5.0,2,1,1.28571428571429,0,0,0.0,0,1,1,False
91,0,0,1,0,0,1,62,1,0,4,0.58,0,14,71,2,19,19,4,9.57142857142857,0,3.28571428571429,1,1,0.875,0,0,0.0,0,3,3,False
92,0,0,1,0,0,0,35,1,0,1,1.59,1,2,0,3,0,10,1,7.5,7,5.0,5,1,0.0,0,0,0.0,0,2,0,False
93,0,0,1,0,0,0,35,1,0,1,1.59,1,2,0,3,0,10,1,6.5,6,5.0,5,1,0.0,0,0,0.0,0,2,0,False
94,0,0,1,0,0,0,35,1,0,1,1.3,0,3,33,3,0,12,1,4.33333333333333,1,6.0,4,1,0.0,0,12,1.0,0,1,0,False
95,0,0,1,0,0,0,35,1,0,1,1.52,0,3,33,3,0,10,1,4.33333333333333,1,5.0,4,1,0.0,0,0,0.0,0,1,1,False
96,0,0,4,0,0,0,35,1,0,0,1.0,1,2,0,3,0,9,1,6.5,6,7.5,2,1,1.5,0,0,0.0,0,2,0,False
97,0,0,4,0,0,0,35,1,0,0,1.0,1,2,0,3,0,9,1,6.0,6,7.5,2,1,1.5,0,0,0.0,0,2,0,False
98,0,0,3,0,0,0,35,1,0,0,0.95,1,3,0,3,0,9,1,3.66666666666667,1,5.66666666666667,2,1,1.2,0,0,0.0,0,2,0,False
99,0,0,1,0,0,0,35,1,0,3,1.25,1,2,0,3,0,10,1,8.0,7,6.0,5,1,0.0,0,0,0.0,0,2,0,False
100,0,0,1,0,0,0,35,1,0,3,1.25,1,2,0,3,0,10,1,7.5,6,6.0,5,1,0.0,0,0,0.0,0,2,0,False
101,0,0,1,0,0,0,35,1,0,3,1.21,0,3,33,3,0,10,1,4.66666666666667,1,5.66666666666667,4,1,0.0,0,0,0.0,0,1,1,False
102,0,0,1,0,0,0,35,1,0,2,1.4,1,2,0,3,0,10,1,7.5,7,5.5,5,1,0.0,0,0,0.0,0,2,0,False
103,0,0,1,0,0,0,35,1,0,2,1.4,1,2,0,3,0,10,1,7.0,6,5.5,5,1,0.0,0,0,0.0,0,2,0,False
104,0,0,1,0,0,0,35,1,0,2,1.35,0,3,33,3,0,10,1,4.33333333333333,1,5.33333333333333,4,1,0.0,0,0,0.0,0,1,1,False
105,0,0,1,0,0,1,58,1,0,3,0.94,0,10,60,2,0,11,1,3.1,1,2.7,1,1,0.5,0,2,1.0,0,3,4,False
106,0,0,1,0,0,2,59,1,0,4,0.86,1,9,58,2,0,13,2,3.88888888888889,1,2.88888888888889,1,1,0.272727272727273,0,4,1.0,0,3,2,False
107,0,0,1,0,0,1,46,1,0,1,1.12,0,7,42,3,0,9,2,3.28571428571429,0,2.85714285714286,1,1,0.333333333333333,0,0,0.0,0,3,3,False
108,0,0,1,0,0,1,43,1,0,1,0.91,0,7,42,3,0,11,2,3.28571428571429,0,3.71428571428571,1,1,0.444444444444444,0,0,0.0,0,4,2,False
109,0,0,1,0,0,1,43,1,0,1,0.8,0,8,37,2,0,12,2,2.75,1,2.625,1,1,0.4,0,0,0.0,0,3,3,False
110,2,0,1,0,0,0,10,1,0,3,0.19,1,7,71,4,0,8,1,4.57142857142857,3,3.85714285714286,2,1,0.777777777777778,0,0,0.0,0,2,0,False
111,0,0,1,0,0,2,44,1,0,0,1.69,0,4,0,4,0,8,1,1.0,0,2.0,1,1,0.0,0,0,0.0,0,1,0,False
112,1,0,2,0,0,0,8,1,0,0,0.27,0,4,0,4,0,8,1,4.5,3,2.75,2,1,1.0,0,0,0.0,0,1,0,False
113,0,0,1,0,0,1,43,1,0,1,1.13,0,6,33,3,3,10,2,4.83333333333333,1,2.33333333333333,1,1,0.375,0,4,0.666666666666667,0,3,2,False
114,3,0,1,0,0,0,46,1,0,3,0.6,0,14,73,2,1,9,2,3.28571428571429,1,2.64285714285714,1,1,0.4375,0,0,0.0,0,3,3,False
115,0,0,1,0,0,2,53,1,0,2,0.77,1,8,50,3,0,11,2,5.0,0,4.125,1,1,0.7,0,0,0.0,0,3,3,False
116,1,0,1,0,0,0,44,1,0,3,0.77,0,11,69,2,0,10,2,2.72727272727273,1,2.72727272727273,1,1,0.230769230769231,0,2,1.0,0,3,3,False
117,0,0,1,0,0,1,56,1,0,2,1.14,0,10,70,3,0,8,2,3.2,0,2.7,1,1,0.0,0,0,0.0,0,4,3,False
118,0,0,1,0,0,1,43,1,0,1,1.13,0,6,33,2,0,7,1,2.83333333333333,1,2.33333333333333,1,1,0.375,0,0,0.0,0,4,1,False
119,0,0,1,0,0,0,40,1,0,0,0.56,2,6,0,3,0,20,2,4.0,1,5.16666666666667,1,1,0.375,0,0,0.0,0,3,3,False
120,0,0,1,0,0,1,46,1,0,1,0.7,1,7,42,3,0,18,2,4.0,1,4.71428571428571,1,1,0.333333333333333,0,0,0.0,0,3,3,False
121,0,0,1,0,0,2,58,1,0,4,1.09,0,9,63,2,0,8,1,4.22222222222222,1,2.0,1,1,0.0,0,0,0.0,0,3,3,False
122,0,0,1,0,0,2,57,1,0,3,1.08,0,10,66,3,0,10,2,3.4,1,2.0,1,1,0.333333333333333,0,0,0.0,0,3,2,False
123,0,0,1,0,2,0,39,1,0,0,0.95,0,4,0,3,0,9,2,4.66666666666667,1,2.83333333333333,1,1,0.5,0,0,0.0,0,3,2,False
124,0,0,1,0,0,1,37,1,0,0,1.19,0,5,0,3,0,9,1,2.6,1,2.4,1,1,0.0,0,0,0.0,0,2,0,False
125,0,0,1,0,0,2,62,1,0,2,1.29,0,10,70,2,0,8,2,1.9,0,1.9,1,1,0.0,0,0,0.0,0,3,2,False
126,0,0,1,0,0,0,39,1,0,0,1.3,0,5,0,3,0,9,2,2.6,1,2.2,1,1,0.0,0,0,0.0,0,3,1,False
127,0,0,1,0,0,0,33,1,0,0,1.1,0,5,0,2,0,9,1,1.4,1,2.0,1,1,0.0,0,0,0.0,0,1,0,False
128,0,0,1,0,0,1,47,1,0,2,1.07,0,7,42,2,0,7,1,3.0,1,1.85714285714286,1,1,0.666666666666667,0,0,0.0,0,3,2,False
129,0,0,1,0,0,1,46,1,0,1,1.44,0,6,33,2,0,7,1,2.83333333333333,1,2.16666666666667,1,1,0.375,0,0,0.0,0,4,3,False
130,9,0,1,14,6,0,34,2,12,17,0.06,0,218,94,1,0,24,2,4.07589285714286,0,2.24107142857143,1,1,0.118421052631579,0,1182,0.833333333333333,0,1,0,True
131,0,0,1,0,0,0,0,1,0,0,0.0,0,8,0,0,1,3,0,2.625,0,0.875,0,1,0.0,0,0,0.0,0,1,0,True
132,0,0,1,0,0,0,41,1,0,0,1.05,0,8,0,2,0,8,3,1.625,0,1.625,1,1,0.0,0,0,0.0,0,3,3,False
133,0,0,1,0,0,0,8,1,0,0,0.44,0,2,0,3,0,9,1,6.0,6,3.5,2,1,0.0,0,0,0.0,0,2,0,False
134,0,0,1,0,0,0,7,1,0,0,0.41,0,2,0,3,0,9,1,5.5,5,3.5,2,1,0.0,0,0,0.0,0,2,0,False
135,0,0,1,0,0,0,35,1,0,0,1.67,0,3,0,3,0,9,4,3.33333333333333,1,3.66666666666667,2,1,0.0,0,0,0.0,0,1,1,False
136,0,0,1,0,0,0,10,1,0,0,0.53,0,3,0,3,0,8,1,5.33333333333333,4,2.33333333333333,2,1,0.0,0,0,0.0,0,2,0,False
137,0,0,1,0,0,0,9,1,0,0,0.56,0,2,0,3,0,8,1,5.5,5,2.5,2,1,0.0,0,0,0.0,0,2,0,False
138,0,0,1,0,0,0,10,1,0,0,0.45,0,4,0,3,0,8,1,3.25,1,2.75,2,1,0.0,0,0,0.0,0,1,1,False
139,0,0,1,0,0,1,56,1,1,3,0.81,0,12,72,2,18,12,4,6.33333333333333,0,2.5,1,1,0.285714285714286,0,0,0.0,0,4,3,False
140,0,0,1,0,0,0,8,1,0,1,0.4,1,2,0,3,0,10,1,6.5,6,4.5,4,1,0.0,0,0,0.0,0,2,0,False
141,0,0,1,0,0,0,8,1,0,1,0.38,1,2,0,3,0,10,1,6.0,5,4.5,4,1,0.0,0,0,0.0,0,2,0,False
142,0,0,1,0,0,0,8,1,0,1,0.36,0,3,33,3,0,10,1,3.66666666666667,1,4.33333333333333,3,1,0.0,0,0,0.0,0,1,1,False
143,0,0,4,0,0,0,7,1,0,0,0.21,1,2,0,3,0,9,1,6.0,6,7.0,2,1,1.5,0,0,0.0,0,2,0,False
144,0,0,4,0,0,0,9,1,0,0,0.26,1,2,0,3,0,9,1,5.5,5,7.0,2,1,1.5,0,0,0.0,0,2,0,False
145,0,0,3,0,0,0,7,1,0,0,0.19,1,3,0,3,0,9,1,3.33333333333333,1,5.0,2,1,1.2,0,0,0.0,0,2,0,False
146,0,0,1,0,0,0,8,1,0,3,0.3,1,2,0,3,0,10,1,7.5,6,5.5,4,1,0.0,0,0,0.0,0,2,0,False
147,0,0,1,0,0,0,8,1,0,3,0.3,1,2,0,3,0,10,1,7.0,5,5.5,4,1,0.0,0,0,0.0,0,2,0,False
148,0,0,1,0,0,0,8,1,0,3,0.28,0,3,33,3,0,10,1,4.33333333333333,1,5.0,3,1,0.0,0,0,0.0,0,1,1,False
149,0,0,1,0,0,0,8,1,0,2,0.33,1,2,0,3,0,10,1,7.0,6,5.0,4,1,0.0,0,0,0.0,0,2,0,False
150,0,0,1,0,0,0,8,1,0,2,0.33,1,2,0,3,0,10,1,6.5,5,5.0,4,1,0.0,0,0,0.0,0,2,0,False
151,0,0,1,0,0,0,8,1,0,2,0.31,0,3,33,3,0,10,1,4.0,1,4.66666666666667,3,1,0.0,0,0,0.0,0,1,1,False
152,0,0,1,0,0,0,31,1,0,0,3.88,0,1,0,3,0,1,1,3.0,3,2.0,2,1,0.0,0,0,0.0,0,1,0,False
153,0,0,1,0,0,0,39,1,0,2,0.76,0,9,61,2,0,8,3,3.55555555555556,1,2.22222222222222,1,1,0.454545454545455,0,0,0.0,0,3,3,False
154,2,0,1,0,2,2,68,1,0,4,0.76,0,10,70,2,0,9,1,4.0,1,3.16666666666667,1,1,0.642857142857143,0,0,0.0,0,3,3,False
155,0,0,1,0,0,1,42,1,0,1,1.17,0,7,42,2,0,8,2,2.14285714285714,1,1.57142857142857,1,1,0.0,0,0,0.0,0,4,2,False
156,0,0,2,0,0,1,46,1,0,2,0.81,0,6,58,3,0,13,1,3.33333333333333,1,3.33333333333333,1,1,1.5,0,0,0.0,0,3,2,True
157,0,0,1,0,0,1,45,1,0,1,1.15,0,7,42,3,0,8,2,3.28571428571429,0,2.71428571428571,1,1,0.0,0,56,1.0,0,4,2,False
158,0,0,1,0,0,1,42,1,0,1,1.17,0,7,42,2,0,8,2,3.28571428571429,1,2.0,1,1,0.0,0,44,1.0,0,3,2,False
159,0,0,1,0,0,0,35,1,1,0,2.5,0,2,0,3,0,5,1,5.5,4,1.5,1,1,0.0,0,0,1.0,0,1,0,False
160,0,0,1,0,0,1,45,1,1,1,1.0,0,7,42,2,1,9,1,5.0,1,2.28571428571429,1,1,0.666666666666667,0,18,1.0,0,4,2,False
161,0,0,1,0,0,0,31,1,0,0,6.2,0,2,0,0,4,1,0,1.5,1,1.0,1,1,0.0,0,0,0.0,0,1,0,False
162,0,0,1,0,0,2,55,1,0,3,1.1,0,8,50,2,0,7,1,5.875,1,2.75,1,1,0.3,0,0,1.0,0,3,3,False
163,1,0,1,0,0,1,47,1,0,2,0.85,0,9,72,3,0,10,2,3.0,0,3.22222222222222,1,1,0.272727272727273,0,0,0.0,0,4,3,False
164,1,0,1,0,0,1,46,1,0,2,0.71,0,10,65,2,0,14,3,2.5,0,2.8,1,1,0.5,0,0,0.0,0,3,4,False
165,0,0,0,0,0,0,3,1,0,0,1.5,0,0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,False
166,0,0,1,0,0,0,29,1,0,0,7.25,0,1,0,0,2,1,0,1.0,1,1.0,1,1,0.0,0,0,0.0,0,2,0,False
167,0,0,1,0,0,1,47,1,0,4,0.78,0,10,65,2,4,13,1,7.0,0,2.7,1,1,0.0,0,2,1.0,0,3,3,True
168,0,0,1,0,0,0,30,1,0,0,0.81,0,7,0,3,0,12,1,2.0,0,2.28571428571429,1,1,0.0,0,0,0.0,0,2,0,False
169,0,0,1,0,0,1,55,1,0,1,0.92,0,12,25,2,6,4,1,23.5,0,2.66666666666667,1,1,0.571428571428571,0,0,0.0,0,3,2,False
170,0,0,1,0,0,2,62,1,0,2,1.13,0,10,65,3,0,9,2,3.9,0,2.9,1,1,0.333333333333333,0,0,0.0,0,3,3,False
171,0,0,1,0,0,2,62,1,0,2,1.29,0,10,70,2,0,8,2,2.1,0,1.9,1,1,0.0,0,0,0.0,0,3,3,False
172,0,0,1,0,0,1,43,1,0,2,0.96,0,8,50,2,0,8,1,2.875,0,1.875,1,1,0.0,0,0,0.0,0,3,3,False
173,0,0,1,0,0,1,43,1,0,3,0.81,0,8,62,2,0,11,1,2.875,0,2.0,1,1,0.3,0,0,0.0,0,4,2,False
